latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
232,-95,2338,-107374182,27,2023-04-24 16:24:08.573101
249,-101,2213,-107374182,36,2023-04-24 16:24:08.978380
110,-103,2219,-107374182,42,2023-04-24 16:24:09.336726
110,-103,2789,-107374182,48,2023-04-24 16:24:09.672662
110,-103,2679,-107374182,54,2023-04-24 16:24:10.047023
110,-103,2471,-107374182,48,2023-04-24 16:24:10.418376
110,-103,2279,-107374182,42,2023-04-24 16:24:10.763466
110,-104,2102,-107374182,33,2023-04-24 16:24:11.115194
228,-94,2605,-107374182,24,2023-04-24 16:24:11.541301
295,-94,2881,-107374182,30,2023-04-24 16:24:12.005963
275,-102,2690,-107374182,36,2023-04-24 16:24:12.380436
124,-104,3029,-107374182,45,2023-04-24 16:24:12.738357
124,-104,3520,-107374182,51,2023-04-24 16:24:13.099060
124,-104,3260,-107374182,54,2023-04-24 16:24:13.456616
124,-104,3007,-107374182,45,2023-04-24 16:24:13.832870
124,-103,2718,-107374182,39,2023-04-24 16:24:14.184640
147,-100,2700,-107374182,30,2023-04-24 16:24:14.583285
180,-94,2903,-107374182,24,2023-04-24 16:24:15.062033
242,-99,2719,-107374182,33,2023-04-24 16:24:15.474995
135,-102,2597,-107374182,39,2023-04-24 16:24:15.860237
135,-103,2997,-107374182,48,2023-04-24 16:24:16.218928
135,-103,2875,-107374182,54,2023-04-24 16:24:16.581852
135,-103,2652,-107374182,51,2023-04-24 16:24:16.937205
135,-103,2446,-107374182,42,2023-04-24 16:24:17.295725
135,-102,2256,-107374182,36,2023-04-24 16:24:17.656580
127,-96,2344,-107374182,27,2023-04-24 16:24:18.113591
208,-96,2342,-107374182,27,2023-04-24 16:24:18.529024
190,-100,2176,-107374182,36,2023-04-24 16:24:18.952256
74,-102,2232,-107374182,42,2023-04-24 16:24:19.319707
74,-102,2510,-107374182,51,2023-04-24 16:24:19.678368
74,-102,2336,-107374182,54,2023-04-24 16:24:20.035801
74,-102,2155,-107374182,48,2023-04-24 16:24:20.402166
74,-102,1988,-107374182,39,2023-04-24 16:24:20.764926
207,-100,1903,-107374182,30,2023-04-24 16:24:21.201937
221,-93,2467,-107374182,24,2023-04-24 16:24:21.659035
275,-98,2415,-107374182,33,2023-04-24 16:24:22.072326
113,-103,2335,-107374182,39,2023-04-24 16:24:22.449607
113,-102,3065,-107374182,48,2023-04-24 16:24:22.828865
113,-102,3132,-107374182,54,2023-04-24 16:24:23.172495
113,-102,2889,-107374182,51,2023-04-24 16:24:23.554655
113,-102,2611,-107374182,42,2023-04-24 16:24:23.925475
113,-100,2408,-107374182,36,2023-04-24 16:24:24.303846
196,-98,2636,-107374182,24,2023-04-24 16:24:24.772987
268,-96,2920,-107374182,30,2023-04-24 16:24:25.258051
250,-103,2712,-107374182,36,2023-04-24 16:24:25.646408
165,-104,3237,-107374182,45,2023-04-24 16:24:26.034611
165,-104,3619,-107374182,51,2023-04-24 16:24:26.395779
165,-104,3304,-107374182,51,2023-04-24 16:24:26.759548
165,-104,3048,-107374182,45,2023-04-24 16:24:27.142493
165,-103,2755,-107374182,36,2023-04-24 16:24:27.489382
