RSSI,latency var.,attn1,attn2,TIMESTAMP
-100,1605,-107374182,32,2023-05-10 15:15:15.780785
-104,1510,-107374182,34,2023-05-10 15:15:16.107011
-102,1739,-107374182,36,2023-05-10 15:15:16.364650
-103,2361,-107374182,38,2023-05-10 15:15:16.671497
-105,2380,-107374182,38,2023-05-10 15:15:16.999390
-103,2195,-107374182,36,2023-05-10 15:15:17.329780
-103,2024,-107374182,34,2023-05-10 15:15:17.621944
-103,1867,-107374182,32,2023-05-10 15:15:17.868748
-101,1757,-107374182,30,2023-05-10 15:15:18.158030
-101,1644,-107374182,28,2023-05-10 15:15:18.478595
-97,2735,-107374182,26,2023-05-10 15:15:18.861701
-95,3190,-107374182,24,2023-05-10 15:15:19.203705
-95,2898,-107374182,22,2023-05-10 15:15:19.526464
-92,2685,-107374182,20,2023-05-10 15:15:19.843018
-93,2489,-107374182,22,2023-05-10 15:15:20.174394
-97,2308,-107374182,24,2023-05-10 15:15:20.475989
-96,2141,-107374182,26,2023-05-10 15:15:20.752497
-97,1987,-107374182,28,2023-05-10 15:15:21.059128
-101,1845,-107374182,30,2023-05-10 15:15:21.365422
-99,1716,-107374182,32,2023-05-10 15:15:21.649473
-103,1614,-107374182,34,2023-05-10 15:15:21.964967
-102,1648,-107374182,36,2023-05-10 15:15:22.280249
-104,2311,-107374182,38,2023-05-10 15:15:22.661212
-105,2356,-107374182,38,2023-05-10 15:15:22.964115
-107,2173,-107374182,36,2023-05-10 15:15:23.237199
-102,2045,-107374182,34,2023-05-10 15:15:23.492567
-103,1886,-107374182,32,2023-05-10 15:15:23.771270
-103,1775,-107374182,30,2023-05-10 15:15:24.052157
-101,1638,-107374182,28,2023-05-10 15:15:24.350826
-100,1775,-107374182,26,2023-05-10 15:15:24.683920
-96,2812,-107374182,24,2023-05-10 15:15:24.978038
-96,2933,-107374182,22,2023-05-10 15:15:25.359636
-93,2717,-107374182,20,2023-05-10 15:15:25.656803
-94,2518,-107374182,20,2023-05-10 15:15:25.965282
-94,2291,-107374182,22,2023-05-10 15:15:26.282660
-97,2126,-107374182,24,2023-05-10 15:15:26.592473
-100,2010,-107374182,26,2023-05-10 15:15:26.905058
-101,1866,-107374182,28,2023-05-10 15:15:27.193745
-103,1671,-107374182,30,2023-05-10 15:15:27.610814
-103,1557,-107374182,32,2023-05-10 15:15:27.908661
-101,1552,-107374182,34,2023-05-10 15:15:28.181674
-104,1953,-107374182,36,2023-05-10 15:15:28.479906
-104,2434,-107374182,38,2023-05-10 15:15:28.761540
-103,2357,-107374182,38,2023-05-10 15:15:29.026252
-104,2174,-107374182,36,2023-05-10 15:15:29.281956
-103,2046,-107374182,34,2023-05-10 15:15:29.574889
-99,1887,-107374182,32,2023-05-10 15:15:29.877933
-101,1741,-107374182,30,2023-05-10 15:15:30.157426
-100,1629,-107374182,28,2023-05-10 15:15:30.499194
-98,2453,-107374182,26,2023-05-10 15:15:30.828739
-97,3177,-107374182,24,2023-05-10 15:15:31.159207
-95,2943,-107374182,22,2023-05-10 15:15:31.461537
-94,2726,-107374182,20,2023-05-10 15:15:31.758482
-95,2527,-107374182,20,2023-05-10 15:15:32.095383
-96,2343,-107374182,22,2023-05-10 15:15:32.383169
-96,2173,-107374182,24,2023-05-10 15:15:32.703241
-97,1979,-107374182,28,2023-05-10 15:15:33.077766
-98,1804,-107374182,30,2023-05-10 15:15:33.417122
-104,1676,-107374182,32,2023-05-10 15:15:33.732897
-104,1593,-107374182,34,2023-05-10 15:15:33.995641
-103,1659,-107374182,36,2023-05-10 15:15:34.288784
-104,2293,-107374182,38,2023-05-10 15:15:34.548445
-102,2506,-107374182,38,2023-05-10 15:15:34.813079
-103,2333,-107374182,38,2023-05-10 15:15:35.134043
-106,2109,-107374182,34,2023-05-10 15:15:35.458673
-103,1945,-107374182,32,2023-05-10 15:15:35.810400
-100,1758,-107374182,30,2023-05-10 15:15:36.234964
-100,1656,-107374182,28,2023-05-10 15:15:36.564728
-98,2492,-107374182,26,2023-05-10 15:15:36.851592
-97,3091,-107374182,24,2023-05-10 15:15:37.169782
-95,2876,-107374182,22,2023-05-10 15:15:37.469067
-91,2665,-107374182,20,2023-05-10 15:15:37.785860
-93,2470,-107374182,22,2023-05-10 15:15:38.141099
-94,2290,-107374182,24,2023-05-10 15:15:38.467716
-97,2124,-107374182,26,2023-05-10 15:15:38.791247
-100,1935,-107374182,28,2023-05-10 15:15:39.134806
-100,1797,-107374182,30,2023-05-10 15:15:39.452031
-102,1670,-107374182,32,2023-05-10 15:15:39.751823
-102,1566,-107374182,34,2023-05-10 15:15:40.030104
-102,1873,-107374182,36,2023-05-10 15:15:40.325178
-105,2575,-107374182,38,2023-05-10 15:15:40.650324
-104,2534,-107374182,38,2023-05-10 15:15:40.975381
-103,2291,-107374182,36,2023-05-10 15:15:41.315955
-101,2113,-107374182,34,2023-05-10 15:15:41.622689
-102,1949,-107374182,32,2023-05-10 15:15:41.938916
-99,1762,-107374182,30,2023-05-10 15:15:42.317386
-98,1842,-107374182,26,2023-05-10 15:15:42.642568
-96,2856,-107374182,24,2023-05-10 15:15:42.936693
-97,3262,-107374182,24,2023-05-10 15:15:43.192052
-93,3079,-107374182,22,2023-05-10 15:15:43.526120
-92,2798,-107374182,20,2023-05-10 15:15:43.879411
-93,2544,-107374182,22,2023-05-10 15:15:44.225744
-94,2359,-107374182,24,2023-05-10 15:15:44.515611
-99,2188,-107374182,26,2023-05-10 15:15:44.842747
-100,2030,-107374182,28,2023-05-10 15:15:45.146504
-100,1850,-107374182,30,2023-05-10 15:15:45.531911
-102,1697,-107374182,32,2023-05-10 15:15:45.894504
-104,1822,-107374182,34,2023-05-10 15:15:46.229958
-105,2444,-107374182,38,2023-05-10 15:15:46.558096
-105,2528,-107374182,38,2023-05-10 15:15:46.858281
-106,2381,-107374182,36,2023-05-10 15:15:47.142067
-103,2196,-107374182,34,2023-05-10 15:15:47.447815
-103,2026,-107374182,32,2023-05-10 15:15:47.780448
-100,1868,-107374182,30,2023-05-10 15:15:48.038346
-101,1758,-107374182,30,2023-05-10 15:15:48.329206
-99,2049,-107374182,26,2023-05-10 15:15:48.690785
-97,3147,-107374182,24,2023-05-10 15:15:49.141339
