latency,RSSI,attn1,attn2,TIMESTAMP
34446,-103,-107374182,40,2023-05-02 16:58:39.640913
33776,-103,-107374182,32,2023-05-02 16:58:40.277729
33303,-100,-107374182,26,2023-05-02 16:58:40.745251
259,-98,-107374182,20,2023-05-02 16:58:41.165768
259,-93,-107374182,14,2023-05-02 16:58:41.631521
289,-85,-107374182,8,2023-05-02 16:58:42.182165
268,-78,-107374182,0,2023-05-02 16:58:42.704894
267,-80,-107374182,4,2023-05-02 16:58:43.209878
281,-86,-107374182,10,2023-05-02 16:58:43.649246
301,-93,-107374182,16,2023-05-02 16:58:44.117086
292,-98,-107374182,24,2023-05-02 16:58:44.668751
123,-102,-107374182,30,2023-05-02 16:58:45.167408
34769,-102,-107374182,36,2023-05-02 16:58:45.647495
34254,-102,-107374182,38,2023-05-02 16:58:46.147544
33712,-103,-107374182,32,2023-05-02 16:58:46.713293
33242,-101,-107374182,26,2023-05-02 16:58:47.208456
256,-95,-107374182,20,2023-05-02 16:58:47.641780
281,-90,-107374182,12,2023-05-02 16:58:48.091280
297,-81,-107374182,6,2023-05-02 16:58:48.638124
291,-76,-107374182,0,2023-05-02 16:58:49.168817
297,-79,-107374182,4,2023-05-02 16:58:49.573075
269,-84,-107374182,10,2023-05-02 16:58:49.954872
265,-90,-107374182,16,2023-05-02 16:58:50.446591
283,-98,-107374182,24,2023-05-02 16:58:50.974158
113,-102,-107374182,30,2023-05-02 16:58:51.438956
34757,-104,-107374182,36,2023-05-02 16:58:51.930281
34272,-104,-107374182,40,2023-05-02 16:58:52.417895
33773,-104,-107374182,32,2023-05-02 16:58:52.889179
33427,-101,-107374182,28,2023-05-02 16:58:53.339888
277,-95,-107374182,20,2023-05-02 16:58:53.942909
262,-89,-107374182,14,2023-05-02 16:58:54.350047
297,-83,-107374182,8,2023-05-02 16:58:54.822056
268,-77,-107374182,0,2023-05-02 16:58:55.352891
283,-79,-107374182,4,2023-05-02 16:58:55.842050
284,-85,-107374182,10,2023-05-02 16:58:56.335291
292,-91,-107374182,18,2023-05-02 16:58:56.891945
306,-97,-107374182,24,2023-05-02 16:58:57.318982
67,-103,-107374182,30,2023-05-02 16:58:57.850364
34670,-103,-107374182,38,2023-05-02 16:58:58.384864
34200,-103,-107374182,38,2023-05-02 16:58:58.853440
33686,-104,-107374182,32,2023-05-02 16:58:59.348596
33248,-99,-107374182,24,2023-05-02 16:58:59.801793
290,-95,-107374182,20,2023-05-02 16:59:00.179762
294,-91,-107374182,14,2023-05-02 16:59:00.614041
261,-84,-107374182,8,2023-05-02 16:59:01.066351
268,-79,-107374182,2,2023-05-02 16:59:01.591401
274,-77,-107374182,2,2023-05-02 16:59:01.998116
294,-83,-107374182,8,2023-05-02 16:59:02.479471
262,-90,-107374182,14,2023-05-02 16:59:02.961157
275,-94,-107374182,22,2023-05-02 16:59:03.455861
296,-99,-107374182,28,2023-05-02 16:59:03.924854
0,-103,-107374182,34,2023-05-02 16:59:04.369151
34621,-103,-107374182,40,2023-05-02 16:59:04.877299
34105,-103,-107374182,34,2023-05-02 16:59:05.420945
33580,-102,-107374182,28,2023-05-02 16:59:05.970000
210,-96,-107374182,22,2023-05-02 16:59:06.414286
250,-90,-107374182,16,2023-05-02 16:59:06.909028
283,-83,-107374182,6,2023-05-02 16:59:07.495539
287,-77,-107374182,0,2023-05-02 16:59:07.999432
285,-81,-107374182,4,2023-05-02 16:59:08.521436
255,-88,-107374182,12,2023-05-02 16:59:09.026154
263,-93,-107374182,18,2023-05-02 16:59:09.571792
281,-99,-107374182,26,2023-05-02 16:59:10.131220
179,-103,-107374182,32,2023-05-02 16:59:10.544383
34810,-103,-107374182,38,2023-05-02 16:59:11.034662
34384,-103,-107374182,38,2023-05-02 16:59:11.458592
33876,-104,-107374182,32,2023-05-02 16:59:11.979980
33390,-102,-107374182,24,2023-05-02 16:59:12.474065
269,-95,-107374182,18,2023-05-02 16:59:12.914921
299,-89,-107374182,12,2023-05-02 16:59:13.424675
291,-88,-107374182,6,2023-05-02 16:59:13.833466
283,-79,-107374182,2,2023-05-02 16:59:14.245550
