latency,RSSI,attn1,attn2,TIMESTAMP
90,-102,-107374182,28,2023-05-17 14:12:45.510205
181,-98,-107374182,22,2023-05-17 14:12:45.791914
243,-93,-107374182,20,2023-05-17 14:12:45.994872
303,-92,-107374182,16,2023-05-17 14:12:46.197291
299,-94,-107374182,18,2023-05-17 14:12:46.399676
304,-98,-107374182,22,2023-05-17 14:12:46.581406
304,-97,-107374182,26,2023-05-17 14:12:46.783871
244,-102,-107374182,28,2023-05-17 14:12:46.965653
244,-102,-107374182,32,2023-05-17 14:12:47.147318
3,-102,-107374182,34,2023-05-17 14:12:47.350355
3,-104,-107374182,32,2023-05-17 14:12:47.552549
3,-101,-107374182,28,2023-05-17 14:12:47.776798
131,-98,-107374182,24,2023-05-17 14:12:47.967130
157,-96,-107374182,20,2023-05-17 14:12:48.158897
212,-91,-107374182,16,2023-05-17 14:12:48.353474
211,-90,-107374182,16,2023-05-17 14:12:48.535952
211,-92,-107374182,20,2023-05-17 14:12:48.738942
211,-95,-107374182,24,2023-05-17 14:12:48.943549
174,-99,-107374182,28,2023-05-17 14:12:49.124779
103,-102,-107374182,30,2023-05-17 14:12:49.307152
103,-104,-107374182,34,2023-05-17 14:12:49.509443
103,-104,-107374182,32,2023-05-17 14:12:49.711268
103,-102,-107374182,28,2023-05-17 14:12:49.894362
220,-100,-107374182,26,2023-05-17 14:12:50.076212
151,-95,-107374182,22,2023-05-17 14:12:50.279270
254,-94,-107374182,18,2023-05-17 14:12:50.481428
257,-89,-107374182,16,2023-05-17 14:12:50.663971
257,-91,-107374182,18,2023-05-17 14:12:50.843950
251,-94,-107374182,22,2023-05-17 14:12:51.049005
245,-98,-107374182,26,2023-05-17 14:12:51.231964
188,-101,-107374182,28,2023-05-17 14:12:51.414359
108,-99,-107374182,32,2023-05-17 14:12:51.616459
220,-103,-107374182,34,2023-05-17 14:12:51.798699
220,-105,-107374182,30,2023-05-17 14:12:52.000622
220,-101,-107374182,28,2023-05-17 14:12:52.183048
201,-99,-107374182,24,2023-05-17 14:12:52.385687
211,-95,-107374182,20,2023-05-17 14:12:52.598374
288,-95,-107374182,16,2023-05-17 14:12:52.811442
286,-90,-107374182,18,2023-05-17 14:12:53.024089
284,-93,-107374182,20,2023-05-17 14:12:53.206476
284,-94,-107374182,24,2023-05-17 14:12:53.408894
270,-99,-107374182,28,2023-05-17 14:12:53.611097
131,-102,-107374182,32,2023-05-17 14:12:53.813313
131,-102,-107374182,34,2023-05-17 14:12:53.996026
131,-104,-107374182,32,2023-05-17 14:12:54.177794
220,-101,-107374182,28,2023-05-17 14:12:54.360344
80,-100,-107374182,24,2023-05-17 14:12:54.564110
107,-93,-107374182,22,2023-05-17 14:12:54.766228
150,-91,-107374182,18,2023-05-17 14:12:54.949169
148,-87,-107374182,16,2023-05-17 14:12:55.151485
157,-89,-107374182,20,2023-05-17 14:12:55.354164
153,-93,-107374182,24,2023-05-17 14:12:55.555142
152,-97,-107374182,26,2023-05-17 14:12:55.759524
108,-101,-107374182,30,2023-05-17 14:12:55.952340
73,-102,-107374182,34,2023-05-17 14:12:56.134882
73,-106,-107374182,32,2023-05-17 14:12:56.336945
73,-102,-107374182,30,2023-05-17 14:12:56.517448
124,-99,-107374182,26,2023-05-17 14:12:56.703434
120,-98,-107374182,22,2023-05-17 14:12:56.903642
196,-94,-107374182,20,2023-05-17 14:12:57.086416
199,-91,-107374182,16,2023-05-17 14:12:57.269047
200,-91,-107374182,18,2023-05-17 14:12:57.451787
202,-95,-107374182,20,2023-05-17 14:12:57.633850
201,-97,-107374182,24,2023-05-17 14:12:57.835229
