latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
445,-101,1294,-107374182,42,2023-04-11 14:52:09.935246
298,-102,1610,-107374182,44,2023-04-11 14:52:10.212013
137,-102,2835,-107374182,44,2023-04-11 14:52:10.433578
137,-107,3983,-107374182,46,2023-04-11 14:52:10.659498
137,-103,4080,-107374182,48,2023-04-11 14:52:10.923117
137,-103,3841,-107374182,48,2023-04-11 14:52:11.155236
137,-103,3615,-107374182,50,2023-04-11 14:52:11.393647
137,-103,3402,-107374182,52,2023-04-11 14:52:11.627881
137,-103,3202,-107374182,52,2023-04-11 14:52:11.860481
137,-103,3014,-107374182,54,2023-04-11 14:52:12.116929
137,-103,2837,-107374182,56,2023-04-11 14:52:12.361711
137,-103,2670,-107374182,56,2023-04-11 14:52:12.619372
137,-103,2513,-107374182,56,2023-04-11 14:52:12.850600
137,-103,2365,-107374182,54,2023-04-11 14:52:13.084874
137,-103,2226,-107374182,54,2023-04-11 14:52:13.312151
137,-103,2095,-107374182,52,2023-04-11 14:52:13.547217
137,-103,1972,-107374182,50,2023-04-11 14:52:13.781788
137,-103,1856,-107374182,50,2023-04-11 14:52:14.016434
137,-104,1747,-107374182,48,2023-04-11 14:52:14.251806
137,-104,1644,-107374182,46,2023-04-11 14:52:14.485550
137,-103,1547,-107374182,46,2023-04-11 14:52:14.733881
137,-103,1427,-107374182,44,2023-04-11 14:52:15.000354
227,-101,1463,-107374182,42,2023-04-11 14:52:15.275851
49,-99,1722,-107374182,40,2023-04-11 14:52:15.549744
222,-98,2055,-107374182,38,2023-04-11 14:52:15.824293
350,-99,2499,-107374182,38,2023-04-11 14:52:16.104313
420,-96,3643,-107374182,36,2023-04-11 14:52:16.372637
423,-95,3705,-107374182,34,2023-04-11 14:52:16.643130
424,-95,3450,-107374182,32,2023-04-11 14:52:16.908614
423,-93,3250,-107374182,30,2023-04-11 14:52:17.201564
419,-93,3001,-107374182,30,2023-04-11 14:52:17.494669
422,-92,2778,-107374182,28,2023-04-11 14:52:17.773566
417,-88,2630,-107374182,26,2023-04-11 14:52:18.040785
415,-85,2448,-107374182,24,2023-04-11 14:52:18.322605
416,-87,2320,-107374182,22,2023-04-11 14:52:18.594489
421,-84,2164,-107374182,22,2023-04-11 14:52:18.864141
422,-82,2053,-107374182,20,2023-04-11 14:52:19.148815
423,-82,1900,-107374182,20,2023-04-11 14:52:19.417035
