latency,RSSI,attn1,attn2,TIMESTAMP
220,-104,-107374182,40,2023-05-04 11:36:20.347374
220,-104,-107374182,38,2023-05-04 11:36:20.764858
220,-104,-107374182,36,2023-05-04 11:36:21.099684
220,-105,-107374182,34,2023-05-04 11:36:21.423851
220,-102,-107374182,32,2023-05-04 11:36:21.769057
220,-101,-107374182,30,2023-05-04 11:36:22.093516
220,-99,-107374182,28,2023-05-04 11:36:22.417978
174,-98,-107374182,26,2023-05-04 11:36:22.763203
231,-96,-107374182,24,2023-05-04 11:36:23.088647
174,-93,-107374182,22,2023-05-04 11:36:23.436281
165,-93,-107374182,20,2023-05-04 11:36:23.788777
112,-93,-107374182,18,2023-05-04 11:36:24.144087
45,-89,-107374182,16,2023-05-04 11:36:24.488231
94,-93,-107374182,14,2023-05-04 11:36:24.813340
111,-86,-107374182,12,2023-05-04 11:36:25.138168
137,-91,-107374182,10,2023-05-04 11:36:25.482734
153,-83,-107374182,8,2023-05-04 11:36:25.847486
164,-84,-107374182,6,2023-05-04 11:36:26.172060
159,-82,-107374182,4,2023-05-04 11:36:26.517048
161,-78,-107374182,2,2023-05-04 11:36:26.882054
154,-76,-107374182,0,2023-05-04 11:36:27.216758
158,-75,-107374182,0,2023-05-04 11:36:27.561156
161,-75,-107374182,2,2023-05-04 11:36:27.936647
151,-78,-107374182,4,2023-05-04 11:36:28.271222
166,-86,-107374182,6,2023-05-04 11:36:28.595913
158,-86,-107374182,8,2023-05-04 11:36:28.920591
147,-85,-107374182,8,2023-05-04 11:36:29.244957
163,-81,-107374182,10,2023-05-04 11:36:29.590582
145,-88,-107374182,12,2023-05-04 11:36:29.935703
126,-90,-107374182,14,2023-05-04 11:36:30.280381
139,-89,-107374182,16,2023-05-04 11:36:30.645580
156,-89,-107374182,18,2023-05-04 11:36:30.970986
123,-94,-107374182,20,2023-05-04 11:36:31.315870
91,-94,-107374182,20,2023-05-04 11:36:31.640420
4,-95,-107374182,24,2023-05-04 11:36:31.965195
94,-98,-107374182,26,2023-05-04 11:36:32.299903
220,-100,-107374182,28,2023-05-04 11:36:32.644741
