RSSI,latency var.,TIMESTAMP,Drop?
-99,4195,0.0,0
-95,4265,0.43200500000239117,0
-103,4321,0.7189839999991818,0
-92,4451,0.9868810000043595,0
-102,4524,1.3430999999982305,0
-99,4555,1.6692299999995157,0
-93,4578,2.0601339999993797,0
-102,4525,2.334046000003582,0
-91,4490,2.610702999998466,0
-102,4420,2.907037000004493,0
-96,4446,3.263691000000108,0
-100,4447,3.5803200000009383,0
-100,4436,3.9521200000017416,0
-97,4477,4.233848000003491,0
-101,4505,4.527278000001388,0
-94,4563,4.850491999997757,0
-103,4601,5.123310000002675,0
-94,4672,5.396631000003254,0
-103,4723,5.691412000000128,0
-94,4799,5.96929700000328,0
-102,4786,6.2997380000015255,0
-97,4818,6.647848000000522,0
-101,4798,6.993990000002668,0
-99,4818,7.281234000001859,0
-96,4821,7.569187000000966,0
-100,4773,7.837686999999278,0
-100,4683,8.076208999998926,0
-100,4717,8.39614000000438,0
-92,4803,8.772870000000694,0
-104,4806,9.02161999999953,0
-96,4784,9.344752999997581,0
-104,4648,9.675730000002659,0
-92,4538,9.963618000001588,0
-102,4368,10.30970299999899,0
-98,4317,10.60564400000294,0
-103,4311,10.933144000002358,0
-103,4278,11.222084000000905,0
-96,4250,11.542255000000296,0
-103,4270,11.87083100000018,0
-92,4363,12.207067000003008,0
-103,4418,12.524261999998998,0
-97,4452,12.84140699999989,0
-95,4413,13.220209999999497,0
-104,4333,13.527476000002935,0
-94,4346,13.858801000002131,0
-104,4387,14.127607000002172,0
-93,4463,14.384288000001106,0
-102,4436,14.682416000003286,0
-96,4512,14.998982000004617,0
-103,4552,15.27715100000205,0
-93,4674,15.550785999999789,0
-104,4813,15.898387000001094,0
-96,4801,16.170352000001003,0
-100,4693,16.49751500000275,0
-102,4668,16.816736000000674,0
-97,4668,17.147540999998455,0
-103,4650,17.41827700000431,0
-93,4712,17.720236000001023,0
-103,4823,18.00857299999916,0
-92,4748,18.317528999999922,0
-103,4728,18.5959440000006,0
-95,4649,18.882675000000745,0
-103,4578,19.19750500000373,0
-95,4430,19.504840000001423,0
-102,4365,19.768003999997745,0
-98,4296,20.07446599999821,0
-99,4166,20.4475139999995,0
-102,3944,20.78128000000288,0
-94,3797,21.1075090000013,0
-104,3694,21.45067199999903,0
-97,3533,21.79107600000134,0
-102,3506,22.09441599999991,0
-102,3487,22.44387799999822,0
-94,3396,22.735657999997784,0
-103,3345,23.017754000000423,0
-95,3260,23.338869999999588,0
-103,3219,23.62432799999806,0
-93,3195,23.942494000002625,0
-104,3187,24.254947000001266,0
-97,3109,24.59371800000372,0
-97,3105,24.90710499999841,0
-100,3091,25.22494000000006,0
-94,2977,25.572605000001204,0
-103,2904,25.825346999998146,0
-93,2867,26.131092000003264,0
-102,2844,26.42473500000051,0
-91,2742,26.74525100000028,0
-101,2711,27.101753000002645,0
-100,2672,27.447927000001073,0
-94,2670,27.75724199999968,0
-102,2666,28.045122000003175,0
-95,2634,28.331169999997655,0
-102,2618,28.626837000003434,0
-94,2628,28.953075999997964,0
-103,2629,29.24710800000321,0
-94,2554,29.56724899999972,0
-101,2538,29.87759200000437,0
-100,2534,30.200643000003765,0
-101,2553,30.432478000002448,0
-96,2523,30.782397000002675,0
-98,2503,31.073647999997775,0
-103,2474,31.384988999998313,0
-96,2533,31.69261099999858,0
-102,2617,31.975333000002138,0
-95,2647,32.393630999999004,0
-102,2709,32.77670200000284,0
-104,2748,33.127300000000105,0
-93,2689,33.45279799999844,0
-104,2687,33.76957000000402,0
-93,2690,34.04315199999837,0
-104,2694,34.3011719999995,0
