latency,RSSI,attn1,attn2,TIMESTAMP
379,-91,[47],[146],-107374182,35,2023-04-05 16:18:59.388350
377,-93,"[47, 82]","[146, 134]",-107374182,36,2023-04-05 16:18:59.672561
378,-92,"[47, 82, 81]","[146, 134, 131]",-107374182,37,2023-04-05 16:18:59.886526
378,-94,"[47, 82, 81, 90]","[146, 134, 131, 128]",-107374182,37,2023-04-05 16:19:00.134187
376,-94,"[47, 82, 81, 90, 41]","[146, 134, 131, 128, 124]",-107374182,38,2023-04-05 16:19:00.392169
373,-94,"[47, 82, 81, 90, 41, 41]","[146, 134, 131, 128, 124, 118]",-107374182,39,2023-04-05 16:19:00.678156
370,-96,"[47, 82, 81, 90, 41, 41, 88]","[146, 134, 131, 128, 124, 118, 115]",-107374182,40,2023-04-05 16:19:00.934955
375,-96,"[47, 82, 81, 90, 41, 41, 88, 105]","[146, 134, 131, 128, 124, 118, 115, 113]",-107374182,40,2023-04-05 16:19:01.218918
374,-96,"[47, 82, 81, 90, 41, 41, 88, 105, 92]","[146, 134, 131, 128, 124, 118, 115, 113, 112]",-107374182,41,2023-04-05 16:19:01.493509
371,-97,"[47, 82, 81, 90, 41, 41, 88, 105, 92, 77]","[146, 134, 131, 128, 124, 118, 115, 113, 112, 110]",-107374182,42,2023-04-05 16:19:01.773865
370,-97,"[47, 82, 81, 90, 41, 41, 88, 105, 92, 77, 38]","[146, 134, 131, 128, 124, 118, 115, 113, 112, 110, 106]",-107374182,43,2023-04-05 16:19:02.015354
366,-98,"[47, 82, 81, 90, 41, 41, 88, 105, 92, 77, 38, 43]","[146, 134, 131, 128, 124, 118, 115, 113, 112, 110, 106, 102]",-107374182,43,2023-04-05 16:19:02.320078
369,-101,"[47, 82, 81, 90, 41, 41, 88, 105, 92, 77, 38, 43, 69]","[146, 134, 131, 128, 124, 118, 115, 113, 112, 110, 106, 102, 99]",-107374182,44,2023-04-05 16:19:02.590474
342,-99,"[47, 82, 81, 90, 41, 41, 88, 105, 92, 77, 38, 43, 69, 108]","[146, 134, 131, 128, 124, 118, 115, 113, 112, 110, 106, 102, 99, 97]",-107374182,45,2023-04-05 16:19:02.837665
326,-98,"[47, 82, 81, 90, 41, 41, 88, 105, 92, 77, 38, 43, 69, 108, 671]","[146, 134, 131, 128, 124, 118, 115, 113, 112, 110, 106, 102, 99, 97, 128]",-107374182,45,2023-04-05 16:19:03.085416
315,-98,"[47, 82, 81, 90, 41, 41, 88, 105, 92, 77, 38, 43, 69, 108, 671, 632]","[146, 134, 131, 128, 124, 118, 115, 113, 112, 110, 106, 102, 99, 97, 128, 159]",-107374182,45,2023-04-05 16:19:03.347014
364,-99,"[47, 82, 81, 90, 41, 41, 88, 105, 92, 77, 38, 43, 69, 108, 671, 632, 631]","[146, 134, 131, 128, 124, 118, 115, 113, 112, 110, 106, 102, 99, 97, 128, 159, 181]",-107374182,44,2023-04-05 16:19:03.595774
360,-98,"[47, 82, 81, 90, 41, 41, 88, 105, 92, 77, 38, 43, 69, 108, 671, 632, 631, 927]","[146, 134, 131, 128, 124, 118, 115, 113, 112, 110, 106, 102, 99, 97, 128, 159, 181, 218]",-107374182,43,2023-04-05 16:19:03.842524
