raw latency,RSSI,filtered latency,TIMESTAMP,Drop?
1006,-97,1518,0.0,0
1506,-97,1487,0.3449839999957476,0
1056,-100,1465,0.6531029999969178,0
1656,-90,1458,1.03125,0
1756,-97,1457,1.487624000001233,0
1056,-102,1434,1.886646999999357,0
806,-100,1394,2.2915480000010575,0
1406,-90,1366,2.727482999995118,0
1756,-96,1344,3.152347999995982,0
1256,-104,1345,3.513896999997087,0
1756,-93,1359,3.926413000001048,0
1506,-95,1336,4.299459999994724,0
1006,-103,1321,4.671065999995335,0
1256,-100,1334,5.043140999994648,0
1806,-97,1337,5.358586999995168,0
1306,-103,1346,5.761028000000806,0
1056,-97,1358,6.174163999996381,0
1506,-92,1351,6.545119999995222,0
1056,-103,1331,6.826836000000185,0
1806,-91,1343,7.106067000000621,0
1656,-101,1370,7.4015440000002855,0
1806,-91,1401,7.6701350000003,0
1006,-102,1383,7.936735999996017,0
1256,-92,1363,8.230383999994956,0
806,-104,1320,8.536371999995026,0
1056,-90,1313,8.849881999994977,0
1006,-103,1292,9.161440999996557,0
1306,-93,1317,9.445865000001504,0
1256,-103,1315,9.758564999996452,0
556,-94,1291,10.061580999994476,0
1006,-98,1242,10.394440999996732,0
806,-101,1217,10.71734099999594,0
1006,-95,1194,10.961181999999098,0
556,-98,1165,11.215050999999221,0
1406,-98,1135,11.528943999997864,0
1256,-102,1142,11.804502999999386,0
1556,-93,1162,12.117859999998473,0
1056,-101,1166,12.431207999994513,0
1406,-91,1171,12.764763999999559,0
806,-103,1141,13.098810999996203,0
1056,-94,1148,13.432546999996703,0
1570,-96,1156,13.784605000000738,0
1312,-101,1178,14.143315000001166,0
2126,-94,1248,14.531556999994791,0
1966,-97,1320,14.855304999997315,0
1790,-97,1371,15.180305999994744,0
1692,-94,1400,15.461724000000686,0
1596,-101,1399,15.756603999994695,0
1816,-92,1428,16.099993999996514,0
1612,-105,1438,16.433822999999393,0
1610,-98,1464,16.80728999999701,0
1700,-95,1470,17.141231000001426,0
1710,-103,1490,17.474609999997483,0
1850,-92,1509,17.870725000000675,0
1696,-101,1533,18.205816000001505,0
1510,-103,1519,18.59545100000105,0
1742,-90,1551,18.956960999996227,0
1746,-104,1548,19.227486999996472,0
1732,-94,1569,19.559445999999298,0
1772,-100,1578,19.891555999995035,0
2070,-101,1621,20.2727889999951,0
3000,-93,1726,20.6678649999958,0
2440,-98,1814,21.03182199999719,0
1810,-104,1816,21.40612799999508,0
1476,-97,1809,21.778192999998282,0
1302,-95,1756,22.19299399999727,0
1480,-101,1689,22.667985000000044,0
1212,-99,1664,23.025173999994877,0
1926,-92,1651,23.435081999996328,0
1840,-94,1679,23.876765000000887,0
1912,-102,1680,24.23004399999627,0
1862,-93,1690,24.550478999997722,0
1662,-105,1682,24.81891299999552,0
1632,-94,1686,25.15132900000026,0
2782,-101,1719,25.382591999994474,0
