latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
1,-101,1,-107374182,42,2023-04-26 14:06:58.024104
1,-103,1,-107374182,48,2023-04-26 14:06:58.277482
1,-103,1,-107374182,51,2023-04-26 14:06:58.468827
1,-103,1,-107374182,54,2023-04-26 14:06:58.653526
1,-103,1,-107374182,54,2023-04-26 14:06:58.845363
1,-103,1,-107374182,48,2023-04-26 14:06:59.030826
1,-103,1,-107374182,45,2023-04-26 14:06:59.216321
1,-102,1,-107374182,42,2023-04-26 14:06:59.398940
1,-100,1,-107374182,39,2023-04-26 14:06:59.580292
1,-97,1,-107374182,36,2023-04-26 14:06:59.774335
1,-93,1,-107374182,30,2023-04-26 14:06:59.968336
1,-90,1,-107374182,27,2023-04-26 14:07:00.133985
1,-88,1,-107374182,24,2023-04-26 14:07:00.331883
1,-87,1,-107374182,24,2023-04-26 14:07:00.513334
1,-90,1,-107374182,30,2023-04-26 14:07:00.723791
1,-95,1,-107374182,33,2023-04-26 14:07:00.899318
1,-98,1,-107374182,36,2023-04-26 14:07:01.099403
1,-101,1,-107374182,42,2023-04-26 14:07:01.283234
1,-102,1,-107374182,45,2023-04-26 14:07:01.465107
1,-102,1,-107374182,48,2023-04-26 14:07:01.645357
1,-105,1,-107374182,51,2023-04-26 14:07:01.833230
1,-105,1,-107374182,54,2023-04-26 14:07:02.015090
1,-105,1,-107374182,51,2023-04-26 14:07:02.208882
1,-105,1,-107374182,48,2023-04-26 14:07:02.381517
1,-105,1,-107374182,45,2023-04-26 14:07:02.566259
1,-104,1,-107374182,42,2023-04-26 14:07:02.755743
1,-100,1,-107374182,36,2023-04-26 14:07:02.958557
1,-97,1,-107374182,33,2023-04-26 14:07:03.162840
1,-94,1,-107374182,30,2023-04-26 14:07:03.357756
1,-90,1,-107374182,27,2023-04-26 14:07:03.540728
1,-87,1,-107374182,24,2023-04-26 14:07:03.744961
1,-90,1,-107374182,27,2023-04-26 14:07:03.938286
1,-94,1,-107374182,33,2023-04-26 14:07:04.142424
1,-97,1,-107374182,36,2023-04-26 14:07:04.344807
1,-101,1,-107374182,39,2023-04-26 14:07:04.517725
1,-103,1,-107374182,42,2023-04-26 14:07:04.723151
1,-104,1,-107374182,48,2023-04-26 14:07:04.944742
1,-104,1,-107374182,51,2023-04-26 14:07:05.140951
1,-104,1,-107374182,54,2023-04-26 14:07:05.374356
1,-104,1,-107374182,51,2023-04-26 14:07:05.566912
1,-104,1,-107374182,48,2023-04-26 14:07:05.773989
1,-103,1,-107374182,42,2023-04-26 14:07:05.983639
1,-100,1,-107374182,39,2023-04-26 14:07:06.193977
1,-98,1,-107374182,36,2023-04-26 14:07:06.392252
1,-95,1,-107374182,30,2023-04-26 14:07:06.576129
1,-91,1,-107374182,27,2023-04-26 14:07:06.806892
1,-88,1,-107374182,24,2023-04-26 14:07:07.006754
1,-88,1,-107374182,27,2023-04-26 14:07:07.210276
1,-92,1,-107374182,30,2023-04-26 14:07:07.444682
1,-94,1,-107374182,36,2023-04-26 14:07:07.628119
1,-98,1,-107374182,39,2023-04-26 14:07:07.822015
1,-102,1,-107374182,42,2023-04-26 14:07:08.012767
1,-104,1,-107374182,45,2023-04-26 14:07:08.207275
1,-105,1,-107374182,51,2023-04-26 14:07:08.398921
1,-105,1,-107374182,54,2023-04-26 14:07:08.597134
1,-105,1,-107374182,54,2023-04-26 14:07:08.794007
1,-105,1,-107374182,48,2023-04-26 14:07:08.973928
1,-105,1,-107374182,45,2023-04-26 14:07:09.159838
1,-101,1,-107374182,42,2023-04-26 14:07:09.361784
1,-99,1,-107374182,39,2023-04-26 14:07:09.544888
1,-100,1,-107374182,33,2023-04-26 14:07:09.726789
1,-94,1,-107374182,30,2023-04-26 14:07:09.956361
1,-90,1,-107374182,27,2023-04-26 14:07:10.154303
1,-87,1,-107374182,24,2023-04-26 14:07:10.374661
1,-89,1,-107374182,27,2023-04-26 14:07:10.607073
1,-93,1,-107374182,33,2023-04-26 14:07:10.815703
1,-98,1,-107374182,36,2023-04-26 14:07:11.023866
1,-100,1,-107374182,39,2023-04-26 14:07:11.214471
1,-104,1,-107374182,45,2023-04-26 14:07:11.399673
1,-104,1,-107374182,48,2023-04-26 14:07:11.622834
1,-104,1,-107374182,54,2023-04-26 14:07:11.830428
1,-104,1,-107374182,54,2023-04-26 14:07:12.061146
1,-104,1,-107374182,51,2023-04-26 14:07:12.244329
1,-104,1,-107374182,45,2023-04-26 14:07:12.445428
1,-103,1,-107374182,42,2023-04-26 14:07:12.619207
1,-101,1,-107374182,39,2023-04-26 14:07:12.830833
1,-99,1,-107374182,33,2023-04-26 14:07:13.038277
1,-93,1,-107374182,30,2023-04-26 14:07:13.230760
1,-91,1,-107374182,27,2023-04-26 14:07:13.463009
1,-86,1,-107374182,24,2023-04-26 14:07:13.698443
1,-89,1,-107374182,27,2023-04-26 14:07:13.901738
1,-92,1,-107374182,33,2023-04-26 14:07:14.135280
1,-97,1,-107374182,36,2023-04-26 14:07:14.328123
1,-100,1,-107374182,42,2023-04-26 14:07:14.531630
1,-103,1,-107374182,45,2023-04-26 14:07:14.694964
1,-103,1,-107374182,48,2023-04-26 14:07:14.895401
1,-103,1,-107374182,51,2023-04-26 14:07:15.106886
1,-103,1,-107374182,54,2023-04-26 14:07:15.291818
1,-103,1,-107374182,51,2023-04-26 14:07:15.461748
1,-103,1,-107374182,48,2023-04-26 14:07:15.657384
1,-104,1,-107374182,45,2023-04-26 14:07:15.874202
1,-101,1,-107374182,39,2023-04-26 14:07:16.065207
1,-99,1,-107374182,36,2023-04-26 14:07:16.241842
1,-98,1,-107374182,33,2023-04-26 14:07:16.433667
1,-95,1,-107374182,30,2023-04-26 14:07:16.617041
1,-92,1,-107374182,24,2023-04-26 14:07:16.822324
1,-89,1,-107374182,24,2023-04-26 14:07:17.033247
1,-92,1,-107374182,27,2023-04-26 14:07:17.227146
1,-95,1,-107374182,33,2023-04-26 14:07:17.431450
1,-99,1,-107374182,36,2023-04-26 14:07:17.634369
1,-102,1,-107374182,42,2023-04-26 14:07:17.837803
1,-103,1,-107374182,45,2023-04-26 14:07:18.031829
1,-102,1,-107374182,48,2023-04-26 14:07:18.214356
1,-102,1,-107374182,51,2023-04-26 14:07:18.417953
1,-102,1,-107374182,54,2023-04-26 14:07:18.610798
1,-102,1,-107374182,51,2023-04-26 14:07:18.804654
1,-102,1,-107374182,48,2023-04-26 14:07:19.024676
1,-103,1,-107374182,42,2023-04-26 14:07:19.222341
1,-99,1,-107374182,39,2023-04-26 14:07:19.407480
1,-97,1,-107374182,36,2023-04-26 14:07:19.610762
1,-97,1,-107374182,33,2023-04-26 14:07:19.792607
1,-91,1,-107374182,27,2023-04-26 14:07:19.985679
1,-88,1,-107374182,24,2023-04-26 14:07:20.181057
1,-88,1,-107374182,27,2023-04-26 14:07:20.395493
1,-94,1,-107374182,30,2023-04-26 14:07:20.597966
1,-95,1,-107374182,33,2023-04-26 14:07:20.791705
1,-97,1,-107374182,36,2023-04-26 14:07:20.983304
1,-101,1,-107374182,42,2023-04-26 14:07:21.197156
1,-106,1,-107374182,45,2023-04-26 14:07:21.389652
1,-102,1,-107374182,51,2023-04-26 14:07:21.613380
1,-102,1,-107374182,54,2023-04-26 14:07:21.848917
1,-102,1,-107374182,54,2023-04-26 14:07:22.036108
1,-102,1,-107374182,48,2023-04-26 14:07:22.225765
1,-103,1,-107374182,45,2023-04-26 14:07:22.427146
1,-102,1,-107374182,42,2023-04-26 14:07:22.633396
1,-100,1,-107374182,36,2023-04-26 14:07:22.847057
1,-94,1,-107374182,33,2023-04-26 14:07:23.041090
1,-93,1,-107374182,30,2023-04-26 14:07:23.239027
1,-91,1,-107374182,24,2023-04-26 14:07:23.434068
1,-87,1,-107374182,24,2023-04-26 14:07:23.638938
1,-89,1,-107374182,30,2023-04-26 14:07:23.861520
1,-96,1,-107374182,33,2023-04-26 14:07:24.085126
1,-97,1,-107374182,36,2023-04-26 14:07:24.289562
1,-101,1,-107374182,42,2023-04-26 14:07:24.483883
1,-102,1,-107374182,45,2023-04-26 14:07:24.696241
1,-103,1,-107374182,48,2023-04-26 14:07:24.869234
1,-103,1,-107374182,54,2023-04-26 14:07:25.081195
1,-103,1,-107374182,54,2023-04-26 14:07:25.255333
1,-103,1,-107374182,51,2023-04-26 14:07:25.456487
1,-104,1,-107374182,48,2023-04-26 14:07:25.660542
1,-103,1,-107374182,42,2023-04-26 14:07:25.853005
