dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-05-17 15:00:45.926902, 
 ,1, ,2023-05-17 15:00:46.197262
2, ,2023-05-17 15:00:48.282427, 
 ,2, ,2023-05-17 15:00:48.514283
3, ,2023-05-17 15:00:50.831187, 
 ,3, ,2023-05-17 15:00:51.048232
4, ,2023-05-17 15:00:53.353548, 
 ,4, ,2023-05-17 15:00:53.929392
5, ,2023-05-17 15:00:54.854402, 
 ,5, ,2023-05-17 15:00:55.157527
6, ,2023-05-17 15:00:57.296876, 
 ,6, ,2023-05-17 15:00:57.605722
7, ,2023-05-17 15:00:59.372798, 
 ,7, ,2023-05-17 15:00:59.576451
8, ,2023-05-17 15:01:03.550105, 
 ,8, ,2023-05-17 15:01:03.840025
9, ,2023-05-17 15:01:05.833452, 
 ,9, ,2023-05-17 15:01:06.061954
10, ,2023-05-17 15:01:08.045298, 
 ,10, ,2023-05-17 15:01:08.327878
