RSSI,latency var.,attn1,attn2,TIMESTAMP
-93,2569,-107374182,22,2023-05-10 15:35:44.299471
-96,2294,-107374182,26,2023-05-10 15:35:44.788588
-96,2088,-107374182,28,2023-05-10 15:35:45.069515
-99,1975,-107374182,30,2023-05-10 15:35:45.353161
-100,1836,-107374182,30,2023-05-10 15:35:45.642856
-103,1716,-107374182,32,2023-05-10 15:35:45.916992
-102,1701,-107374182,34,2023-05-10 15:35:46.238235
-103,2190,-107374182,36,2023-05-10 15:35:46.525654
-105,2781,-107374182,38,2023-05-10 15:35:46.808447
-105,2633,-107374182,38,2023-05-10 15:35:47.077468
-105,2428,-107374182,36,2023-05-10 15:35:47.381790
-103,2240,-107374182,34,2023-05-10 15:35:47.745348
-101,2025,-107374182,30,2023-05-10 15:35:48.069613
-100,1867,-107374182,28,2023-05-10 15:35:48.399893
-98,2373,-107374182,26,2023-05-10 15:35:48.751119
-95,3242,-107374182,24,2023-05-10 15:35:49.095596
-94,3019,-107374182,22,2023-05-10 15:35:49.453339
-94,2805,-107374182,20,2023-05-10 15:35:49.724310
-92,2603,-107374182,20,2023-05-10 15:35:50.091590
-94,2413,-107374182,22,2023-05-10 15:35:50.348626
-95,2280,-107374182,24,2023-05-10 15:35:50.633135
-99,2115,-107374182,26,2023-05-10 15:35:50.917243
-100,1963,-107374182,28,2023-05-10 15:35:51.211176
-100,1830,-107374182,30,2023-05-10 15:35:51.545404
-102,1710,-107374182,32,2023-05-10 15:35:51.840278
-104,1634,-107374182,34,2023-05-10 15:35:52.156440
-106,2132,-107374182,36,2023-05-10 15:35:52.451843
-103,2605,-107374182,38,2023-05-10 15:35:52.804571
-103,2466,-107374182,38,2023-05-10 15:35:53.113058
-103,2275,-107374182,36,2023-05-10 15:35:53.392129
-102,2098,-107374182,34,2023-05-10 15:35:53.696450
-102,1897,-107374182,32,2023-05-10 15:35:54.047969
-100,1749,-107374182,28,2023-05-10 15:35:54.341842
-100,1753,-107374182,28,2023-05-10 15:35:54.630168
-97,2441,-107374182,26,2023-05-10 15:35:54.943288
-100,2932,-107374182,22,2023-05-10 15:35:55.296772
-95,2717,-107374182,20,2023-05-10 15:35:55.641882
-93,2471,-107374182,20,2023-05-10 15:35:55.934330
-93,2291,-107374182,22,2023-05-10 15:35:56.265874
-96,2125,-107374182,24,2023-05-10 15:35:56.599364
-96,1974,-107374182,26,2023-05-10 15:35:56.920576
-102,1841,-107374182,28,2023-05-10 15:35:57.227001
-101,1718,-107374182,30,2023-05-10 15:35:57.515122
-103,1600,-107374182,32,2023-05-10 15:35:57.787880
-104,1508,-107374182,34,2023-05-10 15:35:58.159019
-104,1818,-107374182,36,2023-05-10 15:35:58.462234
-104,2507,-107374182,38,2023-05-10 15:35:58.839710
-105,2326,-107374182,38,2023-05-10 15:35:59.141147
-104,2146,-107374182,36,2023-05-10 15:35:59.382085
-102,2020,-107374182,34,2023-05-10 15:35:59.638055
-103,1863,-107374182,32,2023-05-10 15:35:59.936303
-100,1718,-107374182,30,2023-05-10 15:36:00.215128
-101,1632,-107374182,28,2023-05-10 15:36:00.519562
-98,2373,-107374182,26,2023-05-10 15:36:00.802846
-95,3230,-107374182,24,2023-05-10 15:36:01.136376
-94,3059,-107374182,22,2023-05-10 15:36:01.463270
-92,2780,-107374182,20,2023-05-10 15:36:01.785169
-93,2576,-107374182,20,2023-05-10 15:36:02.102700
-93,2344,-107374182,24,2023-05-10 15:36:02.472024
-96,2174,-107374182,26,2023-05-10 15:36:02.825144
-99,2017,-107374182,28,2023-05-10 15:36:03.139980
-100,1873,-107374182,30,2023-05-10 15:36:03.440489
-103,1743,-107374182,32,2023-05-10 15:36:03.737474
-106,1631,-107374182,34,2023-05-10 15:36:04.074417
-105,1841,-107374182,36,2023-05-10 15:36:04.453537
-105,2333,-107374182,38,2023-05-10 15:36:04.806905
-104,2213,-107374182,38,2023-05-10 15:36:05.105153
-105,2041,-107374182,36,2023-05-10 15:36:05.423803
-105,1882,-107374182,34,2023-05-10 15:36:05.741788
-101,1701,-107374182,30,2023-05-10 15:36:06.086210
-100,1569,-107374182,28,2023-05-10 15:36:06.391524
-100,1922,-107374182,26,2023-05-10 15:36:06.706302
-96,2990,-107374182,24,2023-05-10 15:36:07.027891
-96,3104,-107374182,22,2023-05-10 15:36:07.297912
-95,2875,-107374182,20,2023-05-10 15:36:07.632752
-93,2613,-107374182,20,2023-05-10 15:36:07.975139
-96,2423,-107374182,22,2023-05-10 15:36:08.341329
-95,2253,-107374182,24,2023-05-10 15:36:08.649606
-98,2098,-107374182,26,2023-05-10 15:36:08.968918
-99,1915,-107374182,30,2023-05-10 15:36:09.333042
-101,1778,-107374182,30,2023-05-10 15:36:09.655987
-102,1659,-107374182,34,2023-05-10 15:36:09.978639
-104,1606,-107374182,36,2023-05-10 15:36:10.286385
-104,2332,-107374182,38,2023-05-10 15:36:10.621885
-105,2594,-107374182,38,2023-05-10 15:36:10.949149
-103,2399,-107374182,36,2023-05-10 15:36:11.199670
-104,2258,-107374182,34,2023-05-10 15:36:11.491515
-105,2083,-107374182,32,2023-05-10 15:36:11.810086
-99,1883,-107374182,30,2023-05-10 15:36:12.149211
-99,1737,-107374182,28,2023-05-10 15:36:12.532491
-99,2597,-107374182,26,2023-05-10 15:36:12.820923
-95,3354,-107374182,24,2023-05-10 15:36:13.139448
-93,3093,-107374182,22,2023-05-10 15:36:13.532466
-92,2820,-107374182,20,2023-05-10 15:36:13.889904
-92,2621,-107374182,22,2023-05-10 15:36:14.186761
-93,2476,-107374182,24,2023-05-10 15:36:14.455265
-96,2253,-107374182,26,2023-05-10 15:36:14.792775
-97,2130,-107374182,28,2023-05-10 15:36:15.104993
-102,1977,-107374182,30,2023-05-10 15:36:15.446091
-103,1814,-107374182,32,2023-05-10 15:36:15.816056
-104,1696,-107374182,34,2023-05-10 15:36:16.149578
-103,2036,-107374182,36,2023-05-10 15:36:16.456570
-104,2523,-107374182,38,2023-05-10 15:36:16.767515
-103,2409,-107374182,38,2023-05-10 15:36:17.097093
-104,2134,-107374182,34,2023-05-10 15:36:17.514853
-101,1968,-107374182,32,2023-05-10 15:36:17.848952
-100,1815,-107374182,30,2023-05-10 15:36:18.158602
-99,1675,-107374182,28,2023-05-10 15:36:18.458810
-98,2137,-107374182,26,2023-05-10 15:36:18.762464
-95,3197,-107374182,24,2023-05-10 15:36:19.093190
-96,3021,-107374182,22,2023-05-10 15:36:19.396603
-92,2853,-107374182,20,2023-05-10 15:36:19.667848
-94,2644,-107374182,20,2023-05-10 15:36:19.982895
-93,2360,-107374182,22,2023-05-10 15:36:20.433935
-98,2188,-107374182,24,2023-05-10 15:36:20.776603
-101,1993,-107374182,28,2023-05-10 15:36:21.122224
-101,1854,-107374182,30,2023-05-10 15:36:21.475848
-102,1702,-107374182,32,2023-05-10 15:36:21.818345
-103,1602,-107374182,34,2023-05-10 15:36:22.116212
