dropout,TIMESTAMP
1,2023-03-06 12:46:04.566775
2,2023-03-06 12:46:05.834295
3,2023-03-06 12:46:06.346606
4,2023-03-06 12:46:06.376730
5,2023-03-06 12:46:06.408625
6,2023-03-06 12:46:06.439975
7,2023-03-06 12:46:06.471122
8,2023-03-06 12:46:06.502317
9,2023-03-06 12:46:06.535571
10,2023-03-06 12:46:06.581393
11,2023-03-06 12:46:06.611588
12,2023-03-06 12:46:06.643533
13,2023-03-06 12:46:06.678147
14,2023-03-06 12:46:06.709990
15,2023-03-06 12:46:06.739938
16,2023-03-06 12:46:06.771410
17,2023-03-06 12:46:06.801418
18,2023-03-06 12:46:06.831645
19,2023-03-06 12:46:06.862569
20,2023-03-06 12:46:08.384134
21,2023-03-06 12:46:08.889623
22,2023-03-06 12:46:08.921823
23,2023-03-06 12:46:08.951815
24,2023-03-06 12:46:08.999081
25,2023-03-06 12:46:09.028122
26,2023-03-06 12:46:09.059814
27,2023-03-06 12:46:09.091143
28,2023-03-06 12:46:09.121688
29,2023-03-06 12:46:09.152769
30,2023-03-06 12:46:09.184086
31,2023-03-06 12:46:09.216940
32,2023-03-06 12:46:09.263264
33,2023-03-06 12:46:09.294961
34,2023-03-06 12:46:09.323221
35,2023-03-06 12:46:09.354559
36,2023-03-06 12:46:09.387837
37,2023-03-06 12:46:09.419403
38,2023-03-06 12:46:09.451300
39,2023-03-06 12:46:09.481162
40,2023-03-06 12:46:09.515159
41,2023-03-06 12:46:09.547395
42,2023-03-06 12:46:09.582574
43,2023-03-06 12:46:09.614028
44,2023-03-06 12:46:09.643369
45,2023-03-06 12:46:09.684105
46,2023-03-06 12:46:09.715272
47,2023-03-06 12:46:09.746467
48,2023-03-06 12:46:09.781329
49,2023-03-06 12:46:09.813771
50,2023-03-06 12:46:09.852033
51,2023-03-06 12:46:09.881615
52,2023-03-06 12:46:09.912400
53,2023-03-06 12:46:09.944605
54,2023-03-06 12:46:10.147087
55,2023-03-06 12:46:10.384788
56,2023-03-06 12:46:10.689208
