latency,RSSI,attn1,attn2,TIMESTAMP
349,-77,-107374182,26,2023-03-13 16:25:47.470114
346,-74,-107374182,24,2023-03-13 16:25:47.734467
345,-72,-107374182,22,2023-03-13 16:25:47.947596
347,-71,-107374182,22,2023-03-13 16:25:48.176276
346,-71,-107374182,20,2023-03-13 16:25:48.369306
347,-73,-107374182,20,2023-03-13 16:25:48.545170
346,-72,-107374182,20,2023-03-13 16:25:48.727807
337,-72,-107374182,22,2023-03-13 16:25:48.904312
331,-77,-107374182,22,2023-03-13 16:25:49.079978
345,-79,-107374182,24,2023-03-13 16:25:49.318585
345,-79,-107374182,24,2023-03-13 16:25:49.564809
344,-82,-107374182,26,2023-03-13 16:25:49.815236
336,-83,-107374182,28,2023-03-13 16:25:50.012906
343,-82,-107374182,30,2023-03-13 16:25:50.334384
341,-84,-107374182,32,2023-03-13 16:25:50.710326
341,-86,-107374182,34,2023-03-13 16:25:51.119419
341,-88,-107374182,36,2023-03-13 16:25:51.513063
335,-93,-107374182,38,2023-03-13 16:25:51.921447
335,-94,-107374182,40,2023-03-13 16:25:52.332778
334,-95,-107374182,42,2023-03-13 16:25:52.728839
335,-91,-107374182,44,2023-03-13 16:25:53.121750
332,-95,-107374182,48,2023-03-13 16:25:53.526928
326,-98,-107374182,50,2023-03-13 16:25:53.962756
318,-98,-107374182,52,2023-03-13 16:25:54.328410
240,-99,-107374182,54,2023-03-13 16:25:54.728183
139,-101,-107374182,56,2023-03-13 16:25:55.109169
139,-104,-107374182,58,2023-03-13 16:25:55.470877
139,-104,-107374182,60,2023-03-13 16:25:55.854331
139,-104,-107374182,60,2023-03-13 16:25:56.231251
139,-104,-107374182,58,2023-03-13 16:25:56.637174
139,-103,-107374182,54,2023-03-13 16:25:57.002577
139,-103,-107374182,52,2023-03-13 16:25:57.400773
139,-101,-107374182,50,2023-03-13 16:25:57.753298
150,-100,-107374182,48,2023-03-13 16:25:58.119357
170,-98,-107374182,46,2023-03-13 16:25:58.535995
450,-99,-107374182,44,2023-03-13 16:25:58.928581
204,-97,-107374182,42,2023-03-13 16:25:59.351973
211,-90,-107374182,40,2023-03-13 16:25:59.755453
210,-89,-107374182,36,2023-03-13 16:26:00.146017
206,-85,-107374182,34,2023-03-13 16:26:00.552434
210,-82,-107374182,32,2023-03-13 16:26:00.937917
210,-79,-107374182,30,2023-03-13 16:26:01.354408
210,-82,-107374182,28,2023-03-13 16:26:01.739528
209,-76,-107374182,26,2023-03-13 16:26:02.109548
208,-75,-107374182,24,2023-03-13 16:26:02.520687
209,-72,-107374182,22,2023-03-13 16:26:02.935185
208,-70,-107374182,20,2023-03-13 16:26:03.335989
198,-71,-107374182,22,2023-03-13 16:26:03.716859
208,-73,-107374182,24,2023-03-13 16:26:04.071703
206,-75,-107374182,26,2023-03-13 16:26:04.453878
208,-78,-107374182,28,2023-03-13 16:26:04.789951
208,-80,-107374182,30,2023-03-13 16:26:05.202675
195,-81,-107374182,32,2023-03-13 16:26:05.515007
207,-83,-107374182,34,2023-03-13 16:26:05.920072
202,-84,-107374182,36,2023-03-13 16:26:06.303380
207,-87,-107374182,38,2023-03-13 16:26:06.643385
205,-90,-107374182,40,2023-03-13 16:26:06.991135
206,-90,-107374182,42,2023-03-13 16:26:07.301914
206,-93,-107374182,44,2023-03-13 16:26:07.608940
206,-93,-107374182,46,2023-03-13 16:26:07.893921
193,-101,-107374182,48,2023-03-13 16:26:08.332355
125,-102,-107374182,50,2023-03-13 16:26:08.686779
160,-101,-107374182,52,2023-03-13 16:26:09.017188
160,-99,-107374182,54,2023-03-13 16:26:09.335698
160,-101,-107374182,56,2023-03-13 16:26:09.698871
160,-102,-107374182,58,2023-03-13 16:26:10.053983
160,-103,-107374182,60,2023-03-13 16:26:10.490955
160,-103,-107374182,60,2023-03-13 16:26:10.876416
160,-105,-107374182,58,2023-03-13 16:26:11.240894
160,-101,-107374182,56,2023-03-13 16:26:11.640115
160,-100,-107374182,54,2023-03-13 16:26:12.021718
160,-101,-107374182,50,2023-03-13 16:26:12.465621
154,-101,-107374182,48,2023-03-13 16:26:12.840472
199,-97,-107374182,46,2023-03-13 16:26:13.240309
151,-94,-107374182,44,2023-03-13 16:26:13.668148
150,-91,-107374182,42,2023-03-13 16:26:14.100896
150,-91,-107374182,40,2023-03-13 16:26:14.461099
148,-89,-107374182,38,2023-03-13 16:26:14.842630
146,-85,-107374182,34,2023-03-13 16:26:15.268244
150,-86,-107374182,32,2023-03-13 16:26:15.667473
150,-82,-107374182,30,2023-03-13 16:26:16.114434
150,-78,-107374182,28,2023-03-13 16:26:16.535325
148,-81,-107374182,26,2023-03-13 16:26:16.928907
150,-76,-107374182,22,2023-03-13 16:26:17.353676
151,-75,-107374182,20,2023-03-13 16:26:17.761368
146,-75,-107374182,20,2023-03-13 16:26:18.164657
143,-72,-107374182,22,2023-03-13 16:26:18.539586
151,-74,-107374182,24,2023-03-13 16:26:18.940842
151,-76,-107374182,26,2023-03-13 16:26:19.304002
149,-78,-107374182,28,2023-03-13 16:26:19.696287
150,-80,-107374182,30,2023-03-13 16:26:20.082189
138,-82,-107374182,34,2023-03-13 16:26:20.446844
149,-84,-107374182,36,2023-03-13 16:26:20.812166
150,-87,-107374182,38,2023-03-13 16:26:21.182428
