dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-05-17 17:05:24.463044, 
 ,1, ,2023-05-17 17:05:24.885914
2, ,2023-05-17 17:05:27.149122, 
 ,2, ,2023-05-17 17:05:27.726044
3, ,2023-05-17 17:05:29.769629, 
 ,3, ,2023-05-17 17:05:30.054537
4, ,2023-05-17 17:05:32.602110, 
 ,4, ,2023-05-17 17:05:32.915941
5, ,2023-05-17 17:05:34.872630, 
 ,5, ,2023-05-17 17:05:35.438025
6, ,2023-05-17 17:05:38.175739, 
 ,6, ,2023-05-17 17:05:38.538983
7, ,2023-05-17 17:05:43.967227, 
 ,7, ,2023-05-17 17:05:44.331231
8, ,2023-05-17 17:05:46.322833, 
 ,8, ,2023-05-17 17:05:46.928256
9, ,2023-05-17 17:05:49.309255, 
 ,9, ,2023-05-17 17:05:49.609859
10, ,2023-05-17 17:05:52.126803, 
 ,10, ,2023-05-17 17:05:52.713554
