latency,RSSI,TIMESTAMP,Predicted Drops
345.0,-98.0,0.0,0
253.0,-104.0,0.3691379999945638,1
290.0,-97.0,0.760126000001037,1
346.0,-95.0,1.123249999996915,0
317.0,-104.0,1.5083919999960926,1
238.0,-101.0,1.8558090000005905,1
347.0,-97.0,2.2088299999959418,0
336.0,-102.0,2.524506999994628,0
283.0,-104.0,2.855836999995517,1
346.0,-95.0,3.192386999995506,0
345.0,-96.0,3.526182000001427,0
318.0,-104.0,3.8603339999972377,1
318.0,-98.0,4.195120999997016,0
345.0,-93.0,4.509344999998575,0
345.0,-97.0,4.811881999994512,0
332.0,-102.0,5.1484960000016144,0
320.0,-97.0,5.513803000001644,0
341.0,-95.0,5.867420999995375,0
346.0,-102.0,6.249882999996771,0
346.0,-102.0,6.596607999999833,0
327.0,-94.0,6.961843999997655,0
322.0,-101.0,7.365595999996003,0
220.0,-102.0,7.780479000000923,1
319.0,-94.0,8.125677999996697,0
320.0,-103.0,8.518255999995745,1
309.0,-102.0,8.853476999996928,1
344.0,-96.0,9.176103999998304,0
343.0,-96.0,9.51392499999929,0
340.0,-102.0,9.80137200000172,0
340.0,-102.0,10.147433999998611,0
342.0,-94.0,10.504174000001512,0
342.0,-99.0,10.84838199999649,0
310.0,-104.0,11.152322999994794,1
294.0,-97.0,11.52559399999882,0
348.0,-95.0,11.862097999997786,0
344.0,-101.0,12.17776800000138,0
308.0,-104.0,12.502418999996737,1
346.0,-94.0,12.870819999996456,0
346.0,-98.0,13.187749999997322,0
342.0,-103.0,13.517378999997163,0
220.0,-100.0,13.849314999999478,1
291.0,-97.0,14.245253000000956,1
292.0,-102.0,14.56055099999503,1
251.0,-103.0,14.894589999996242,1
345.0,-93.0,15.24268899999879,0
343.0,-98.0,15.606879999999364,0
345.0,-106.0,15.919592999998711,0
230.0,-97.0,16.31490699999995,1
309.0,-95.0,16.6981439999945,0
288.0,-103.0,17.042133999995713,1
228.0,-102.0,17.405730999998923,1
341.0,-93.0,17.790667000001122,0
334.0,-102.0,18.151617999996237,0
334.0,-102.0,18.53562699999748,0
315.0,-94.0,18.898997999996936,0
315.0,-99.0,19.224568999998155,0
310.0,-103.0,19.51856299999781,1
253.0,-99.0,19.86435099999653,1
343.0,-93.0,20.19099999999889,0
347.0,-103.0,20.51462799999717,0
317.0,-103.0,20.859670999998343,1
337.0,-95.0,21.217124999995576,0
328.0,-96.0,21.56192499999452,0
308.0,-105.0,21.88522499999817,1
308.0,-100.0,22.212726999998267,0
347.0,-92.0,22.548719999998863,0
345.0,-98.0,22.864818999994892,0
271.0,-104.0,23.190366999995604,1
337.0,-98.0,23.544809999999416,0
348.0,-97.0,23.87046399999963,0
340.0,-103.0,24.236190999996325,0
340.0,-99.0,24.58086799999728,0
345.0,-92.0,24.915977999997267,0
343.0,-105.0,25.25939400000061,0
263.0,-103.0,25.606175000000803,1
315.0,-97.0,25.940836000001585,0
349.0,-95.0,26.265973000001395,0
331.0,-102.0,26.591865999995207,0
331.0,-103.0,26.936840999995184,0
317.0,-91.0,27.361019999996643,0
315.0,-101.0,27.73540199999843,0
312.0,-103.0,28.098642999997537,1
329.0,-93.0,28.491064000001643,0
327.0,-99.0,28.85707700000057,0
317.0,-104.0,29.265810999997484,1
324.0,-96.0,29.640655999995943,0
325.0,-102.0,30.00406700000167,0
292.0,-105.0,30.33522699999594,1
238.0,-97.0,30.67990299999656,1
321.0,-92.0,30.996814999998605,0
318.0,-104.0,31.33214399999997,1
309.0,-104.0,31.687592999995104,1
345.0,-94.0,32.02259399999457,0
348.0,-98.0,32.33878299999924,0
256.0,-102.0,32.64593999999488,1
256.0,-102.0,32.97048799999902,1
313.0,-93.0,33.27515499999572,0
312.0,-101.0,33.60047900000063,1
242.0,-105.0,33.95289799999591,1
247.0,-99.0,34.38018899999588,1
330.0,-98.0,34.71538099999452,0
291.0,-103.0,35.0404469999994,1
291.0,-102.0,35.36488799999643,1
348.0,-93.0,35.716678999997384,0
346.0,-101.0,36.08227700000134,0
340.0,-102.0,36.42798300000141,0
336.0,-96.0,36.77034899999853,0
336.0,-97.0,37.085048000000825,0
320.0,-102.0,37.45707299999776,0
320.0,-102.0,37.81368099999963,0
347.0,-92.0,38.11377899999934,0
347.0,-101.0,38.43856599999708,0
312.0,-103.0,38.74775399999635,1
