RSSI,latency var.,TIMESTAMP,Drop?
-100,1997,0.0,0
-96,2891,0.25744200000190176,0
-94,2912,0.5071180000013555,0
-95,2698,0.7818909999987227,0
-92,2549,1.0616829999999027,0
-92,2408,1.2938219999996363,0
-96,2233,1.5648399999990943,0
-96,2111,1.8236630000028526,0
-98,1959,2.08262200000172,0
-101,1853,2.3408090000011725,0
-99,1753,2.606111000000965,0
-100,1629,2.8607190000038827,0
-100,1543,3.1002970000045025,0
-102,1506,3.352731999999378,0
-105,1751,3.5884250000017346,0
-106,2225,3.824504000003799,1
-104,2350,4.094729000004008,1
-105,2223,4.337485000003653,1
-104,2092,4.560380000002624,1
-102,1969,4.828777000002447,1
-103,1816,5.080678999998781,1
-101,1709,5.353741999999329,1
-99,1596,5.61153899999772,1
-98,2041,5.8527479999975185,1
-98,2770,6.0787360000031185,1
-95,3030,6.3836000000010245,0
-96,2809,6.629225000004226,0
-92,2653,6.880715999999666,0
-94,2459,7.168679000002157,0
-95,2324,7.394935000003898,0
-97,2196,7.655862999999954,0
-95,2038,7.944814000002225,0
-98,1892,8.230099000000337,0
-99,1790,8.478666000002704,0
-101,1694,8.73287700000219,0
-103,1574,9.01648700000078,0
-104,1501,9.28349000000162,0
-102,1810,9.560878000003868,0
-106,2327,9.84408500000427,1
-103,2436,10.120151000002807,1
-104,2249,10.384438000000955,1
-104,2116,10.644780000002356,1
-102,1992,10.89628200000152,1
-103,1837,11.171601000001829,1
-100,1695,11.507539999998698,1
-99,1835,11.765291000003344,1
-98,2823,12.079882999998517,0
-94,2997,12.347484999998414,0
-95,2776,12.597073000004457,0
-93,2622,12.86352099999931,0
-91,2431,13.1519879999978,0
-92,2297,13.394483000003675,0
-93,2131,13.690238000002864,0
-97,2015,13.946409000003769,0
-96,1870,14.226872999999614,0
-99,1769,14.512817000002542,0
-100,1644,14.813409000002139,0
-101,1529,15.102812000004633,0
-104,1493,15.349824000004446,0
-103,2059,15.601890999998432,0
-105,2499,15.862034999998286,1
-106,2425,16.127917999998317,1
-106,2283,16.440142999999807,1
