latency,RSSI,latency var.,attn1,attn2,TIMESTAMP
330,-72,47,-107374182,0,2023-05-10 15:07:04.609988
330,-73,47,-107374182,0,2023-05-10 15:07:05.137417
322,-71,52,-107374182,0,2023-05-10 15:07:05.560620
319,-71,52,-107374182,0,2023-05-10 15:07:05.953799
339,-72,51,-107374182,0,2023-05-10 15:07:06.346729
325,-73,53,-107374182,0,2023-05-10 15:07:06.716126
336,-72,54,-107374182,0,2023-05-10 15:07:07.110137
325,-72,52,-107374182,0,2023-05-10 15:07:07.536486
331,-73,52,-107374182,0,2023-05-10 15:07:07.950931
323,-73,52,-107374182,0,2023-05-10 15:07:08.373443
332,-72,50,-107374182,0,2023-05-10 15:07:08.820089
320,-70,48,-107374182,0,2023-05-10 15:07:09.223671
318,-71,47,-107374182,0,2023-05-10 15:07:09.616031
325,-72,45,-107374182,0,2023-05-10 15:07:10.029559
332,-72,44,-107374182,0,2023-05-10 15:07:10.388902
332,-72,43,-107374182,0,2023-05-10 15:07:10.783928
324,-73,43,-107374182,0,2023-05-10 15:07:11.163760
332,-71,41,-107374182,0,2023-05-10 15:07:11.574829
329,-71,40,-107374182,0,2023-05-10 15:07:11.983782
321,-71,39,-107374182,0,2023-05-10 15:07:12.393330
327,-71,39,-107374182,0,2023-05-10 15:07:12.779043
325,-71,38,-107374182,0,2023-05-10 15:07:13.174728
337,-72,38,-107374182,0,2023-05-10 15:07:13.548296
335,-71,37,-107374182,0,2023-05-10 15:07:13.957466
326,-72,37,-107374182,0,2023-05-10 15:07:14.323050
322,-72,37,-107374182,0,2023-05-10 15:07:14.756209
323,-71,36,-107374182,0,2023-05-10 15:07:15.225822
328,-72,36,-107374182,0,2023-05-10 15:07:15.627242
324,-73,38,-107374182,0,2023-05-10 15:07:15.987957
318,-72,39,-107374182,0,2023-05-10 15:07:16.391776
334,-72,39,-107374182,0,2023-05-10 15:07:16.769549
334,-71,38,-107374182,0,2023-05-10 15:07:17.155382
327,-70,37,-107374182,0,2023-05-10 15:07:17.545809
336,-70,37,-107374182,0,2023-05-10 15:07:17.941603
330,-72,36,-107374182,0,2023-05-10 15:07:18.441844
332,-71,35,-107374182,0,2023-05-10 15:07:18.862965
329,-71,35,-107374182,0,2023-05-10 15:07:19.276976
338,-71,35,-107374182,0,2023-05-10 15:07:19.674224
334,-73,36,-107374182,0,2023-05-10 15:07:20.074392
328,-72,36,-107374182,0,2023-05-10 15:07:20.480676
325,-73,35,-107374182,0,2023-05-10 15:07:20.918793
333,-71,35,-107374182,0,2023-05-10 15:07:21.347041
328,-73,34,-107374182,0,2023-05-10 15:07:21.705613
325,-72,34,-107374182,0,2023-05-10 15:07:22.066628
325,-72,34,-107374182,0,2023-05-10 15:07:22.464243
335,-72,33,-107374182,0,2023-05-10 15:07:22.860477
326,-73,41,-107374182,0,2023-05-10 15:07:23.288529
329,-73,47,-107374182,0,2023-05-10 15:07:23.681398
327,-72,46,-107374182,0,2023-05-10 15:07:24.033454
325,-73,48,-107374182,0,2023-05-10 15:07:24.408630
333,-71,53,-107374182,0,2023-05-10 15:07:24.816038
328,-71,52,-107374182,0,2023-05-10 15:07:25.208175
334,-72,52,-107374182,0,2023-05-10 15:07:25.675211
334,-72,54,-107374182,0,2023-05-10 15:07:26.114207
324,-74,53,-107374182,0,2023-05-10 15:07:26.473042
332,-73,52,-107374182,0,2023-05-10 15:07:26.894581
321,-72,53,-107374182,0,2023-05-10 15:07:27.294495
334,-71,51,-107374182,0,2023-05-10 15:07:27.696886
331,-73,49,-107374182,0,2023-05-10 15:07:28.122603
326,-72,48,-107374182,0,2023-05-10 15:07:28.531191
324,-72,46,-107374182,0,2023-05-10 15:07:28.924957
327,-71,45,-107374182,0,2023-05-10 15:07:29.381290
332,-71,43,-107374182,0,2023-05-10 15:07:29.786081
331,-72,42,-107374182,0,2023-05-10 15:07:30.192118
338,-71,42,-107374182,0,2023-05-10 15:07:30.591895
339,-71,41,-107374182,0,2023-05-10 15:07:30.965328
333,-72,40,-107374182,0,2023-05-10 15:07:31.378292
324,-72,40,-107374182,0,2023-05-10 15:07:31.837206
331,-72,42,-107374182,0,2023-05-10 15:07:32.228231
335,-73,43,-107374182,0,2023-05-10 15:07:32.639987
325,-72,41,-107374182,0,2023-05-10 15:07:33.054216
334,-72,40,-107374182,0,2023-05-10 15:07:33.437306
327,-73,39,-107374182,0,2023-05-10 15:07:33.847947
330,-72,39,-107374182,0,2023-05-10 15:07:34.271991
330,-72,39,-107374182,0,2023-05-10 15:07:34.647020
329,-72,39,-107374182,0,2023-05-10 15:07:35.053470
337,-71,38,-107374182,0,2023-05-10 15:07:35.473774
324,-72,38,-107374182,0,2023-05-10 15:07:35.847424
336,-72,38,-107374182,0,2023-05-10 15:07:36.259674
321,-72,37,-107374182,0,2023-05-10 15:07:36.741632
329,-73,36,-107374182,0,2023-05-10 15:07:37.172231
328,-72,35,-107374182,0,2023-05-10 15:07:37.635406
