latency,RSSI,attn1,attn2,TIMESTAMP
294,-92,-107374182,20,2023-05-10 11:29:42.416457
296,-98,-107374182,30,2023-05-10 11:29:42.765712
271,-104,-107374182,38,2023-05-10 11:29:43.038808
149,-99,-107374182,30,2023-05-10 11:29:43.363089
281,-93,-107374182,20,2023-05-10 11:29:43.672651
282,-94,-107374182,26,2023-05-10 11:29:43.968536
287,-101,-107374182,36,2023-05-10 11:29:44.270811
24,-101,-107374182,32,2023-05-10 11:29:44.595935
301,-94,-107374182,22,2023-05-10 11:29:44.940413
283,-93,-107374182,26,2023-05-10 11:29:45.236656
269,-100,-107374182,34,2023-05-10 11:29:45.540529
55,-101,-107374182,34,2023-05-10 11:29:45.851684
269,-97,-107374182,24,2023-05-10 11:29:46.136968
267,-91,-107374182,22,2023-05-10 11:29:46.434871
285,-99,-107374182,32,2023-05-10 11:29:46.725043
188,-101,-107374182,38,2023-05-10 11:29:47.001510
252,-99,-107374182,28,2023-05-10 11:29:47.317736
273,-90,-107374182,20,2023-05-10 11:29:47.631250
260,-97,-107374182,28,2023-05-10 11:29:47.944285
262,-102,-107374182,38,2023-05-10 11:29:48.229136
176,-101,-107374182,32,2023-05-10 11:29:48.527978
277,-93,-107374182,22,2023-05-10 11:29:48.829766
264,-95,-107374182,26,2023-05-10 11:29:49.144148
278,-100,-107374182,34,2023-05-10 11:29:49.433485
97,-103,-107374182,36,2023-05-10 11:29:49.717844
284,-96,-107374182,26,2023-05-10 11:29:50.018303
270,-89,-107374182,22,2023-05-10 11:29:50.337535
274,-97,-107374182,32,2023-05-10 11:29:50.632781
174,-103,-107374182,38,2023-05-10 11:29:50.928077
291,-98,-107374182,26,2023-05-10 11:29:51.276211
281,-90,-107374182,20,2023-05-10 11:29:51.585318
263,-98,-107374182,30,2023-05-10 11:29:51.895590
234,-104,-107374182,38,2023-05-10 11:29:52.172699
253,-100,-107374182,30,2023-05-10 11:29:52.501206
301,-90,-107374182,20,2023-05-10 11:29:52.798599
277,-95,-107374182,28,2023-05-10 11:29:53.125440
265,-104,-107374182,38,2023-05-10 11:29:53.428565
147,-100,-107374182,30,2023-05-10 11:29:53.756859
268,-95,-107374182,22,2023-05-10 11:29:54.033555
283,-93,-107374182,24,2023-05-10 11:29:54.303937
283,-101,-107374182,34,2023-05-10 11:29:54.617330
72,-104,-107374182,34,2023-05-10 11:29:54.919918
277,-99,-107374182,26,2023-05-10 11:29:55.227363
278,-91,-107374182,22,2023-05-10 11:29:55.526234
295,-101,-107374182,30,2023-05-10 11:29:55.811899
198,-102,-107374182,38,2023-05-10 11:29:56.093949
259,-100,-107374182,28,2023-05-10 11:29:56.406347
266,-91,-107374182,20,2023-05-10 11:29:56.693822
300,-95,-107374182,28,2023-05-10 11:29:57.007600
300,-101,-107374182,36,2023-05-10 11:29:57.300367
7,-100,-107374182,32,2023-05-10 11:29:57.598660
305,-93,-107374182,22,2023-05-10 11:29:57.914218
271,-94,-107374182,26,2023-05-10 11:29:58.235554
275,-99,-107374182,34,2023-05-10 11:29:58.530540
75,-103,-107374182,34,2023-05-10 11:29:58.830382
264,-95,-107374182,24,2023-05-10 11:29:59.142607
268,-92,-107374182,22,2023-05-10 11:29:59.438278
270,-99,-107374182,32,2023-05-10 11:29:59.738444
171,-105,-107374182,38,2023-05-10 11:30:00.026410
278,-99,-107374182,28,2023-05-10 11:30:00.341827
263,-91,-107374182,20,2023-05-10 11:30:00.662546
298,-97,-107374182,28,2023-05-10 11:30:00.951539
257,-103,-107374182,38,2023-05-10 11:30:01.250921
191,-102,-107374182,30,2023-05-10 11:30:01.563562
261,-95,-107374182,22,2023-05-10 11:30:01.844405
277,-93,-107374182,26,2023-05-10 11:30:02.130255
288,-101,-107374182,34,2023-05-10 11:30:02.413666
59,-102,-107374182,36,2023-05-10 11:30:02.703790
260,-97,-107374182,26,2023-05-10 11:30:03.004735
299,-92,-107374182,22,2023-05-10 11:30:03.320089
297,-97,-107374182,30,2023-05-10 11:30:03.610021
185,-103,-107374182,38,2023-05-10 11:30:03.904992
4,-99,-107374182,28,2023-05-10 11:30:04.218307
275,-92,-107374182,20,2023-05-10 11:30:04.531173
259,-98,-107374182,30,2023-05-10 11:30:04.858655
237,-101,-107374182,38,2023-05-10 11:30:05.173977
260,-99,-107374182,30,2023-05-10 11:30:05.497964
260,-92,-107374182,20,2023-05-10 11:30:05.805058
297,-96,-107374182,28,2023-05-10 11:30:06.113140
283,-102,-107374182,38,2023-05-10 11:30:06.422303
22,-103,-107374182,32,2023-05-10 11:30:06.738779
255,-93,-107374182,20,2023-05-10 11:30:07.065305
293,-95,-107374182,26,2023-05-10 11:30:07.349791
259,-101,-107374182,34,2023-05-10 11:30:07.650083
46,-102,-107374182,34,2023-05-10 11:30:07.965196
281,-96,-107374182,24,2023-05-10 11:30:08.265576
299,-90,-107374182,22,2023-05-10 11:30:08.544612
268,-100,-107374182,32,2023-05-10 11:30:08.839277
156,-103,-107374182,38,2023-05-10 11:30:09.136416
271,-100,-107374182,28,2023-05-10 11:30:09.436449
290,-92,-107374182,20,2023-05-10 11:30:09.722706
292,-97,-107374182,28,2023-05-10 11:30:10.021152
195,-103,-107374182,36,2023-05-10 11:30:10.314454
35121,-101,-107374182,32,2023-05-10 11:30:10.627202
267,-95,-107374182,22,2023-05-10 11:30:10.947709
303,-94,-107374182,26,2023-05-10 11:30:11.258652
290,-100,-107374182,36,2023-05-10 11:30:11.568519
40,-102,-107374182,34,2023-05-10 11:30:11.867582
286,-95,-107374182,24,2023-05-10 11:30:12.166531
260,-92,-107374182,22,2023-05-10 11:30:12.447746
264,-96,-107374182,32,2023-05-10 11:30:12.750809
167,-104,-107374182,38,2023-05-10 11:30:13.047925
290,-99,-107374182,28,2023-05-10 11:30:13.372777
275,-91,-107374182,20,2023-05-10 11:30:13.688794
278,-98,-107374182,30,2023-05-10 11:30:13.978416
179,-102,-107374182,38,2023-05-10 11:30:14.279608
287,-99,-107374182,28,2023-05-10 11:30:14.619663
261,-91,-107374182,20,2023-05-10 11:30:14.946155
298,-98,-107374182,30,2023-05-10 11:30:15.262548
250,-103,-107374182,38,2023-05-10 11:30:15.559632
185,-99,-107374182,30,2023-05-10 11:30:15.873488
291,-93,-107374182,20,2023-05-10 11:30:16.171064
294,-93,-107374182,26,2023-05-10 11:30:16.463384
293,-101,-107374182,36,2023-05-10 11:30:16.765404
31,-101,-107374182,32,2023-05-10 11:30:17.090333
302,-94,-107374182,22,2023-05-10 11:30:17.402664
258,-91,-107374182,24,2023-05-10 11:30:17.703805
296,-102,-107374182,34,2023-05-10 11:30:18.008195
58,-101,-107374182,36,2023-05-10 11:30:18.308909
293,-95,-107374182,26,2023-05-10 11:30:18.624498
279,-93,-107374182,22,2023-05-10 11:30:18.932094
283,-98,-107374182,32,2023-05-10 11:30:19.225069
188,-101,-107374182,38,2023-05-10 11:30:19.526139
292,-98,-107374182,28,2023-05-10 11:30:19.873162
293,-91,-107374182,20,2023-05-10 11:30:20.168590
294,-98,-107374182,30,2023-05-10 11:30:20.469240
230,-105,-107374182,38,2023-05-10 11:30:20.766642
136,-101,-107374182,30,2023-05-10 11:30:21.083862
280,-93,-107374182,20,2023-05-10 11:30:21.384846
280,-95,-107374182,26,2023-05-10 11:30:21.685499
277,-101,-107374182,36,2023-05-10 11:30:21.984382
35106,-102,-107374182,32,2023-05-10 11:30:22.303588
301,-95,-107374182,22,2023-05-10 11:30:22.623343
274,-95,-107374182,26,2023-05-10 11:30:22.943078
293,-101,-107374182,34,2023-05-10 11:30:23.262392
35121,-102,-107374182,34,2023-05-10 11:30:23.569548
260,-95,-107374182,22,2023-05-10 11:30:23.918231
269,-95,-107374182,26,2023-05-10 11:30:24.245592
248,-101,-107374182,36,2023-05-10 11:30:24.562052
23,-103,-107374182,34,2023-05-10 11:30:24.880048
273,-95,-107374182,24,2023-05-10 11:30:25.218170
277,-94,-107374182,26,2023-05-10 11:30:25.540148
266,-101,-107374182,36,2023-05-10 11:30:25.907845
80,-99,-107374182,30,2023-05-10 11:30:26.306279
283,-91,-107374182,20,2023-05-10 11:30:26.640387
266,-98,-107374182,28,2023-05-10 11:30:26.952803
258,-103,-107374182,38,2023-05-10 11:30:27.258153
163,-99,-107374182,30,2023-05-10 11:30:27.601720
301,-92,-107374182,20,2023-05-10 11:30:27.912840
274,-96,-107374182,28,2023-05-10 11:30:28.240039
211,-103,-107374182,38,2023-05-10 11:30:28.550418
79,-98,-107374182,30,2023-05-10 11:30:28.892978
302,-93,-107374182,20,2023-05-10 11:30:29.200905
259,-94,-107374182,28,2023-05-10 11:30:29.501532
258,-101,-107374182,36,2023-05-10 11:30:29.801874
97,-100,-107374182,32,2023-05-10 11:30:30.130963
269,-96,-107374182,22,2023-05-10 11:30:30.443312
303,-93,-107374182,26,2023-05-10 11:30:30.754693
263,-102,-107374182,36,2023-05-10 11:30:31.097499
