latency,RSSI,latency var.,attn1,attn2,TIMESTAMP
318,-92,3777,-107374182,22,2023-05-10 15:07:58.547095
329,-94,3548,-107374182,22,2023-05-10 15:07:59.135440
199,-102,3419,-107374182,28,2023-05-10 15:07:59.497735
309,-102,3362,-107374182,38,2023-05-10 15:07:59.878208
328,-94,3313,-107374182,26,2023-05-10 15:08:00.279454
125,-98,3290,-107374182,20,2023-05-10 15:08:00.750717
173,-102,3401,-107374182,32,2023-05-10 15:08:01.182084
314,-103,3456,-107374182,38,2023-05-10 15:08:01.615764
313,-97,3441,-107374182,26,2023-05-10 15:08:02.005974
323,-93,3311,-107374182,22,2023-05-10 15:08:02.469850
191,-96,3155,-107374182,24,2023-05-10 15:08:02.968059
200,-103,3098,-107374182,32,2023-05-10 15:08:03.395471
319,-102,3136,-107374182,38,2023-05-10 15:08:03.814965
308,-96,3187,-107374182,26,2023-05-10 15:08:04.253003
249,-96,3179,-107374182,20,2023-05-10 15:08:04.646086
260,-102,3130,-107374182,32,2023-05-10 15:08:05.024804
316,-96,3109,-107374182,30,2023-05-10 15:08:05.404441
308,-94,3132,-107374182,22,2023-05-10 15:08:05.852446
267,-97,3162,-107374182,20,2023-05-10 15:08:06.356616
220,-101,3096,-107374182,32,2023-05-10 15:08:06.738324
327,-100,3083,-107374182,34,2023-05-10 15:08:07.176167
320,-94,3082,-107374182,30,2023-05-10 15:08:07.636863
294,-91,3218,-107374182,22,2023-05-10 15:08:08.102804
144,-99,3412,-107374182,24,2023-05-10 15:08:08.518587
319,-103,3464,-107374182,38,2023-05-10 15:08:08.879588
307,-97,3431,-107374182,30,2023-05-10 15:08:09.271990
257,-98,3374,-107374182,20,2023-05-10 15:08:09.697811
193,-103,3267,-107374182,28,2023-05-10 15:08:10.192859
302,-101,3251,-107374182,38,2023-05-10 15:08:10.580722
310,-93,3316,-107374182,30,2023-05-10 15:08:10.974254
312,-93,3307,-107374182,22,2023-05-10 15:08:11.456295
192,-99,3171,-107374182,24,2023-05-10 15:08:11.906156
262,-103,3103,-107374182,36,2023-05-10 15:08:12.281308
317,-96,3085,-107374182,30,2023-05-10 15:08:12.718581
320,-93,3095,-107374182,26,2023-05-10 15:08:13.151015
160,-98,3107,-107374182,24,2023-05-10 15:08:13.557880
303,-103,3100,-107374182,36,2023-05-10 15:08:13.954080
327,-97,3091,-107374182,30,2023-05-10 15:08:14.346494
250,-94,3080,-107374182,20,2023-05-10 15:08:14.737430
246,-102,3082,-107374182,32,2023-05-10 15:08:15.130757
314,-98,3042,-107374182,34,2023-05-10 15:08:15.551749
312,-96,2916,-107374182,30,2023-05-10 15:08:16.038169
309,-97,2859,-107374182,20,2023-05-10 15:08:16.447214
163,-102,2862,-107374182,28,2023-05-10 15:08:16.863840
313,-100,2983,-107374182,38,2023-05-10 15:08:17.254020
319,-92,3044,-107374182,26,2023-05-10 15:08:17.654340
181,-94,3017,-107374182,22,2023-05-10 15:08:18.150889
153,-100,3238,-107374182,28,2023-05-10 15:08:18.598856
225,-101,3302,-107374182,32,2023-05-10 15:08:19.074084
324,-101,3296,-107374182,34,2023-05-10 15:08:19.470718
321,-92,3214,-107374182,22,2023-05-10 15:08:19.861733
179,-98,3069,-107374182,24,2023-05-10 15:08:20.285283
281,-104,2951,-107374182,38,2023-05-10 15:08:20.655537
329,-97,3040,-107374182,30,2023-05-10 15:08:21.060602
314,-95,3264,-107374182,22,2023-05-10 15:08:21.511662
179,-101,3208,-107374182,28,2023-05-10 15:08:21.921473
296,-103,3115,-107374182,36,2023-05-10 15:08:22.356665
315,-96,3026,-107374182,30,2023-05-10 15:08:22.757731
325,-94,2985,-107374182,20,2023-05-10 15:08:23.152228
211,-104,2986,-107374182,32,2023-05-10 15:08:23.552104
329,-101,3065,-107374182,34,2023-05-10 15:08:23.954632
317,-93,3117,-107374182,26,2023-05-10 15:08:24.375586
234,-99,3099,-107374182,24,2023-05-10 15:08:24.788190
258,-106,2997,-107374182,36,2023-05-10 15:08:25.179607
328,-97,2988,-107374182,34,2023-05-10 15:08:25.579912
306,-91,3075,-107374182,26,2023-05-10 15:08:26.052123
165,-98,3184,-107374182,24,2023-05-10 15:08:26.437916
276,-103,3124,-107374182,36,2023-05-10 15:08:26.824073
320,-94,3094,-107374182,26,2023-05-10 15:08:27.199889
216,-95,3040,-107374182,20,2023-05-10 15:08:27.617484
217,-103,3000,-107374182,32,2023-05-10 15:08:28.022051
319,-102,3137,-107374182,34,2023-05-10 15:08:28.427367
328,-92,3237,-107374182,26,2023-05-10 15:08:28.839221
179,-102,3124,-107374182,28,2023-05-10 15:08:29.203277
304,-104,3001,-107374182,38,2023-05-10 15:08:29.602348
311,-100,3008,-107374182,30,2023-05-10 15:08:30.070281
313,-95,3051,-107374182,22,2023-05-10 15:08:30.490846
199,-103,3024,-107374182,28,2023-05-10 15:08:30.901669
240,-104,2981,-107374182,36,2023-05-10 15:08:31.349828
277,-101,3019,-107374182,36,2023-05-10 15:08:31.868844
317,-98,2962,-107374182,34,2023-05-10 15:08:32.323291
314,-92,2875,-107374182,22,2023-05-10 15:08:32.743882
132,-103,2840,-107374182,24,2023-05-10 15:08:33.204173
313,-94,2996,-107374182,22,2023-05-10 15:08:33.888686
312,-93,2972,-107374182,26,2023-05-10 15:08:34.492839
314,-96,3003,-107374182,30,2023-05-10 15:08:35.125167
320,-101,2892,-107374182,34,2023-05-10 15:08:35.753343
280,-103,2816,-107374182,36,2023-05-10 15:08:36.376768
235,-104,2802,-107374182,32,2023-05-10 15:08:37.026017
152,-101,2904,-107374182,24,2023-05-10 15:08:37.685000
197,-93,2905,-107374182,20,2023-05-10 15:08:38.316729
324,-93,2917,-107374182,26,2023-05-10 15:08:38.954058
320,-100,2947,-107374182,30,2023-05-10 15:08:39.602129
318,-98,2841,-107374182,34,2023-05-10 15:08:40.244998
321,-104,2771,-107374182,36,2023-05-10 15:08:40.893850
230,-102,2832,-107374182,36,2023-05-10 15:08:41.484459
229,-105,2973,-107374182,32,2023-05-10 15:08:42.047070
235,-100,2918,-107374182,32,2023-05-10 15:08:42.633956
181,-100,2746,-107374182,28,2023-05-10 15:08:43.256454
225,-96,2708,-107374182,20,2023-05-10 15:08:43.895883
314,-94,2835,-107374182,22,2023-05-10 15:08:44.568970
324,-95,2875,-107374182,30,2023-05-10 15:08:45.209100
318,-97,2851,-107374182,38,2023-05-10 15:08:45.833742
318,-95,2855,-107374182,30,2023-05-10 15:08:46.277117
312,-92,2846,-107374182,22,2023-05-10 15:08:46.784077
325,-94,2796,-107374182,30,2023-05-10 15:08:47.416808
320,-96,2671,-107374182,30,2023-05-10 15:08:47.926994
148,-92,2691,-107374182,20,2023-05-10 15:08:48.378859
159,-100,2950,-107374182,28,2023-05-10 15:08:48.816042
307,-101,3010,-107374182,36,2023-05-10 15:08:49.249744
320,-99,3008,-107374182,34,2023-05-10 15:08:49.654102
