latency,RSSI,TIMESTAMP,Drop?
274,-96,0.0,0
201,-96,0.3647839999975986,0
280,-101,0.6259470000004512,0
75,-94,0.922074000001885,0
188,-104,1.2746459999980289,0
332,-98,1.6297150000027614,1
121,-96,2.0229309999995166,0
235,-103,2.3165220000009867,0
163,-97,2.612289000004239,0
139,-102,2.8451550000027055,0
222,-98,3.0778280000013183,0
342,-99,3.3204360000017914,1
331,-102,3.5617889999994077,0
288,-94,3.786950000001525,0
279,-104,4.048694000004616,0
207,-92,4.295044999998936,0
235,-105,4.518718999999692,0
51,-102,4.750612000003457,0
179,-99,4.985935000004247,1
134,-103,5.209731000002648,1
346,-94,5.44162900000083,0
342,-105,5.682859000000462,0
214,-100,5.927809000000707,0
307,-99,6.141390000004321,0
297,-104,6.343633000004047,0
226,-93,6.587991000000329,0
236,-102,6.8213269999978365,0
114,-94,7.055250999997952,1
159,-102,7.29908499999874,1
155,-102,7.530597000004491,0
348,-98,7.774171000004571,0
338,-104,7.990942000003997,0
278,-92,8.27308500000072,0
266,-103,8.556984000002558,0
229,-93,8.869956000002276,0
207,-103,9.143552000001364,0
134,-93,9.427687000003061,1
136,-103,9.70864900000015,0
344,-96,10.002363999999943,0
346,-103,10.29453199999989,0
236,-97,10.606411000000662,0
236,-97,10.910906000004616,0
165,-97,11.160976999999548,0
151,-105,11.387279000002309,0
341,-94,11.629259000001184,1
343,-104,11.845502000003762,1
196,-96,12.086623000002874,0
276,-102,12.3014020000046,0
246,-101,12.555096000003687,0
198,-93,12.757232000003569,0
165,-103,13.000916000004509,0
316,-96,13.223919000003661,0
338,-104,13.468383999999787,1
181,-99,13.76062500000262,0
303,-100,13.9951579999979,0
137,-103,14.24688199999946,0
264,-97,14.480405000002065,0
267,-104,14.70498100000259,0
202,-93,14.943576999998186,0
185,-104,15.19417699999758,1
99,-98,15.46773299999768,0
138,-104,15.679000000003725,0
123,-101,15.904404000000795,0
348,-97,16.173750000001746,1
305,-101,16.468934000004083,0
252,-98,16.762572999999975,0
230,-102,17.035152000004018,0
145,-97,17.32545399999799,0
149,-103,17.611077000001387,0
345,-100,17.884471999997913,1
327,-98,18.175582000003487,0
281,-100,18.46063100000174,0
113,-103,18.79003599999851,0
208,-102,19.075402000002214,0
213,-100,19.29588700000022,0
344,-100,19.520624000004318,1
343,-103,19.784278999999515,0
257,-94,20.03859899999952,0
251,-102,20.26176800000394,0
121,-96,20.495668000003207,0
168,-101,20.727115000001504,0
168,-101,20.98298700000305,0
347,-99,21.236151999997674,1
342,-102,21.520292000001064,0
267,-99,21.790562000001955,0
262,-103,22.032499000000826,0
205,-95,22.264318000001367,0
191,-102,22.497983000001113,0
50,-98,22.74392500000249,0
135,-104,22.986909999999625,0
220,-99,23.2612369999988,0
346,-101,23.49240799999825,1
306,-102,23.717831000001752,1
264,-94,23.951492000000144,0
262,-101,24.164325999998255,0
71,-96,24.407971000000543,0
177,-103,24.63184100000217,0
163,-101,24.89607100000285,0
348,-99,25.17929400000139,1
158,-99,25.522257000004174,0
244,-102,25.876016000001982,0
199,-92,26.227262000000337,0
