dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-03-21 15:17:41.775179, 
 ,1, ,2023-03-21 15:17:43.226078
2, ,2023-03-21 15:17:56.614807, 
 ,2, ,2023-03-21 15:17:57.647496
3, ,2023-03-21 15:18:11.101358, 
 ,3, ,2023-03-21 15:18:12.079471
4, ,2023-03-21 15:18:25.894311, 
 ,4, ,2023-03-21 15:18:27.144700
5, ,2023-03-21 15:18:40.072080, 
 ,5, ,2023-03-21 15:18:42.485521
6, ,2023-03-21 15:18:55.357088, 
 ,6, ,2023-03-21 15:18:57.019738
7, ,2023-03-21 15:19:09.917306, 
 ,7, ,2023-03-21 15:19:11.189697
