latency,RSSI,latency var.,attn1,attn2,TIMESTAMP
50,-97,6574,-107374182,24,2023-05-10 15:47:34.124728
150,-100,6339,-107374182,28,2023-05-10 15:47:34.576282
345,-103,6737,-107374182,38,2023-05-10 15:47:34.986552
271,-96,7166,-107374182,30,2023-05-10 15:47:35.389113
94,-99,6889,-107374182,20,2023-05-10 15:47:35.820386
3,-100,6619,-107374182,24,2023-05-10 15:47:36.321910
343,-103,7366,-107374182,32,2023-05-10 15:47:36.783786
278,-101,7591,-107374182,34,2023-05-10 15:47:37.133679
197,-92,7227,-107374182,22,2023-05-10 15:47:37.562967
197,-100,6891,-107374182,24,2023-05-10 15:47:38.004764
341,-103,7173,-107374182,36,2023-05-10 15:47:38.416199
256,-100,7402,-107374182,34,2023-05-10 15:47:38.840120
155,-92,7079,-107374182,26,2023-05-10 15:47:39.284595
144,-99,6745,-107374182,24,2023-05-10 15:47:39.677516
313,-104,7234,-107374182,28,2023-05-10 15:47:40.206192
272,-104,6901,-107374182,32,2023-05-10 15:47:40.713190
208,-101,6518,-107374182,34,2023-05-10 15:47:41.101701
