latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
358,-88,1019,-107374182,28,2023-04-18 13:44:35.244458
351,-92,890,-107374182,28,2023-04-18 13:44:35.526771
356,-88,841,-107374182,28,2023-04-18 13:44:35.750673
354,-87,796,-107374182,26,2023-04-18 13:44:35.981776
354,-89,752,-107374182,26,2023-04-18 13:44:36.235051
354,-89,710,-107374182,26,2023-04-18 13:44:36.469586
354,-88,671,-107374182,24,2023-04-18 13:44:36.740418
353,-87,634,-107374182,24,2023-04-18 13:44:36.980464
352,-85,599,-107374182,24,2023-04-18 13:44:37.242315
352,-85,567,-107374182,24,2023-04-18 13:44:37.477646
353,-86,537,-107374182,22,2023-04-18 13:44:37.722038
351,-87,509,-107374182,22,2023-04-18 13:44:37.975035
350,-85,484,-107374182,22,2023-04-18 13:44:38.204958
314,-85,462,-107374182,22,2023-04-18 13:44:38.430097
333,-83,441,-107374182,20,2023-04-18 13:44:38.676063
340,-82,421,-107374182,20,2023-04-18 13:44:38.910307
350,-82,399,-107374182,20,2023-04-18 13:44:39.150454
348,-85,378,-107374182,20,2023-04-18 13:44:39.391156
349,-82,358,-107374182,20,2023-04-18 13:44:39.628373
348,-83,340,-107374182,20,2023-04-18 13:44:39.900031
347,-79,317,-107374182,20,2023-04-18 13:44:40.163262
347,-79,300,-107374182,20,2023-04-18 13:44:40.438204
346,-80,285,-107374182,22,2023-04-18 13:44:40.713009
347,-86,266,-107374182,22,2023-04-18 13:44:40.971330
345,-86,254,-107374182,22,2023-04-18 13:44:41.220095
328,-81,243,-107374182,24,2023-04-18 13:44:41.494547
345,-83,232,-107374182,24,2023-04-18 13:44:41.751868
344,-84,217,-107374182,24,2023-04-18 13:44:42.015802
343,-83,206,-107374182,24,2023-04-18 13:44:42.285768
341,-85,194,-107374182,26,2023-04-18 13:44:42.550131
341,-85,185,-107374182,26,2023-04-18 13:44:42.811995
340,-86,176,-107374182,26,2023-04-18 13:44:43.073342
340,-86,172,-107374182,26,2023-04-18 13:44:43.332094
327,-89,172,-107374182,28,2023-04-18 13:44:43.612259
325,-87,175,-107374182,28,2023-04-18 13:44:43.878894
326,-90,179,-107374182,28,2023-04-18 13:44:44.147262
338,-90,181,-107374182,30,2023-04-18 13:44:44.398386
337,-90,181,-107374182,30,2023-04-18 13:44:44.679033
337,-89,178,-107374182,30,2023-04-18 13:44:44.939973
337,-93,170,-107374182,30,2023-04-18 13:44:45.224042
336,-96,160,-107374182,32,2023-04-18 13:44:45.479576
336,-96,153,-107374182,32,2023-04-18 13:44:45.759005
