latency,RSSI,attn1,attn2,TIMESTAMP
192,-93,-107374182,22,2023-05-04 10:33:33.938609
169,-96,-107374182,28,2023-05-04 10:33:34.343590
95,-103,-107374182,32,2023-05-04 10:33:34.707824
220,-103,-107374182,36,2023-05-04 10:33:35.072477
220,-103,-107374182,40,2023-05-04 10:33:35.467511
220,-103,-107374182,36,2023-05-04 10:33:35.813499
220,-102,-107374182,30,2023-05-04 10:33:36.156203
220,-98,-107374182,26,2023-05-04 10:33:36.531466
277,-96,-107374182,22,2023-05-04 10:33:36.876198
275,-90,-107374182,16,2023-05-04 10:33:37.242010
278,-87,-107374182,12,2023-05-04 10:33:37.637915
277,-80,-107374182,6,2023-05-04 10:33:38.022570
278,-78,-107374182,2,2023-05-04 10:33:38.396656
277,-79,-107374182,2,2023-05-04 10:33:38.782268
276,-82,-107374182,6,2023-05-04 10:33:39.134349
276,-83,-107374182,12,2023-05-04 10:33:39.498406
276,-89,-107374182,16,2023-05-04 10:33:39.865022
277,-94,-107374182,22,2023-05-04 10:33:40.219769
275,-97,-107374182,26,2023-05-04 10:33:40.593559
185,-103,-107374182,30,2023-05-04 10:33:40.949778
185,-103,-107374182,36,2023-05-04 10:33:41.314056
185,-103,-107374182,40,2023-05-04 10:33:41.707038
185,-103,-107374182,36,2023-05-04 10:33:42.043057
185,-101,-107374182,32,2023-05-04 10:33:42.407209
220,-100,-107374182,28,2023-05-04 10:33:42.760744
202,-95,-107374182,22,2023-05-04 10:33:43.144344
214,-92,-107374182,18,2023-05-04 10:33:43.497463
220,-88,-107374182,12,2023-05-04 10:33:43.869834
221,-85,-107374182,8,2023-05-04 10:33:44.255214
217,-85,-107374182,2,2023-05-04 10:33:44.618782
220,-77,-107374182,0,2023-05-04 10:33:44.992356
219,-78,-107374182,6,2023-05-04 10:33:45.316057
220,-84,-107374182,10,2023-05-04 10:33:45.690585
220,-87,-107374182,14,2023-05-04 10:33:46.052379
219,-91,-107374182,20,2023-05-04 10:33:46.418289
213,-95,-107374182,24,2023-05-04 10:33:46.772184
124,-101,-107374182,30,2023-05-04 10:33:47.145659
60,-104,-107374182,34,2023-05-04 10:33:47.530031
60,-104,-107374182,40,2023-05-04 10:33:47.863373
60,-104,-107374182,38,2023-05-04 10:33:48.206508
60,-104,-107374182,34,2023-05-04 10:33:48.550108
60,-101,-107374182,30,2023-05-04 10:33:48.894535
145,-99,-107374182,24,2023-05-04 10:33:49.237425
280,-92,-107374182,20,2023-05-04 10:33:49.587898
291,-93,-107374182,16,2023-05-04 10:33:49.932505
291,-91,-107374182,10,2023-05-04 10:33:50.286078
293,-90,-107374182,6,2023-05-04 10:33:50.649999
293,-84,-107374182,2,2023-05-04 10:33:51.003482
293,-77,-107374182,2,2023-05-04 10:33:51.347307
291,-79,-107374182,6,2023-05-04 10:33:51.712479
287,-90,-107374182,12,2023-05-04 10:33:52.095932
292,-90,-107374182,16,2023-05-04 10:33:52.439933
289,-93,-107374182,20,2023-05-04 10:33:52.803425
291,-96,-107374182,26,2023-05-04 10:33:53.147638
200,-102,-107374182,30,2023-05-04 10:33:53.490970
200,-104,-107374182,34,2023-05-04 10:33:53.862747
200,-105,-107374182,40,2023-05-04 10:33:54.207727
200,-105,-107374182,38,2023-05-04 10:33:54.600849
200,-105,-107374182,32,2023-05-04 10:33:54.964832
220,-98,-107374182,28,2023-05-04 10:33:55.318829
