RSSI,latency var.,attn1,attn2,TIMESTAMP
-101,1956,-107374182,32,2023-05-10 15:20:59.809030
-100,1804,-107374182,30,2023-05-10 15:21:00.092888
-100,1664,-107374182,28,2023-05-10 15:21:00.389172
-100,1948,-107374182,26,2023-05-10 15:21:00.644472
-99,2741,-107374182,26,2023-05-10 15:21:00.890277
-97,2962,-107374182,24,2023-05-10 15:21:01.188352
-93,2744,-107374182,22,2023-05-10 15:21:01.464182
-93,2543,-107374182,20,2023-05-10 15:21:01.748793
-91,2403,-107374182,20,2023-05-10 15:21:02.033082
-94,2228,-107374182,22,2023-05-10 15:21:02.299718
-96,2106,-107374182,24,2023-05-10 15:21:02.563630
-98,1992,-107374182,26,2023-05-10 15:21:02.800648
-98,1849,-107374182,28,2023-05-10 15:21:03.087879
-101,1718,-107374182,30,2023-05-10 15:21:03.371830
-99,1626,-107374182,32,2023-05-10 15:21:03.668631
-102,1516,-107374182,34,2023-05-10 15:21:03.926032
-103,1508,-107374182,34,2023-05-10 15:21:04.192860
-104,2063,-107374182,36,2023-05-10 15:21:04.455924
-104,2362,-107374182,38,2023-05-10 15:21:04.721226
-103,2282,-107374182,38,2023-05-10 15:21:04.955377
-105,2105,-107374182,36,2023-05-10 15:21:05.260121
-103,1942,-107374182,34,2023-05-10 15:21:05.528083
-102,1828,-107374182,32,2023-05-10 15:21:05.791527
-101,1720,-107374182,30,2023-05-10 15:21:06.026428
-100,1587,-107374182,30,2023-05-10 15:21:06.302353
-100,1654,-107374182,28,2023-05-10 15:21:06.576582
-101,2544,-107374182,26,2023-05-10 15:21:06.844866
-95,2964,-107374182,24,2023-05-10 15:21:07.153866
-93,2805,-107374182,22,2023-05-10 15:21:07.409696
-93,2655,-107374182,20,2023-05-10 15:21:07.653400
-93,2469,-107374182,20,2023-05-10 15:21:07.910156
-93,2333,-107374182,22,2023-05-10 15:21:08.194419
-96,2164,-107374182,24,2023-05-10 15:21:08.460838
-97,2046,-107374182,26,2023-05-10 15:21:08.737706
-98,1899,-107374182,26,2023-05-10 15:21:08.996902
-103,1796,-107374182,28,2023-05-10 15:21:09.240874
-101,1700,-107374182,30,2023-05-10 15:21:09.517057
-102,1582,-107374182,32,2023-05-10 15:21:09.792360
-103,1539,-107374182,34,2023-05-10 15:21:10.059756
-102,1898,-107374182,36,2023-05-10 15:21:10.327115
-105,2297,-107374182,38,2023-05-10 15:21:10.629330
-103,2331,-107374182,38,2023-05-10 15:21:10.914296
-105,2194,-107374182,36,2023-05-10 15:21:11.162603
-103,2023,-107374182,34,2023-05-10 15:21:11.426566
-103,1904,-107374182,34,2023-05-10 15:21:11.681735
-103,1756,-107374182,32,2023-05-10 15:21:11.995135
-100,1620,-107374182,30,2023-05-10 15:21:12.295146
-99,1587,-107374182,28,2023-05-10 15:21:12.561346
-99,2392,-107374182,26,2023-05-10 15:21:12.827280
-96,2980,-107374182,24,2023-05-10 15:21:13.150978
-94,2773,-107374182,22,2023-05-10 15:21:13.438689
-93,2570,-107374182,20,2023-05-10 15:21:13.727133
-93,2382,-107374182,20,2023-05-10 15:21:14.030130
-93,2251,-107374182,22,2023-05-10 15:21:14.294237
-95,2089,-107374182,24,2023-05-10 15:21:14.592120
-97,1938,-107374182,26,2023-05-10 15:21:14.853700
-99,1834,-107374182,28,2023-05-10 15:21:15.092162
-102,1703,-107374182,30,2023-05-10 15:21:15.429631
-101,1583,-107374182,32,2023-05-10 15:21:15.715001
-103,1485,-107374182,34,2023-05-10 15:21:16.001814
-104,1616,-107374182,36,2023-05-10 15:21:16.246904
-104,2080,-107374182,36,2023-05-10 15:21:16.533108
-105,2371,-107374182,38,2023-05-10 15:21:16.788822
-104,2251,-107374182,38,2023-05-10 15:21:17.059677
-104,2118,-107374182,36,2023-05-10 15:21:17.291978
-104,1954,-107374182,34,2023-05-10 15:21:17.582186
-102,1802,-107374182,32,2023-05-10 15:21:17.856590
-100,1696,-107374182,30,2023-05-10 15:21:18.130776
-98,1565,-107374182,28,2023-05-10 15:21:18.418834
-98,1971,-107374182,26,2023-05-10 15:21:18.682886
-97,2694,-107374182,24,2023-05-10 15:21:18.956109
-98,2742,-107374182,22,2023-05-10 15:21:19.257544
-95,2541,-107374182,22,2023-05-10 15:21:19.511143
-92,2401,-107374182,20,2023-05-10 15:21:19.810498
-94,2226,-107374182,20,2023-05-10 15:21:20.080210
-97,2104,-107374182,22,2023-05-10 15:21:20.358528
-95,1953,-107374182,24,2023-05-10 15:21:20.632146
-97,1848,-107374182,26,2023-05-10 15:21:20.898208
-98,1716,-107374182,28,2023-05-10 15:21:21.192506
-103,1624,-107374182,30,2023-05-10 15:21:21.450561
-101,1518,-107374182,32,2023-05-10 15:21:21.744329
-102,1429,-107374182,34,2023-05-10 15:21:22.050717
-103,1689,-107374182,36,2023-05-10 15:21:22.318998
-103,2404,-107374182,38,2023-05-10 15:21:22.625506
-103,2456,-107374182,38,2023-05-10 15:21:22.887015
-104,2267,-107374182,36,2023-05-10 15:21:23.188912
-104,2091,-107374182,34,2023-05-10 15:21:23.487121
-105,1929,-107374182,32,2023-05-10 15:21:23.753187
-103,1815,-107374182,30,2023-05-10 15:21:24.028113
-101,1674,-107374182,30,2023-05-10 15:21:24.312680
-98,1783,-107374182,28,2023-05-10 15:21:24.600142
-100,2450,-107374182,26,2023-05-10 15:21:24.886874
-96,2862,-107374182,24,2023-05-10 15:21:25.149935
-95,2652,-107374182,22,2023-05-10 15:21:25.441591
-92,2505,-107374182,20,2023-05-10 15:21:25.704259
-93,2367,-107374182,20,2023-05-10 15:21:25.967581
-97,2195,-107374182,22,2023-05-10 15:21:26.258238
-96,2041,-107374182,24,2023-05-10 15:21:26.554332
-98,1902,-107374182,26,2023-05-10 15:21:26.821087
-99,1805,-107374182,28,2023-05-10 15:21:27.096512
-100,1710,-107374182,30,2023-05-10 15:21:27.331393
-100,1590,-107374182,30,2023-05-10 15:21:27.629945
-102,1501,-107374182,32,2023-05-10 15:21:27.903919
-102,1460,-107374182,34,2023-05-10 15:21:28.199875
-104,1713,-107374182,36,2023-05-10 15:21:28.457095
-103,2150,-107374182,38,2023-05-10 15:21:28.720253
-104,2245,-107374182,38,2023-05-10 15:21:28.958094
-104,2113,-107374182,36,2023-05-10 15:21:29.231835
-105,1949,-107374182,34,2023-05-10 15:21:29.508433
-103,1834,-107374182,32,2023-05-10 15:21:29.759969
-103,1726,-107374182,32,2023-05-10 15:21:30.004955
-99,1592,-107374182,30,2023-05-10 15:21:30.275112
-100,1557,-107374182,28,2023-05-10 15:21:30.574190
-99,2427,-107374182,26,2023-05-10 15:21:30.886686
-97,2963,-107374182,24,2023-05-10 15:21:31.141610
-93,2813,-107374182,22,2023-05-10 15:21:31.444381
-91,2607,-107374182,20,2023-05-10 15:21:31.711380
-92,2463,-107374182,20,2023-05-10 15:21:31.986477
-92,2284,-107374182,22,2023-05-10 15:21:32.252574
-94,2158,-107374182,24,2023-05-10 15:21:32.491248
-97,2041,-107374182,26,2023-05-10 15:21:32.726203
-97,1894,-107374182,26,2023-05-10 15:21:32.991720
-99,1792,-107374182,28,2023-05-10 15:21:33.277963
-102,1665,-107374182,30,2023-05-10 15:21:33.574535
-101,1552,-107374182,32,2023-05-10 15:21:33.837053
-103,1496,-107374182,34,2023-05-10 15:21:34.113214
-105,1872,-107374182,36,2023-05-10 15:21:34.409615
-103,2441,-107374182,38,2023-05-10 15:21:34.693701
-103,2352,-107374182,38,2023-05-10 15:21:34.970949
-104,2214,-107374182,36,2023-05-10 15:21:35.226614
-103,2084,-107374182,34,2023-05-10 15:21:35.481821
-104,1922,-107374182,32,2023-05-10 15:21:35.727025
-103,1809,-107374182,32,2023-05-10 15:21:35.971168
-102,1702,-107374182,30,2023-05-10 15:21:36.217619
-98,1607,-107374182,28,2023-05-10 15:21:36.513550
-98,2434,-107374182,26,2023-05-10 15:21:36.859564
-98,3018,-107374182,24,2023-05-10 15:21:37.117825
-93,2863,-107374182,22,2023-05-10 15:21:37.413157
-95,2652,-107374182,20,2023-05-10 15:21:37.686707
-95,2459,-107374182,20,2023-05-10 15:21:37.985457
-95,2323,-107374182,22,2023-05-10 15:21:38.228377
-98,2196,-107374182,24,2023-05-10 15:21:38.485449
-96,2037,-107374182,26,2023-05-10 15:21:38.741447
-97,1927,-107374182,26,2023-05-10 15:21:38.976849
-99,1823,-107374182,28,2023-05-10 15:21:39.220320
-101,1725,-107374182,30,2023-05-10 15:21:39.496641
-102,1603,-107374182,32,2023-05-10 15:21:39.774239
-104,1505,-107374182,34,2023-05-10 15:21:40.038823
-105,1634,-107374182,36,2023-05-10 15:21:40.294072
-104,2097,-107374182,38,2023-05-10 15:21:40.547401
-103,2387,-107374182,38,2023-05-10 15:21:40.803249
-104,2266,-107374182,38,2023-05-10 15:21:41.108412
-104,2090,-107374182,36,2023-05-10 15:21:41.374693
-102,1928,-107374182,34,2023-05-10 15:21:41.639768
-103,1814,-107374182,32,2023-05-10 15:21:41.923090
-101,1674,-107374182,30,2023-05-10 15:21:42.188058
-101,1664,-107374182,28,2023-05-10 15:21:42.506808
-96,2279,-107374182,26,2023-05-10 15:21:42.773032
-98,3027,-107374182,24,2023-05-10 15:21:43.036618
-93,2905,-107374182,22,2023-05-10 15:21:43.283499
-94,2744,-107374182,20,2023-05-10 15:21:43.547692
-93,2543,-107374182,20,2023-05-10 15:21:43.824476
-94,2357,-107374182,20,2023-05-10 15:21:44.107343
-93,2228,-107374182,22,2023-05-10 15:21:44.375566
-96,2067,-107374182,24,2023-05-10 15:21:44.652156
-97,1955,-107374182,26,2023-05-10 15:21:44.907480
-100,1815,-107374182,28,2023-05-10 15:21:45.201830
-100,1717,-107374182,30,2023-05-10 15:21:45.457783
-102,1600,-107374182,32,2023-05-10 15:21:45.743258
-104,1533,-107374182,34,2023-05-10 15:21:46.020402
-102,1577,-107374182,36,2023-05-10 15:21:46.290174
-103,2119,-107374182,38,2023-05-10 15:21:46.560856
-105,2301,-107374182,38,2023-05-10 15:21:46.896888
-104,2166,-107374182,36,2023-05-10 15:21:47.144337
-103,1998,-107374182,36,2023-05-10 15:21:47.402003
-103,1881,-107374182,34,2023-05-10 15:21:47.667379
-102,1770,-107374182,32,2023-05-10 15:21:47.925380
-102,1633,-107374182,30,2023-05-10 15:21:48.183742
-101,1537,-107374182,28,2023-05-10 15:21:48.451411
-99,1927,-107374182,26,2023-05-10 15:21:48.725016
-97,2672,-107374182,24,2023-05-10 15:21:48.960373
-95,2929,-107374182,22,2023-05-10 15:21:49.257408
-95,2766,-107374182,22,2023-05-10 15:21:49.494179
-93,2612,-107374182,20,2023-05-10 15:21:49.757591
-92,2421,-107374182,20,2023-05-10 15:21:50.043646
-96,2246,-107374182,22,2023-05-10 15:21:50.299668
-97,2123,-107374182,24,2023-05-10 15:21:50.586804
-97,1970,-107374182,26,2023-05-10 15:21:50.863625
-99,1829,-107374182,28,2023-05-10 15:21:51.170443
-98,1699,-107374182,30,2023-05-10 15:21:51.445247
-101,1608,-107374182,32,2023-05-10 15:21:51.710714
-102,1530,-107374182,34,2023-05-10 15:21:51.978060
-103,1600,-107374182,36,2023-05-10 15:21:52.257670
-103,2230,-107374182,38,2023-05-10 15:21:52.539773
-103,2433,-107374182,38,2023-05-10 15:21:52.789693
-104,2263,-107374182,38,2023-05-10 15:21:53.051843
-104,2130,-107374182,36,2023-05-10 15:21:53.347618
-103,1964,-107374182,34,2023-05-10 15:21:53.625183
-102,1849,-107374182,32,2023-05-10 15:21:53.893280
-99,1705,-107374182,30,2023-05-10 15:21:54.160381
-102,1592,-107374182,28,2023-05-10 15:21:54.437390
-99,2033,-107374182,26,2023-05-10 15:21:54.710481
-97,2932,-107374182,24,2023-05-10 15:21:54.996368
-97,2960,-107374182,22,2023-05-10 15:21:55.234959
-95,2742,-107374182,22,2023-05-10 15:21:55.517148
-93,2541,-107374182,20,2023-05-10 15:21:55.797426
-93,2401,-107374182,20,2023-05-10 15:21:56.034345
