latency,RSSI,attn1,attn2,TIMESTAMP
430,-90,[60],[2022],-107374182,32,2023-04-05 16:19:38.882385
416,-82,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481]",-107374182,24,2023-04-05 16:19:44.744259
415,-82,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448]",-107374182,25,2023-04-05 16:19:45.047994
414,-83,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424]",-107374182,26,2023-04-05 16:19:45.292903
414,-84,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401]",-107374182,26,2023-04-05 16:19:45.566009
413,-85,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374]",-107374182,27,2023-04-05 16:19:45.838645
412,-86,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354]",-107374182,28,2023-04-05 16:19:46.095318
412,-86,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336]",-107374182,29,2023-04-05 16:19:46.338892
411,-87,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313]",-107374182,29,2023-04-05 16:19:46.612893
411,-89,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298]",-107374182,30,2023-04-05 16:19:46.898561
409,-88,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283]",-107374182,31,2023-04-05 16:19:47.161535
404,-88,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264]",-107374182,32,2023-04-05 16:19:47.449016
406,-90,"[60, 41, 40, 54, 59, 50, 46, 41, 48, 40, 48, 48, 40, 34, 121, 118, 40, 38, 71, 71, 34, 45, 41, 38, 48, 53, 41, 37, 41, 43, 55, 53, 51]","[2022, 1761, 1628, 1536, 1448, 1366, 1263, 1192, 1103, 1041, 964, 910, 842, 795, 743, 695, 659, 622, 578, 537, 508, 481, 448, 424, 401, 374, 354, 336, 313, 298, 283, 264, 247]",-107374182,33,2023-04-05 16:19:47.750085
