latency,RSSI,attn1,attn2,TIMESTAMP
1,-94,-107374182,24,2023-05-10 11:20:55.192443
245,-95,-107374182,26,2023-05-10 11:20:55.550886
272,-100,-107374182,36,2023-05-10 11:20:55.825988
18,-101,-107374182,34,2023-05-10 11:20:56.138957
67,-95,-107374182,22,2023-05-10 11:20:56.497908
211,-95,-107374182,26,2023-05-10 11:20:56.840384
247,-102,-107374182,36,2023-05-10 11:20:57.153737
5,-104,-107374182,34,2023-05-10 11:20:57.437673
4,-94,-107374182,22,2023-05-10 11:20:57.766166
204,-97,-107374182,26,2023-05-10 11:20:58.112173
277,-101,-107374182,36,2023-05-10 11:20:58.424812
34,-102,-107374182,34,2023-05-10 11:20:58.725265
82,-95,-107374182,24,2023-05-10 11:20:59.061110
191,-97,-107374182,26,2023-05-10 11:20:59.397765
266,-101,-107374182,34,2023-05-10 11:20:59.707139
32,-101,-107374182,34,2023-05-10 11:21:00.007346
101,-93,-107374182,22,2023-05-10 11:21:00.416228
209,-99,-107374182,26,2023-05-10 11:21:00.738839
257,-101,-107374182,36,2023-05-10 11:21:01.044592
19,-101,-107374182,32,2023-05-10 11:21:01.364243
114,-92,-107374182,22,2023-05-10 11:21:01.698783
233,-96,-107374182,28,2023-05-10 11:21:02.060712
268,-105,-107374182,36,2023-05-10 11:21:02.360952
4,-100,-107374182,32,2023-05-10 11:21:02.688274
104,-94,-107374182,22,2023-05-10 11:21:03.014728
208,-98,-107374182,26,2023-05-10 11:21:03.344405
264,-102,-107374182,36,2023-05-10 11:21:03.647875
33,-102,-107374182,32,2023-05-10 11:21:03.957786
111,-92,-107374182,22,2023-05-10 11:21:04.298289
201,-95,-107374182,26,2023-05-10 11:21:04.641381
272,-104,-107374182,36,2023-05-10 11:21:04.970523
6,-103,-107374182,32,2023-05-10 11:21:05.296217
103,-94,-107374182,20,2023-05-10 11:21:05.643916
238,-99,-107374182,28,2023-05-10 11:21:06.001646
234,-103,-107374182,38,2023-05-10 11:21:06.310925
35110,-99,-107374182,30,2023-05-10 11:21:06.650243
116,-91,-107374182,20,2023-05-10 11:21:07.022711
263,-100,-107374182,30,2023-05-10 11:21:07.354235
193,-103,-107374182,38,2023-05-10 11:21:07.654608
35092,-99,-107374182,28,2023-05-10 11:21:07.996441
143,-89,-107374182,20,2023-05-10 11:21:08.349294
283,-100,-107374182,30,2023-05-10 11:21:08.680849
191,-105,-107374182,38,2023-05-10 11:21:08.963817
11,-98,-107374182,28,2023-05-10 11:21:09.322124
130,-93,-107374182,20,2023-05-10 11:21:09.656221
272,-99,-107374182,30,2023-05-10 11:21:09.977620
191,-104,-107374182,38,2023-05-10 11:21:10.260103
35054,-99,-107374182,30,2023-05-10 11:21:10.573709
131,-90,-107374182,20,2023-05-10 11:21:10.933555
285,-99,-107374182,30,2023-05-10 11:21:11.275165
159,-105,-107374182,38,2023-05-10 11:21:11.566188
3,-98,-107374182,28,2023-05-10 11:21:11.894614
134,-92,-107374182,20,2023-05-10 11:21:12.259244
281,-99,-107374182,32,2023-05-10 11:21:12.604747
112,-102,-107374182,38,2023-05-10 11:21:12.913649
34960,-99,-107374182,28,2023-05-10 11:21:13.212080
124,-90,-107374182,22,2023-05-10 11:21:13.566634
266,-99,-107374182,32,2023-05-10 11:21:13.914465
135,-105,-107374182,38,2023-05-10 11:21:14.207867
35056,-98,-107374182,28,2023-05-10 11:21:14.538224
180,-92,-107374182,22,2023-05-10 11:21:14.915710
295,-102,-107374182,32,2023-05-10 11:21:15.229500
101,-102,-107374182,36,2023-05-10 11:21:15.541196
34959,-97,-107374182,26,2023-05-10 11:21:15.874802
185,-95,-107374182,24,2023-05-10 11:21:16.243073
303,-102,-107374182,34,2023-05-10 11:21:16.558154
79,-103,-107374182,34,2023-05-10 11:21:16.883446
34928,-95,-107374182,24,2023-05-10 11:21:17.220075
210,-95,-107374182,24,2023-05-10 11:21:17.579290
280,-101,-107374182,36,2023-05-10 11:21:17.923590
43,-101,-107374182,34,2023-05-10 11:21:18.222142
15,-97,-107374182,24,2023-05-10 11:21:18.561511
243,-97,-107374182,26,2023-05-10 11:21:18.932368
279,-101,-107374182,36,2023-05-10 11:21:19.248420
24,-102,-107374182,32,2023-05-10 11:21:19.563086
81,-93,-107374182,22,2023-05-10 11:21:19.924195
259,-96,-107374182,28,2023-05-10 11:21:20.294822
254,-104,-107374182,38,2023-05-10 11:21:20.608017
35077,-100,-107374182,30,2023-05-10 11:21:20.953292
133,-90,-107374182,20,2023-05-10 11:21:21.321783
293,-99,-107374182,30,2023-05-10 11:21:21.673452
208,-104,-107374182,38,2023-05-10 11:21:21.980424
35123,-99,-107374182,28,2023-05-10 11:21:22.346913
183,-93,-107374182,22,2023-05-10 11:21:22.705794
298,-102,-107374182,32,2023-05-10 11:21:23.038032
136,-105,-107374182,36,2023-05-10 11:21:23.322339
35118,-97,-107374182,26,2023-05-10 11:21:23.667827
193,-93,-107374182,22,2023-05-10 11:21:24.019998
267,-101,-107374182,32,2023-05-10 11:21:24.354594
96,-103,-107374182,36,2023-05-10 11:21:24.638721
34942,-97,-107374182,26,2023-05-10 11:21:24.963074
175,-97,-107374182,22,2023-05-10 11:21:25.320763
286,-101,-107374182,32,2023-05-10 11:21:25.640708
131,-104,-107374182,36,2023-05-10 11:21:25.938784
34943,-97,-107374182,26,2023-05-10 11:21:26.264154
171,-90,-107374182,22,2023-05-10 11:21:26.589738
288,-99,-107374182,32,2023-05-10 11:21:26.939142
135,-103,-107374182,36,2023-05-10 11:21:27.216863
14,-99,-107374182,26,2023-05-10 11:21:27.560918
175,-91,-107374182,22,2023-05-10 11:21:27.890803
303,-99,-107374182,32,2023-05-10 11:21:28.219372
171,-104,-107374182,38,2023-05-10 11:21:28.514770
35088,-97,-107374182,28,2023-05-10 11:21:28.851270
178,-94,-107374182,22,2023-05-10 11:21:29.205912
296,-101,-107374182,32,2023-05-10 11:21:29.554064
72,-104,-107374182,36,2023-05-10 11:21:29.862444
34933,-97,-107374182,26,2023-05-10 11:21:30.199202
223,-94,-107374182,24,2023-05-10 11:21:30.571945
280,-102,-107374182,34,2023-05-10 11:21:30.892749
34,-104,-107374182,34,2023-05-10 11:21:31.212574
61,-97,-107374182,22,2023-05-10 11:21:31.583023
241,-96,-107374182,26,2023-05-10 11:21:31.953774
265,-103,-107374182,36,2023-05-10 11:21:32.297089
35124,-102,-107374182,32,2023-05-10 11:21:32.596546
133,-93,-107374182,20,2023-05-10 11:21:32.948064
291,-97,-107374182,28,2023-05-10 11:21:33.308795
223,-102,-107374182,38,2023-05-10 11:21:33.622089
35011,-100,-107374182,30,2023-05-10 11:21:33.969242
168,-93,-107374182,20,2023-05-10 11:21:34.371553
313,-101,-107374182,32,2023-05-10 11:21:34.738082
96,-103,-107374182,36,2023-05-10 11:21:35.044364
34912,-94,-107374182,24,2023-05-10 11:21:35.437625
240,-88,-107374182,26,2023-05-10 11:21:35.803663
310,-102,-107374182,36,2023-05-10 11:21:36.152701
29,-100,-107374182,32,2023-05-10 11:21:36.493688
115,-93,-107374182,20,2023-05-10 11:21:36.853836
256,-97,-107374182,28,2023-05-10 11:21:37.214320
214,-104,-107374182,38,2023-05-10 11:21:37.520925
