raw latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
156,-95,2273,-107374182,26,2023-05-11 13:08:55.434159
156,-97,2109,-107374182,30,2023-05-11 13:08:55.770646
156,-97,1957,-107374182,32,2023-05-11 13:08:56.114643
1906,-101,1821,-107374182,34,2023-05-11 13:08:56.517271
14507,-102,2741,-107374182,36,2023-05-11 13:08:56.822327
2337,-103,3100,-107374182,38,2023-05-11 13:08:57.125618
0,-103,2869,-107374182,38,2023-05-11 13:08:57.489489
0,-102,2646,-107374182,36,2023-05-11 13:08:57.778321
0,-101,2441,-107374182,34,2023-05-11 13:08:58.067944
0,-101,2251,-107374182,32,2023-05-11 13:08:58.370846
0,-98,2077,-107374182,30,2023-05-11 13:08:58.653292
18407,-97,3009,-107374182,28,2023-05-11 13:08:58.954316
12965,-96,3847,-107374182,26,2023-05-11 13:08:59.206381
256,-93,3705,-107374182,24,2023-05-11 13:08:59.468925
306,-91,3503,-107374182,22,2023-05-11 13:08:59.779486
256,-90,3254,-107374182,20,2023-05-11 13:09:00.096439
156,-90,2958,-107374182,20,2023-05-11 13:09:00.430860
156,-92,2741,-107374182,22,2023-05-11 13:09:00.734309
156,-92,2540,-107374182,24,2023-05-11 13:09:01.028215
156,-98,2355,-107374182,26,2023-05-11 13:09:01.324656
256,-96,2188,-107374182,28,2023-05-11 13:09:01.640826
306,-100,2042,-107374182,30,2023-05-11 13:09:01.954771
256,-100,1905,-107374182,32,2023-05-11 13:09:02.286064
256,-100,1777,-107374182,34,2023-05-11 13:09:02.538911
306,-101,1691,-107374182,36,2023-05-11 13:09:02.806808
7256,-106,1870,-107374182,38,2023-05-11 13:09:03.085934
11254,-103,2407,-107374182,38,2023-05-11 13:09:03.354126
676,-102,2658,-107374182,36,2023-05-11 13:09:03.624115
0,-101,2456,-107374182,34,2023-05-11 13:09:03.937753
3636,-100,2338,-107374182,32,2023-05-11 13:09:04.232951
19035,-98,3333,-107374182,30,2023-05-11 13:09:04.556131
7524,-98,4119,-107374182,28,2023-05-11 13:09:04.887774
256,-95,3829,-107374182,26,2023-05-11 13:09:05.210858
156,-94,3550,-107374182,24,2023-05-11 13:09:05.521986
256,-91,3288,-107374182,22,2023-05-11 13:09:05.817026
256,-91,3053,-107374182,20,2023-05-11 13:09:06.137076
256,-92,2836,-107374182,20,2023-05-11 13:09:06.469388
156,-93,2628,-107374182,22,2023-05-11 13:09:06.732791
156,-93,2436,-107374182,24,2023-05-11 13:09:07.000689
256,-98,2304,-107374182,26,2023-05-11 13:09:07.259145
256,-96,2145,-107374182,28,2023-05-11 13:09:07.518166
306,-97,2036,-107374182,30,2023-05-11 13:09:07.818065
256,-100,1899,-107374182,32,2023-05-11 13:09:08.081889
306,-102,1774,-107374182,34,2023-05-11 13:09:08.410610
7806,-103,1892,-107374182,36,2023-05-11 13:09:08.716090
12717,-104,2739,-107374182,38,2023-05-11 13:09:09.029343
926,-104,2963,-107374182,38,2023-05-11 13:09:09.301743
0,-102,2790,-107374182,36,2023-05-11 13:09:09.584168
0,-102,2573,-107374182,34,2023-05-11 13:09:09.884480
0,-101,2373,-107374182,32,2023-05-11 13:09:10.178808
0,-99,2189,-107374182,30,2023-05-11 13:09:10.491845
20524,-97,3401,-107374182,28,2023-05-11 13:09:10.798504
7356,-96,4214,-107374182,26,2023-05-11 13:09:11.082517
256,-94,3982,-107374182,24,2023-05-11 13:09:11.333989
156,-93,3690,-107374182,24,2023-05-11 13:09:11.592595
156,-91,3482,-107374182,22,2023-05-11 13:09:11.860476
156,-89,3224,-107374182,20,2023-05-11 13:09:12.145081
156,-90,2986,-107374182,20,2023-05-11 13:09:12.437770
156,-91,2766,-107374182,22,2023-05-11 13:09:12.782099
156,-92,2515,-107374182,24,2023-05-11 13:09:13.185317
156,-95,2289,-107374182,28,2023-05-11 13:09:13.519895
156,-95,2123,-107374182,30,2023-05-11 13:09:13.823659
156,-98,1970,-107374182,32,2023-05-11 13:09:14.106780
556,-102,1852,-107374182,34,2023-05-11 13:09:14.448512
7506,-102,1965,-107374182,36,2023-05-11 13:09:14.742251
12717,-103,2756,-107374182,38,2023-05-11 13:09:15.054043
926,-104,2978,-107374182,38,2023-05-11 13:09:15.313459
0,-104,2804,-107374182,36,2023-05-11 13:09:15.557066
0,-103,2639,-107374182,36,2023-05-11 13:09:15.800639
0,-100,2434,-107374182,34,2023-05-11 13:09:16.104568
0,-101,2245,-107374182,32,2023-05-11 13:09:16.468004
20524,-97,3537,-107374182,28,2023-05-11 13:09:16.852362
156,-94,4221,-107374182,26,2023-05-11 13:09:17.254621
