latency,RSSI,attn1,attn2,TIMESTAMP
415,-83,[43],[160],-107374182,25,2023-04-05 16:18:33.835906
412,-82,"[43, 41]","[160, 144]",-107374182,24,2023-04-05 16:18:34.152950
407,-82,"[43, 41, 54]","[160, 144, 138]",-107374182,23,2023-04-05 16:18:34.425095
405,-81,"[43, 41, 54, 52]","[160, 144, 138, 133]",-107374182,22,2023-04-05 16:18:34.677940
408,-81,"[43, 41, 54, 52, 35]","[160, 144, 138, 133, 128]",-107374182,22,2023-04-05 16:18:34.921525
408,-80,"[43, 41, 54, 52, 35, 33]","[160, 144, 138, 133, 128, 121]",-107374182,21,2023-04-05 16:18:35.221884
407,-79,"[43, 41, 54, 52, 35, 33, 40]","[160, 144, 138, 133, 128, 121, 115]",-107374182,20,2023-04-05 16:18:35.513102
406,-78,"[43, 41, 54, 52, 35, 33, 40, 76]","[160, 144, 138, 133, 128, 121, 115, 111]",-107374182,20,2023-04-05 16:18:35.775345
403,-79,"[43, 41, 54, 52, 35, 33, 40, 76, 81]","[160, 144, 138, 133, 128, 121, 115, 111, 108]",-107374182,21,2023-04-05 16:18:36.064990
403,-80,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106]",-107374182,21,2023-04-05 16:18:36.353629
402,-80,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102]",-107374182,22,2023-04-05 16:18:36.623798
399,-82,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98]",-107374182,23,2023-04-05 16:18:36.925486
399,-81,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95]",-107374182,24,2023-04-05 16:18:37.179902
397,-82,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91]",-107374182,25,2023-04-05 16:18:37.477525
398,-83,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88]",-107374182,25,2023-04-05 16:18:37.749532
396,-84,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85]",-107374182,26,2023-04-05 16:18:38.025725
396,-85,"[43, 41, 54, 52, 35, 33, 40, 76, 81, 67, 39, 39, 38, 35, 39, 50, 52]","[160, 144, 138, 133, 128, 121, 115, 111, 108, 106, 102, 98, 95, 91, 88, 85, 81]",-107374182,27,2023-04-05 16:18:38.310001
