latency,RSSI,latency var.,attn1,attn2,TIMESTAMP
288,-102,2214,-107374182,32,2023-05-10 15:09:15.734972
205,-102,1989,-107374182,34,2023-05-10 15:09:16.153914
35117,-102,2253,-107374182,38,2023-05-10 15:09:16.539833
34702,-104,2960,-107374182,38,2023-05-10 15:09:16.960218
34276,-104,2739,-107374182,36,2023-05-10 15:09:17.358100
33886,-102,2476,-107374182,32,2023-05-10 15:09:17.783506
33421,-101,2193,-107374182,30,2023-05-10 15:09:18.247616
250,-98,2733,-107374182,26,2023-05-10 15:09:18.652062
273,-97,3336,-107374182,24,2023-05-10 15:09:19.058719
257,-93,3033,-107374182,22,2023-05-10 15:09:19.473204
258,-92,2766,-107374182,20,2023-05-10 15:09:19.891495
295,-92,2427,-107374182,22,2023-05-10 15:09:20.370634
296,-96,2209,-107374182,26,2023-05-10 15:09:20.767363
262,-100,2012,-107374182,28,2023-05-10 15:09:21.186838
286,-102,1833,-107374182,30,2023-05-10 15:09:21.574201
281,-103,1684,-107374182,34,2023-05-10 15:09:22.012121
115,-106,1656,-107374182,36,2023-05-10 15:09:22.394969
34851,-105,2434,-107374182,38,2023-05-10 15:09:22.809538
34304,-105,2418,-107374182,36,2023-05-10 15:09:23.331321
33916,-102,2186,-107374182,32,2023-05-10 15:09:23.748834
33459,-99,1936,-107374182,30,2023-05-10 15:09:24.248066
265,-98,3028,-107374182,26,2023-05-10 15:09:24.736827
276,-96,3203,-107374182,24,2023-05-10 15:09:25.235796
272,-92,2748,-107374182,20,2023-05-10 15:09:25.832860
253,-93,2452,-107374182,22,2023-05-10 15:09:26.349267
275,-95,2149,-107374182,26,2023-05-10 15:09:26.925883
262,-101,1852,-107374182,30,2023-05-10 15:09:27.437688
273,-101,1665,-107374182,34,2023-05-10 15:09:27.951255
102,-102,1538,-107374182,36,2023-05-10 15:09:28.491307
34782,-103,2344,-107374182,38,2023-05-10 15:09:28.958262
34225,-103,2312,-107374182,34,2023-05-10 15:09:29.524412
33698,-102,2007,-107374182,32,2023-05-10 15:09:30.064975
298,-100,2873,-107374182,26,2023-05-10 15:09:30.767149
298,-91,2933,-107374182,22,2023-05-10 15:09:31.319288
285,-92,2519,-107374182,20,2023-05-10 15:09:31.972417
290,-94,2249,-107374182,24,2023-05-10 15:09:32.487282
261,-98,1937,-107374182,28,2023-05-10 15:09:33.116672
278,-100,1706,-107374182,32,2023-05-10 15:09:33.670827
222,-100,1551,-107374182,34,2023-05-10 15:09:34.131912
35031,-103,1883,-107374182,38,2023-05-10 15:09:34.666446
34485,-104,2453,-107374182,36,2023-05-10 15:09:35.249023
33891,-102,2129,-107374182,32,2023-05-10 15:09:35.862716
288,-99,2250,-107374182,28,2023-05-10 15:09:36.507624
270,-94,3313,-107374182,24,2023-05-10 15:09:37.089148
288,-92,2842,-107374182,20,2023-05-10 15:09:37.734379
284,-93,2441,-107374182,22,2023-05-10 15:09:38.337074
258,-96,2110,-107374182,26,2023-05-10 15:09:38.921727
243,-99,1861,-107374182,30,2023-05-10 15:09:39.536007
245,-99,1642,-107374182,34,2023-05-10 15:09:40.136416
34944,-104,2049,-107374182,38,2023-05-10 15:09:40.732704
34337,-103,2175,-107374182,36,2023-05-10 15:09:41.331417
33761,-100,1888,-107374182,32,2023-05-10 15:09:41.928965
274,-100,2453,-107374182,28,2023-05-10 15:09:42.549132
257,-95,3139,-107374182,24,2023-05-10 15:09:43.111458
276,-91,2694,-107374182,20,2023-05-10 15:09:43.753491
285,-93,2404,-107374182,22,2023-05-10 15:09:44.188254
291,-97,2229,-107374182,24,2023-05-10 15:09:44.631420
254,-99,1920,-107374182,28,2023-05-10 15:09:45.217917
284,-101,1719,-107374182,32,2023-05-10 15:09:45.736194
178,-103,1474,-107374182,36,2023-05-10 15:09:46.399635
34862,-104,2259,-107374182,38,2023-05-10 15:09:46.849713
34349,-104,2284,-107374182,36,2023-05-10 15:09:47.381650
33916,-100,2064,-107374182,32,2023-05-10 15:09:47.786066
294,-98,2218,-107374182,28,2023-05-10 15:09:48.455890
284,-95,3238,-107374182,24,2023-05-10 15:09:49.097717
267,-92,2886,-107374182,20,2023-05-10 15:09:49.580148
288,-93,2575,-107374182,20,2023-05-10 15:09:49.996664
268,-95,2342,-107374182,22,2023-05-10 15:09:50.409794
257,-97,2132,-107374182,26,2023-05-10 15:09:50.801966
