dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-05-17 12:26:12.506909, 
 ,1, ,2023-05-17 12:26:12.874616
2, ,2023-05-17 12:26:14.248934, 
 ,2, ,2023-05-17 12:26:14.513691
3, ,2023-05-17 12:26:15.898193, 
 ,3, ,2023-05-17 12:26:16.222705
4, ,2023-05-17 12:26:20.885142, 
 ,4, ,2023-05-17 12:26:21.108766
5, ,2023-05-17 12:26:24.185219, 
 ,5, ,2023-05-17 12:26:24.510844
6, ,2023-05-17 12:26:27.404629, 
 ,6, ,2023-05-17 12:26:27.649615
7, ,2023-05-17 12:26:30.698740, 
 ,7, ,2023-05-17 12:26:31.023623
