raw latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
13202,-97,7067,-107374182,30,2023-05-11 14:38:05.762356
12273,-95,7467,-107374182,22,2023-05-11 14:38:06.041526
4083,-91,7270,-107374182,24,2023-05-11 14:38:06.349941
8622,-101,7327,-107374182,34,2023-05-11 14:38:06.642258
2522,-105,7135,-107374182,36,2023-05-11 14:38:06.916808
12656,-98,7152,-107374182,30,2023-05-11 14:38:07.185543
6902,-92,7463,-107374182,22,2023-05-11 14:38:07.526316
6610,-97,7230,-107374182,26,2023-05-11 14:38:07.822139
8960,-102,7325,-107374182,34,2023-05-11 14:38:08.086539
2120,-103,7064,-107374182,36,2023-05-11 14:38:08.327639
12380,-100,7119,-107374182,28,2023-05-11 14:38:08.651483
6286,-90,7620,-107374182,20,2023-05-11 14:38:08.984846
9901,-97,7531,-107374182,30,2023-05-11 14:38:09.315182
3262,-102,7464,-107374182,38,2023-05-11 14:38:09.580509
5316,-101,7217,-107374182,32,2023-05-11 14:38:09.889763
11067,-95,7747,-107374182,24,2023-05-11 14:38:10.219012
7538,-90,7656,-107374182,24,2023-05-11 14:38:10.521198
8372,-100,7847,-107374182,34,2023-05-11 14:38:10.853753
1616,-103,7483,-107374182,36,2023-05-11 14:38:11.135254
12950,-99,7540,-107374182,28,2023-05-11 14:38:11.451073
5920,-92,7746,-107374182,20,2023-05-11 14:38:11.783328
8732,-97,7688,-107374182,28,2023-05-11 14:38:12.092168
2532,-104,7499,-107374182,38,2023-05-11 14:38:12.385737
10552,-102,7300,-107374182,32,2023-05-11 14:38:12.676574
9787,-91,7990,-107374182,22,2023-05-11 14:38:13.063529
