latency,RSSI,latency var.,TIMESTAMP,Drop?
306,-94,7455,0.0,0
304,-101,6743,0.39998600000399165,0
270,-103,6598,0.7470660000035423,0
220,-101,7139,1.103570999999647,1
214,-97,6937,1.4925900000016554,0
214,-94,6651,1.849305000003369,0
215,-99,6145,2.204322999998112,0
148,-102,5698,2.5261240000036196,1
148,-104,5753,2.8980589999991935,1
302,-98,5866,3.2868089999974472,0
327,-93,7103,3.6750020000035875,0
326,-95,6766,4.018674999999348,0
322,-102,6124,4.369597000004433,0
265,-103,5928,4.706138000001374,0
265,-101,6590,5.062330000000657,1
310,-95,7106,5.473885999999766,1
310,-92,7283,5.873356000003696,0
309,-100,6599,6.265659999997297,0
235,-104,6092,6.659740000002785,0
235,-101,6716,7.016437999998743,1
298,-98,7133,7.417109000001801,0
300,-92,7141,7.799199000000954,0
297,-99,6476,8.20144099999743,0
292,-103,5950,8.59057500000199,0
292,-104,6441,8.997763999999734,1
290,-97,6886,9.42638199999783,0
296,-93,7148,9.811721999998554,0
294,-100,6517,10.182509999998729,0
264,-104,6021,10.530953000001318,0
264,-104,6131,10.884553000003507,1
140,-99,6392,11.284636000003957,1
224,-93,6392,11.67174199999863,0
221,-99,5918,12.072124999998778,0
196,-103,5358,12.460773999999219,0
181,-103,5317,12.848772999997891,1
161,-99,5406,13.248653000002378,1
288,-93,5896,13.631865000003017,0
289,-96,5679,14.001557000003231,0
285,-102,5144,14.398260000001756,0
279,-103,4951,14.735006000002613,0
214,-102,5594,15.132267000000866,1
330,-97,6574,15.553200000002107,0
330,-93,6468,15.918562999999267,0
329,-100,5971,16.28968700000405,0
325,-105,5506,16.64814800000022,0
325,-103,6143,16.985657999997784,1
289,-96,6556,17.353252000000793,0
293,-92,6937,17.764781999998377,0
293,-97,6314,18.16468000000168,0
286,-103,5828,18.490458000000217,0
221,-103,6078,18.867270000002463,1
245,-100,6571,19.23392800000147,1
327,-94,7424,19.619188000004215,0
327,-96,7200,20.04127100000187,0
317,-102,6514,20.41976099999738,0
260,-103,6294,20.780273000003945,1
214,-100,7114,21.17663100000209,1
323,-95,7890,21.601304000003438,0
322,-96,7604,21.96555300000182,0
322,-102,7017,22.335384999998496,0
279,-102,6702,22.734808000001067,1
220,-102,7400,23.102576999997837,1
276,-95,7492,23.449413000002096,0
273,-93,7408,23.809151000001293,0
276,-99,6844,24.187854000003426,0
205,-103,6197,24.597466999999597,1
205,-103,6382,24.982983000001695,1
316,-98,6915,25.419311999998172,0
318,-93,7375,25.81058900000062,0
315,-100,6698,26.210181000002194,0
273,-103,6211,26.588636000000406,0
273,-103,6720,26.935691999999108,1
270,-99,7189,27.343250999998418,1
315,-93,7862,27.71413500000199,0
317,-98,7295,28.089615999997477,0
264,-103,6614,28.480900000002293,0
230,-104,6704,28.85713399999804,1
254,-98,7329,29.247419999999693,1
350,-94,8310,29.599529999999504,0
350,-96,8197,29.964364999999816,0
350,-99,7414,30.356434000001173,0
331,-103,6828,30.714896999998018,0
331,-103,7627,31.11637100000371,1
296,-95,7889,31.48355299999821,0
296,-92,7799,31.90157200000249,0
295,-101,7057,32.26439100000425,0
291,-103,6677,32.61928700000135,1
291,-103,7192,32.946452000003774,1
310,-98,7522,33.30587399999786,0
316,-94,8214,33.66944499999954,0
316,-96,7639,34.02784000000247,0
313,-101,6914,34.405124000004434,0
274,-102,6770,34.73120899999776,0
274,-101,7387,35.088150000003225,1
319,-95,7855,35.48546000000351,0
320,-95,7903,35.899624999998196,0
315,-101,7156,36.29079400000046,0
252,-105,6639,36.65907899999729,1
252,-102,7010,37.003969999997935,1
338,-98,7897,37.406151000002865,0
337,-94,8479,37.79593600000226,0
334,-99,7678,38.15746100000251,0
310,-103,7091,38.496446999997715,0
213,-103,7099,38.82306999999855,0
190,-99,7634,39.18206800000189,1
318,-95,8194,39.5923729999995,0
317,-94,8055,39.970085000000836,0
313,-102,7285,40.34669600000052,0
279,-104,6876,40.69418600000063,0
279,-102,7355,41.052356000000145,1
279,-97,7620,41.433279000004404,0
294,-93,7705,41.79166599999735,0
294,-103,7022,42.19662799999787,0
255,-104,6496,42.55155299999751,0
255,-104,6642,42.86257399999886,1
201,-101,6987,43.27882600000157,1
318,-93,7750,43.64973800000007,0
317,-96,7279,44.02885899999819,0
