latency,RSSI,attn1,attn2,TIMESTAMP
116,-99,-107374182,21,2023-05-17 11:48:23.018345
187,-87,-107374182,13,2023-05-17 11:48:23.283300
197,-82,-107374182,9,2023-05-17 11:48:23.465103
199,-81,-107374182,11,2023-05-17 11:48:23.647627
199,-86,-107374182,15,2023-05-17 11:48:23.830192
192,-90,-107374182,21,2023-05-17 11:48:24.034518
194,-98,-107374182,25,2023-05-17 11:48:24.218291
175,-96,-107374182,27,2023-05-17 11:48:24.421264
90,-95,-107374182,21,2023-05-17 11:48:24.625280
136,-89,-107374182,17,2023-05-17 11:48:24.828303
197,-85,-107374182,11,2023-05-17 11:48:25.033347
192,-82,-107374182,9,2023-05-17 11:48:25.237353
198,-85,-107374182,15,2023-05-17 11:48:25.461485
196,-89,-107374182,19,2023-05-17 11:48:25.664526
199,-95,-107374182,25,2023-05-17 11:48:25.868524
168,-98,-107374182,27,2023-05-17 11:48:26.071676
127,-96,-107374182,21,2023-05-17 11:48:26.275902
159,-89,-107374182,17,2023-05-17 11:48:26.478514
194,-84,-107374182,11,2023-05-17 11:48:26.683543
193,-80,-107374182,9,2023-05-17 11:48:26.887401
200,-85,-107374182,13,2023-05-17 11:48:27.090251
194,-91,-107374182,19,2023-05-17 11:48:27.293947
189,-94,-107374182,23,2023-05-17 11:48:27.477754
154,-98,-107374182,27,2023-05-17 11:48:27.650603
81,-95,-107374182,23,2023-05-17 11:48:27.854535
144,-92,-107374182,19,2023-05-17 11:48:28.039106
174,-88,-107374182,15,2023-05-17 11:48:28.223533
173,-84,-107374182,9,2023-05-17 11:48:28.426909
179,-83,-107374182,11,2023-05-17 11:48:28.632819
176,-88,-107374182,17,2023-05-17 11:48:28.836458
174,-91,-107374182,21,2023-05-17 11:48:29.040591
179,-95,-107374182,25,2023-05-17 11:48:29.245320
145,-97,-107374182,25,2023-05-17 11:48:29.439968
120,-92,-107374182,21,2023-05-17 11:48:29.644229
180,-90,-107374182,17,2023-05-17 11:48:29.828363
179,-85,-107374182,11,2023-05-17 11:48:30.008900
156,-82,-107374182,9,2023-05-17 11:48:30.215550
175,-85,-107374182,13,2023-05-17 11:48:30.399483
174,-88,-107374182,19,2023-05-17 11:48:30.614004
180,-94,-107374182,23,2023-05-17 11:48:30.807791
179,-98,-107374182,27,2023-05-17 11:48:31.012052
128,-95,-107374182,23,2023-05-17 11:48:31.195439
144,-91,-107374182,19,2023-05-17 11:48:31.398943
174,-85,-107374182,13,2023-05-17 11:48:31.602869
178,-80,-107374182,9,2023-05-17 11:48:31.786040
