dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-05-17 14:57:17.290543, 
 ,1, ,2023-05-17 14:57:17.696724
2, ,2023-05-17 14:57:19.285839, 
 ,2, ,2023-05-17 14:57:19.813103
3, ,2023-05-17 14:57:21.573659, 
 ,3, ,2023-05-17 14:57:21.981015
4, ,2023-05-17 14:57:23.589009, 
 ,4, ,2023-05-17 14:57:24.056530
5, ,2023-05-17 14:57:25.707634, 
 ,5, ,2023-05-17 14:57:26.624265
6, ,2023-05-17 14:57:28.598568, 
 ,6, ,2023-05-17 14:57:28.943969
7, ,2023-05-17 14:57:31.057546, 
 ,7, ,2023-05-17 14:57:31.502080
8, ,2023-05-17 14:57:32.519179, 
 ,8, ,2023-05-17 14:57:32.843861
