latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
1,-100,1,-107374182,36,2023-04-26 15:45:40.015272
1,-97,1,-107374182,30,2023-04-26 15:45:40.240832
1,-91,1,-107374182,27,2023-04-26 15:45:40.425068
1,-88,1,-107374182,24,2023-04-26 15:45:40.586900
1,-87,1,-107374182,24,2023-04-26 15:45:40.771095
1,-91,1,-107374182,27,2023-04-26 15:45:40.955235
1,-96,1,-107374182,33,2023-04-26 15:45:41.160121
1,-101,1,-107374182,36,2023-04-26 15:45:41.364368
1,-103,1,-107374182,39,2023-04-26 15:45:41.548422
1,-103,1,-107374182,45,2023-04-26 15:45:41.732557
1,-103,1,-107374182,48,2023-04-26 15:45:41.958469
1,-103,1,-107374182,51,2023-04-26 15:45:42.142684
1,-103,1,-107374182,54,2023-04-26 15:45:42.327150
1,-103,1,-107374182,51,2023-04-26 15:45:42.511446
1,-105,1,-107374182,48,2023-04-26 15:45:42.700559
1,-104,1,-107374182,45,2023-04-26 15:45:42.867151
1,-103,1,-107374182,42,2023-04-26 15:45:43.069919
1,-102,1,-107374182,36,2023-04-26 15:45:43.273466
1,-97,1,-107374182,33,2023-04-26 15:45:43.475583
1,-96,1,-107374182,30,2023-04-26 15:45:43.662002
1,-94,1,-107374182,24,2023-04-26 15:45:43.845806
1,-91,1,-107374182,24,2023-04-26 15:45:44.029820
1,-93,1,-107374182,27,2023-04-26 15:45:44.213376
1,-96,1,-107374182,30,2023-04-26 15:45:44.417737
1,-100,1,-107374182,36,2023-04-26 15:45:44.601702
1,-101,1,-107374182,39,2023-04-26 15:45:44.774925
1,-103,1,-107374182,42,2023-04-26 15:45:44.968390
1,-102,1,-107374182,45,2023-04-26 15:45:45.131567
1,-103,1,-107374182,48,2023-04-26 15:45:45.274985
1,-105,1,-107374182,51,2023-04-26 15:45:45.459012
1,-105,1,-107374182,54,2023-04-26 15:45:45.643384
1,-105,1,-107374182,51,2023-04-26 15:45:45.847622
1,-105,1,-107374182,48,2023-04-26 15:45:46.051692
1,-104,1,-107374182,45,2023-04-26 15:45:46.235217
1,-102,1,-107374182,39,2023-04-26 15:45:46.418412
1,-100,1,-107374182,36,2023-04-26 15:45:46.622532
1,-97,1,-107374182,33,2023-04-26 15:45:46.808015
1,-94,1,-107374182,27,2023-04-26 15:45:47.021170
1,-89,1,-107374182,24,2023-04-26 15:45:47.243805
1,-90,1,-107374182,24,2023-04-26 15:45:47.449506
1,-95,1,-107374182,30,2023-04-26 15:45:47.632740
1,-99,1,-107374182,33,2023-04-26 15:45:47.816567
1,-101,1,-107374182,36,2023-04-26 15:45:48.000184
1,-104,1,-107374182,42,2023-04-26 15:45:48.204691
1,-103,1,-107374182,45,2023-04-26 15:45:48.389333
1,-104,1,-107374182,48,2023-04-26 15:45:48.553051
1,-104,1,-107374182,51,2023-04-26 15:45:48.756841
1,-104,1,-107374182,54,2023-04-26 15:45:48.961990
1,-104,1,-107374182,54,2023-04-26 15:45:49.105000
1,-104,1,-107374182,48,2023-04-26 15:45:49.268254
1,-104,1,-107374182,45,2023-04-26 15:45:49.472858
1,-103,1,-107374182,42,2023-04-26 15:45:49.656848
1,-100,1,-107374182,39,2023-04-26 15:45:49.841092
1,-100,1,-107374182,33,2023-04-26 15:45:50.024816
1,-95,1,-107374182,30,2023-04-26 15:45:50.231756
1,-93,1,-107374182,27,2023-04-26 15:45:50.413970
1,-90,1,-107374182,24,2023-04-26 15:45:50.617691
1,-92,1,-107374182,27,2023-04-26 15:45:50.800564
1,-96,1,-107374182,30,2023-04-26 15:45:50.937073
1,-98,1,-107374182,33,2023-04-26 15:45:51.156316
1,-99,1,-107374182,36,2023-04-26 15:45:51.360515
1,-102,1,-107374182,42,2023-04-26 15:45:51.544466
1,-103,1,-107374182,45,2023-04-26 15:45:51.729061
1,-104,1,-107374182,48,2023-04-26 15:45:51.910560
1,-105,1,-107374182,51,2023-04-26 15:45:52.094364
1,-105,1,-107374182,54,2023-04-26 15:45:52.277971
1,-105,1,-107374182,51,2023-04-26 15:45:52.441643
1,-105,1,-107374182,48,2023-04-26 15:45:52.624316
1,-104,1,-107374182,45,2023-04-26 15:45:52.807446
1,-102,1,-107374182,42,2023-04-26 15:45:52.991248
1,-101,1,-107374182,36,2023-04-26 15:45:53.175005
1,-96,1,-107374182,33,2023-04-26 15:45:53.359699
1,-94,1,-107374182,30,2023-04-26 15:45:53.522796
1,-90,1,-107374182,27,2023-04-26 15:45:53.727685
1,-91,1,-107374182,24,2023-04-26 15:45:53.932195
1,-93,1,-107374182,27,2023-04-26 15:45:54.136869
1,-96,1,-107374182,30,2023-04-26 15:45:54.321255
1,-101,1,-107374182,33,2023-04-26 15:45:54.505229
1,-100,1,-107374182,39,2023-04-26 15:45:54.689667
1,-102,1,-107374182,42,2023-04-26 15:45:54.872422
1,-103,1,-107374182,45,2023-04-26 15:45:55.036229
1,-104,1,-107374182,48,2023-04-26 15:45:55.199343
1,-105,1,-107374182,51,2023-04-26 15:45:55.383043
1,-105,1,-107374182,54,2023-04-26 15:45:55.566734
1,-105,1,-107374182,54,2023-04-26 15:45:55.730110
1,-105,1,-107374182,48,2023-04-26 15:45:55.913980
1,-105,1,-107374182,45,2023-04-26 15:45:56.076664
1,-101,1,-107374182,42,2023-04-26 15:45:56.260334
1,-100,1,-107374182,36,2023-04-26 15:45:56.485274
1,-95,1,-107374182,33,2023-04-26 15:45:56.690445
1,-93,1,-107374182,30,2023-04-26 15:45:56.883912
1,-92,1,-107374182,24,2023-04-26 15:45:57.098115
1,-88,1,-107374182,24,2023-04-26 15:45:57.281625
1,-92,1,-107374182,27,2023-04-26 15:45:57.484886
