latency,RSSI,latency var.,attn1,attn2,TIMESTAMP
306,-94,7455,-107374182,26,2023-05-10 15:48:27.824039
304,-101,6743,-107374182,34,2023-05-10 15:48:28.224025
270,-103,6598,-107374182,38,2023-05-10 15:48:28.571105
220,-101,7139,-107374182,30,2023-05-10 15:48:28.927610
214,-97,6937,-107374182,22,2023-05-10 15:48:29.316629
214,-94,6651,-107374182,22,2023-05-10 15:48:29.673344
215,-99,6145,-107374182,30,2023-05-10 15:48:30.028362
148,-102,5698,-107374182,36,2023-05-10 15:48:30.350163
148,-104,5753,-107374182,34,2023-05-10 15:48:30.722098
302,-98,5866,-107374182,26,2023-05-10 15:48:31.110848
327,-93,7103,-107374182,20,2023-05-10 15:48:31.499041
326,-95,6766,-107374182,26,2023-05-10 15:48:31.842714
322,-102,6124,-107374182,32,2023-05-10 15:48:32.193636
265,-103,5928,-107374182,38,2023-05-10 15:48:32.530177
265,-101,6590,-107374182,32,2023-05-10 15:48:32.886369
310,-95,7106,-107374182,24,2023-05-10 15:48:33.297925
310,-92,7283,-107374182,22,2023-05-10 15:48:33.697395
309,-100,6599,-107374182,30,2023-05-10 15:48:34.089699
235,-104,6092,-107374182,38,2023-05-10 15:48:34.483779
235,-101,6716,-107374182,32,2023-05-10 15:48:34.840477
298,-98,7133,-107374182,24,2023-05-10 15:48:35.241148
300,-92,7141,-107374182,22,2023-05-10 15:48:35.623238
297,-99,6476,-107374182,30,2023-05-10 15:48:36.025480
292,-103,5950,-107374182,36,2023-05-10 15:48:36.414614
292,-104,6441,-107374182,34,2023-05-10 15:48:36.821803
290,-97,6886,-107374182,24,2023-05-10 15:48:37.250421
296,-93,7148,-107374182,22,2023-05-10 15:48:37.635761
294,-100,6517,-107374182,28,2023-05-10 15:48:38.006549
264,-104,6021,-107374182,36,2023-05-10 15:48:38.354992
264,-104,6131,-107374182,36,2023-05-10 15:48:38.708592
140,-99,6392,-107374182,28,2023-05-10 15:48:39.108675
224,-93,6392,-107374182,20,2023-05-10 15:48:39.495781
221,-99,5918,-107374182,26,2023-05-10 15:48:39.896164
196,-103,5358,-107374182,34,2023-05-10 15:48:40.284813
181,-103,5317,-107374182,36,2023-05-10 15:48:40.672812
161,-99,5406,-107374182,28,2023-05-10 15:48:41.072692
288,-93,5896,-107374182,20,2023-05-10 15:48:41.455904
289,-96,5679,-107374182,26,2023-05-10 15:48:41.825596
285,-102,5144,-107374182,34,2023-05-10 15:48:42.222299
279,-103,4951,-107374182,38,2023-05-10 15:48:42.559045
214,-102,5594,-107374182,30,2023-05-10 15:48:42.956306
330,-97,6574,-107374182,22,2023-05-10 15:48:43.377239
330,-93,6468,-107374182,24,2023-05-10 15:48:43.742602
329,-100,5971,-107374182,32,2023-05-10 15:48:44.113726
325,-105,5506,-107374182,38,2023-05-10 15:48:44.472187
325,-103,6143,-107374182,32,2023-05-10 15:48:44.809697
