raw latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
4252,-100,6903,-107374182,34,2023-05-11 14:16:23.616011
12262,-96,7229,-107374182,26,2023-05-11 14:16:23.922933
4270,-91,7223,-107374182,20,2023-05-11 14:16:24.185222
5732,-94,7000,-107374182,28,2023-05-11 14:16:24.451779
5252,-102,6940,-107374182,36,2023-05-11 14:16:24.727422
3252,-100,6644,-107374182,34,2023-05-11 14:16:25.011213
14392,-98,7086,-107374182,26,2023-05-11 14:16:25.295737
2692,-90,7020,-107374182,20,2023-05-11 14:16:25.609009
7230,-98,6896,-107374182,30,2023-05-11 14:16:25.925467
3992,-104,6798,-107374182,38,2023-05-11 14:16:26.235426
11730,-98,6774,-107374182,30,2023-05-11 14:16:26.598670
11156,-93,7359,-107374182,22,2023-05-11 14:16:26.892330
5006,-94,7156,-107374182,26,2023-05-11 14:16:27.214484
8452,-103,7215,-107374182,34,2023-05-11 14:16:27.481130
2370,-103,7018,-107374182,36,2023-05-11 14:16:27.734515
13780,-98,7210,-107374182,28,2023-05-11 14:16:28.026543
5100,-92,7421,-107374182,22,2023-05-11 14:16:28.311323
6920,-92,7291,-107374182,26,2023-05-11 14:16:28.588046
7632,-101,7441,-107374182,34,2023-05-11 14:16:28.861734
3180,-102,7138,-107374182,36,2023-05-11 14:16:29.136291
13796,-100,7323,-107374182,28,2023-05-11 14:16:29.441072
7190,-93,7689,-107374182,20,2023-05-11 14:16:29.723201
7840,-97,7517,-107374182,26,2023-05-11 14:16:30.027956
7990,-101,7602,-107374182,36,2023-05-11 14:16:30.294225
3606,-103,7259,-107374182,36,2023-05-11 14:16:30.537299
14432,-100,7493,-107374182,28,2023-05-11 14:16:30.813888
6382,-92,7778,-107374182,22,2023-05-11 14:16:31.098866
8810,-93,7676,-107374182,26,2023-05-11 14:16:31.394067
6616,-103,7692,-107374182,34,2023-05-11 14:16:31.658830
1630,-105,7261,-107374182,36,2023-05-11 14:16:31.921344
12186,-99,7333,-107374182,28,2023-05-11 14:16:32.228516
7942,-89,7663,-107374182,20,2023-05-11 14:16:32.553276
7562,-98,7496,-107374182,26,2023-05-11 14:16:32.829193
4016,-101,7406,-107374182,36,2023-05-11 14:16:33.094077
3632,-105,7135,-107374182,34,2023-05-11 14:16:33.396672
16285,-99,7597,-107374182,28,2023-05-11 14:16:33.672462
4434,-89,7707,-107374182,20,2023-05-11 14:16:33.975396
9778,-96,7662,-107374182,28,2023-05-11 14:16:34.261932
5512,-105,7671,-107374182,36,2023-05-11 14:16:34.526814
3926,-102,7328,-107374182,34,2023-05-11 14:16:34.799088
14509,-94,7727,-107374182,26,2023-05-11 14:16:35.116221
4384,-91,7729,-107374182,20,2023-05-11 14:16:35.441613
9410,-97,7720,-107374182,30,2023-05-11 14:16:35.706655
2412,-104,7598,-107374182,38,2023-05-11 14:16:35.959133
4540,-104,7315,-107374182,32,2023-05-11 14:16:36.235275
13498,-94,7697,-107374182,26,2023-05-11 14:16:36.528770
4118,-92,7618,-107374182,20,2023-05-11 14:16:36.823424
8532,-100,7619,-107374182,30,2023-05-11 14:16:37.140769
3472,-103,7490,-107374182,38,2023-05-11 14:16:37.394609
5972,-99,7155,-107374182,32,2023-05-11 14:16:37.678220
13152,-97,7589,-107374182,24,2023-05-11 14:16:37.973254
3032,-89,7476,-107374182,22,2023-05-11 14:16:38.267507
6802,-101,7380,-107374182,32,2023-05-11 14:16:38.602162
2366,-103,7124,-107374182,36,2023-05-11 14:16:38.907495
12886,-99,7224,-107374182,28,2023-05-11 14:16:39.272021
3126,-89,7383,-107374182,20,2023-05-11 14:16:39.604972
6202,-98,7156,-107374182,30,2023-05-11 14:16:39.907655
5102,-102,7090,-107374182,38,2023-05-11 14:16:40.173763
4032,-102,6821,-107374182,34,2023-05-11 14:16:40.437077
14646,-99,7081,-107374182,26,2023-05-11 14:16:40.740770
3147,-89,7188,-107374182,20,2023-05-11 14:16:41.026239
7336,-99,7012,-107374182,30,2023-05-11 14:16:41.308588
6080,-105,7023,-107374182,38,2023-05-11 14:16:41.575311
5642,-101,6824,-107374182,32,2023-05-11 14:16:41.894253
13766,-96,7274,-107374182,24,2023-05-11 14:16:42.180965
3382,-91,7039,-107374182,22,2023-05-11 14:16:42.474637
