dropout,TIMESTAMP
1,2023-03-06 14:13:58.961059
2,2023-03-06 14:14:00.291272
3,2023-03-06 14:14:01.564492
4,2023-03-06 14:14:03.130309
5,2023-03-06 14:14:03.778625
6,2023-03-06 14:14:04.200886
7,2023-03-06 14:14:04.711822
8,2023-03-06 14:14:05.055826
9,2023-03-06 14:14:05.359743
10,2023-03-06 14:14:05.641724
11,2023-03-06 14:14:05.906538
12,2023-03-06 14:14:06.172211
13,2023-03-06 14:14:06.449048
14,2023-03-06 14:14:06.716306
15,2023-03-06 14:14:06.987716
16,2023-03-06 14:14:07.256537
17,2023-03-06 14:14:07.517466
18,2023-03-06 14:14:07.787938
19,2023-03-06 14:14:08.050261
20,2023-03-06 14:14:08.325375
21,2023-03-06 14:14:08.587073
22,2023-03-06 14:14:08.838308
23,2023-03-06 14:14:09.091985
24,2023-03-06 14:14:09.341688
25,2023-03-06 14:14:09.589646
