latency,RSSI,attn1,attn2,TIMESTAMP
50,-90,-107374182,22,2023-05-17 14:50:46.102267
177,-93,-107374182,26,2023-05-17 14:50:46.337126
139,-96,-107374182,30,2023-05-17 14:50:46.520645
75,-99,-107374182,32,2023-05-17 14:50:46.703700
220,-100,-107374182,34,2023-05-17 14:50:46.905897
220,-102,-107374182,30,2023-05-17 14:50:47.088420
220,-101,-107374182,26,2023-05-17 14:50:47.291648
160,-97,-107374182,24,2023-05-17 14:50:47.474795
94,-96,-107374182,20,2023-05-17 14:50:47.658764
58,-94,-107374182,16,2023-05-17 14:50:47.862401
22,-91,-107374182,18,2023-05-17 14:50:48.065901
13,-93,-107374182,20,2023-05-17 14:50:48.250337
206,-95,-107374182,24,2023-05-17 14:50:48.452719
111,-98,-107374182,28,2023-05-17 14:50:48.639102
5,-101,-107374182,32,2023-05-17 14:50:48.842727
5,-105,-107374182,34,2023-05-17 14:50:49.025936
5,-102,-107374182,32,2023-05-17 14:50:49.208217
5,-101,-107374182,28,2023-05-17 14:50:49.411266
206,-98,-107374182,24,2023-05-17 14:50:49.593720
103,-93,-107374182,22,2023-05-17 14:50:49.797250
53,-92,-107374182,18,2023-05-17 14:50:49.978219
50,-90,-107374182,16,2023-05-17 14:50:50.167272
25,-90,-107374182,20,2023-05-17 14:50:50.374077
224,-93,-107374182,22,2023-05-17 14:50:50.581179
128,-100,-107374182,26,2023-05-17 14:50:50.790525
11,-99,-107374182,30,2023-05-17 14:50:50.990915
11,-101,-107374182,34,2023-05-17 14:50:51.191302
11,-103,-107374182,32,2023-05-17 14:50:51.371497
