latency,RSSI,latency var.,attn1,attn2,TIMESTAMP
34981,-96,2548,-107374182,20,2023-05-10 15:41:45.836430
35104,-103,2537,-107374182,32,2023-05-10 15:41:46.250866
135,-102,2508,-107374182,38,2023-05-10 15:41:46.693202
135,-101,2574,-107374182,38,2023-05-10 15:41:47.263220
35122,-100,2618,-107374182,34,2023-05-10 15:41:47.713510
34902,-94,2582,-107374182,26,2023-05-10 15:41:48.182991
34980,-94,2583,-107374182,20,2023-05-10 15:41:48.631369
3,-104,2577,-107374182,32,2023-05-10 15:41:49.058784
96,-105,2502,-107374182,38,2023-05-10 15:41:49.455372
34814,-98,2435,-107374182,30,2023-05-10 15:41:49.930617
34956,-92,2485,-107374182,22,2023-05-10 15:41:50.395447
35025,-99,2554,-107374182,24,2023-05-10 15:41:50.823565
55,-103,2573,-107374182,36,2023-05-10 15:41:51.219101
95,-102,2558,-107374182,34,2023-05-10 15:41:51.647649
34905,-92,2494,-107374182,22,2023-05-10 15:41:52.064024
35070,-100,2435,-107374182,28,2023-05-10 15:41:52.456516
20,-104,2388,-107374182,32,2023-05-10 15:41:52.921194
144,-102,2332,-107374182,34,2023-05-10 15:41:53.355419
129,-100,2384,-107374182,34,2023-05-10 15:41:53.864364
34962,-91,2457,-107374182,22,2023-05-10 15:41:54.318188
35038,-95,2537,-107374182,20,2023-05-10 15:41:54.766046
60,-103,2596,-107374182,36,2023-05-10 15:41:55.161370
136,-103,2594,-107374182,34,2023-05-10 15:41:55.591982
34883,-95,2559,-107374182,26,2023-05-10 15:41:56.034232
34966,-96,2557,-107374182,20,2023-05-10 15:41:56.467664
5,-104,2552,-107374182,32,2023-05-10 15:41:56.886034
74,-104,2551,-107374182,36,2023-05-10 15:41:57.394765
110,-101,2579,-107374182,34,2023-05-10 15:41:57.775416
34940,-92,2547,-107374182,22,2023-05-10 15:41:58.203983
35068,-98,2553,-107374182,24,2023-05-10 15:41:58.653987
57,-103,2578,-107374182,32,2023-05-10 15:41:59.077058
101,-101,2535,-107374182,38,2023-05-10 15:41:59.541892
34798,-98,2473,-107374182,30,2023-05-10 15:41:59.995697
34994,-95,2539,-107374182,22,2023-05-10 15:42:00.450506
34997,-96,2574,-107374182,20,2023-05-10 15:42:00.950909
35073,-98,2555,-107374182,24,2023-05-10 15:42:01.441808
55,-103,2545,-107374182,36,2023-05-10 15:42:01.845465
86,-100,2523,-107374182,34,2023-05-10 15:42:02.264974
34921,-94,2456,-107374182,22,2023-05-10 15:42:02.713662
35047,-95,2444,-107374182,24,2023-05-10 15:42:03.163651
29,-104,2507,-107374182,32,2023-05-10 15:42:03.563134
87,-104,2597,-107374182,36,2023-05-10 15:42:04.077097
34816,-100,2654,-107374182,30,2023-05-10 15:42:04.495179
34957,-94,2657,-107374182,22,2023-05-10 15:42:04.932429
35109,-101,2695,-107374182,28,2023-05-10 15:42:05.329918
47,-102,2720,-107374182,36,2023-05-10 15:42:05.765548
129,-103,2593,-107374182,34,2023-05-10 15:42:06.204173
34892,-93,2554,-107374182,26,2023-05-10 15:42:06.653670
35016,-98,2580,-107374182,24,2023-05-10 15:42:07.058481
72,-103,2609,-107374182,36,2023-05-10 15:42:07.463677
115,-101,2652,-107374182,34,2023-05-10 15:42:07.896777
34877,-95,2648,-107374182,26,2023-05-10 15:42:08.395377
34999,-92,2710,-107374182,22,2023-05-10 15:42:08.837851
35052,-98,2766,-107374182,24,2023-05-10 15:42:09.306672
35093,-104,2675,-107374182,32,2023-05-10 15:42:09.739742
123,-103,2549,-107374182,38,2023-05-10 15:42:10.166119
34824,-99,2511,-107374182,30,2023-05-10 15:42:10.675131
34889,-95,2470,-107374182,22,2023-05-10 15:42:11.100763
35100,-101,2560,-107374182,24,2023-05-10 15:42:11.500557
73,-102,2652,-107374182,36,2023-05-10 15:42:11.949302
103,-99,2599,-107374182,34,2023-05-10 15:42:12.348553
34935,-93,2572,-107374182,22,2023-05-10 15:42:12.778708
35061,-101,2585,-107374182,24,2023-05-10 15:42:13.215191
48,-103,2588,-107374182,36,2023-05-10 15:42:13.626881
141,-101,2613,-107374182,34,2023-05-10 15:42:14.073310
34869,-98,2675,-107374182,26,2023-05-10 15:42:14.522994
34924,-93,2695,-107374182,26,2023-05-10 15:42:15.054210
35050,-102,2712,-107374182,24,2023-05-10 15:42:15.423617
74,-105,2723,-107374182,36,2023-05-10 15:42:15.832969
134,-101,2644,-107374182,34,2023-05-10 15:42:16.274961
34935,-93,2622,-107374182,22,2023-05-10 15:42:16.722522
34971,-93,2627,-107374182,22,2023-05-10 15:42:17.270443
34982,-95,2672,-107374182,22,2023-05-10 15:42:17.794824
