raw latency,RSSI,filtered latency,attn1,attn2,TIMESTAMP
1006,-97,1518,-107374182,30,2023-05-11 13:09:35.227912
1506,-97,1487,-107374182,24,2023-05-11 13:09:35.572896
1056,-100,1465,-107374182,34,2023-05-11 13:09:35.881015
1656,-90,1458,-107374182,22,2023-05-11 13:09:36.259162
1756,-97,1457,-107374182,24,2023-05-11 13:09:36.715536
1056,-102,1434,-107374182,36,2023-05-11 13:09:37.114559
806,-100,1394,-107374182,30,2023-05-11 13:09:37.519460
1406,-90,1366,-107374182,22,2023-05-11 13:09:37.955395
1756,-96,1344,-107374182,24,2023-05-11 13:09:38.380260
1256,-104,1345,-107374182,36,2023-05-11 13:09:38.741809
1756,-93,1359,-107374182,26,2023-05-11 13:09:39.154325
1506,-95,1336,-107374182,24,2023-05-11 13:09:39.527372
1006,-103,1321,-107374182,36,2023-05-11 13:09:39.898978
1256,-100,1334,-107374182,30,2023-05-11 13:09:40.271053
1806,-97,1337,-107374182,24,2023-05-11 13:09:40.586499
1306,-103,1346,-107374182,38,2023-05-11 13:09:40.988940
1056,-97,1358,-107374182,30,2023-05-11 13:09:41.402076
1506,-92,1351,-107374182,20,2023-05-11 13:09:41.773032
1056,-103,1331,-107374182,38,2023-05-11 13:09:42.054748
1806,-91,1343,-107374182,20,2023-05-11 13:09:42.333979
1656,-101,1370,-107374182,38,2023-05-11 13:09:42.629456
1806,-91,1401,-107374182,20,2023-05-11 13:09:42.898047
1006,-102,1383,-107374182,38,2023-05-11 13:09:43.164648
1256,-92,1363,-107374182,20,2023-05-11 13:09:43.458296
806,-104,1320,-107374182,38,2023-05-11 13:09:43.764284
1056,-90,1313,-107374182,22,2023-05-11 13:09:44.077794
1006,-103,1292,-107374182,36,2023-05-11 13:09:44.389353
1306,-93,1317,-107374182,26,2023-05-11 13:09:44.673777
1256,-103,1315,-107374182,32,2023-05-11 13:09:44.986477
556,-94,1291,-107374182,26,2023-05-11 13:09:45.289493
1006,-98,1242,-107374182,28,2023-05-11 13:09:45.622353
806,-101,1217,-107374182,34,2023-05-11 13:09:45.945253
1006,-95,1194,-107374182,24,2023-05-11 13:09:46.189094
556,-98,1165,-107374182,30,2023-05-11 13:09:46.442963
1406,-98,1135,-107374182,24,2023-05-11 13:09:46.756856
1256,-102,1142,-107374182,34,2023-05-11 13:09:47.032415
1556,-93,1162,-107374182,24,2023-05-11 13:09:47.345772
1056,-101,1166,-107374182,38,2023-05-11 13:09:47.659120
1406,-91,1171,-107374182,20,2023-05-11 13:09:47.992676
806,-103,1141,-107374182,32,2023-05-11 13:09:48.326723
1056,-94,1148,-107374182,26,2023-05-11 13:09:48.660459
1570,-96,1156,-107374182,24,2023-05-11 13:09:49.012517
1312,-101,1178,-107374182,38,2023-05-11 13:09:49.371227
2126,-94,1248,-107374182,26,2023-05-11 13:09:49.759469
1966,-97,1320,-107374182,28,2023-05-11 13:09:50.083217
1790,-97,1371,-107374182,34,2023-05-11 13:09:50.408218
1692,-94,1400,-107374182,24,2023-05-11 13:09:50.689636
1596,-101,1399,-107374182,34,2023-05-11 13:09:50.984516
1816,-92,1428,-107374182,20,2023-05-11 13:09:51.327906
1612,-105,1438,-107374182,36,2023-05-11 13:09:51.661735
1610,-98,1464,-107374182,30,2023-05-11 13:09:52.035202
1700,-95,1470,-107374182,24,2023-05-11 13:09:52.369143
1710,-103,1490,-107374182,38,2023-05-11 13:09:52.702522
1850,-92,1509,-107374182,26,2023-05-11 13:09:53.098637
1696,-101,1533,-107374182,28,2023-05-11 13:09:53.433728
1510,-103,1519,-107374182,38,2023-05-11 13:09:53.823363
1742,-90,1551,-107374182,22,2023-05-11 13:09:54.184873
1746,-104,1548,-107374182,36,2023-05-11 13:09:54.455399
1732,-94,1569,-107374182,26,2023-05-11 13:09:54.787358
1772,-100,1578,-107374182,32,2023-05-11 13:09:55.119468
2070,-101,1621,-107374182,38,2023-05-11 13:09:55.500701
3000,-93,1726,-107374182,26,2023-05-11 13:09:55.895777
2440,-98,1814,-107374182,28,2023-05-11 13:09:56.259734
1810,-104,1816,-107374182,38,2023-05-11 13:09:56.634040
1476,-97,1809,-107374182,22,2023-05-11 13:09:57.006105
1302,-95,1756,-107374182,24,2023-05-11 13:09:57.420906
1480,-101,1689,-107374182,32,2023-05-11 13:09:57.895897
1212,-99,1664,-107374182,34,2023-05-11 13:09:58.253086
1926,-92,1651,-107374182,22,2023-05-11 13:09:58.662994
1840,-94,1679,-107374182,24,2023-05-11 13:09:59.104677
1912,-102,1680,-107374182,38,2023-05-11 13:09:59.457956
1862,-93,1690,-107374182,26,2023-05-11 13:09:59.778391
1662,-105,1682,-107374182,36,2023-05-11 13:10:00.046825
1632,-94,1686,-107374182,26,2023-05-11 13:10:00.379241
2782,-101,1719,-107374182,36,2023-05-11 13:10:00.610504
2640,-94,1794,-107374182,26,2023-05-11 13:10:00.931319
2236,-97,1830,-107374182,28,2023-05-11 13:10:01.295542
1396,-100,1790,-107374182,34,2023-05-11 13:10:01.609126
1776,-94,1765,-107374182,24,2023-05-11 13:10:01.902600
1622,-102,1760,-107374182,38,2023-05-11 13:10:02.206632
1746,-91,1745,-107374182,20,2023-05-11 13:10:02.541787
2530,-102,1781,-107374182,36,2023-05-11 13:10:02.855553
2400,-97,1835,-107374182,26,2023-05-11 13:10:03.209031
2862,-99,1907,-107374182,28,2023-05-11 13:10:03.498867
2630,-100,1982,-107374182,30,2023-05-11 13:10:03.798856
2690,-98,2041,-107374182,28,2023-05-11 13:10:04.099330
1670,-99,2041,-107374182,30,2023-05-11 13:10:04.363714
1610,-97,2012,-107374182,24,2023-05-11 13:10:04.693690
1332,-104,1957,-107374182,38,2023-05-11 13:10:05.017541
1680,-90,1928,-107374182,20,2023-05-11 13:10:05.340733
1616,-103,1896,-107374182,36,2023-05-11 13:10:05.634052
1790,-93,1877,-107374182,22,2023-05-11 13:10:05.938089
1746,-103,1868,-107374182,32,2023-05-11 13:10:06.251390
1162,-97,1822,-107374182,30,2023-05-11 13:10:06.574912
