latency,RSSI,attn1,TIMESTAMP
249,-102,58,1687101772037139800
249,-102,62,1687101772217215200
463,-56,0,1687101772371848900
474,-56,56,1687101772528715300
474,-56,44,1687101772685704200
309,-89,32,1687101772838737300
308,-78,24,1687101773005731900
311,-75,22,1687101773162410600
311,-77,26,1687101773319326600
310,-81,30,1687101773493086000
310,-85,34,1687101773680542400
307,-88,38,1687101773837397700
311,-92,42,1687101773991694100
309,-97,46,1687101774162813800
311,-99,50,1687101774317840500
263,-101,54,1687101774475405900
263,-105,58,1687101774644358500
263,-105,62,1687101774800771200
482,-59,60,1687101775000796300
481,-59,48,1687101775174174400
481,-90,36,1687101775344772000
343,-81,24,1687101775521602000
343,-73,22,1687101775692620800
344,-76,26,1687101775862916200
344,-79,30,1687101776030617400
344,-84,34,1687101776199707700
343,-88,38,1687101776370868900
343,-91,42,1687101776540019000
342,-95,46,1687101776693181200
332,-99,50,1687101776861722100
337,-103,54,1687101777029981600
254,-103,60,1687101777198731600
254,-103,62,1687101777354221900
479,-56,60,1687101777523160100
485,-56,48,1687101777705093600
485,-89,36,1687101777877647700
323,-84,28,1687101778052738800
322,-73,20,1687101778224412200
322,-76,26,1687101778412576100
319,-80,30,1687101778573402200
323,-83,34,1687101778741455600
323,-88,38,1687101778914304300
321,-90,42,1687101779087045000
323,-97,46,1687101779241588900
318,-98,50,1687101779414105100
302,-103,54,1687101779572925200
302,-103,58,1687101779743321600
302,-103,0,1687101779917983700
472,-57,60,1687101780091236500
473,-57,48,1687101780263614000
473,-91,36,1687101780434406600
332,-82,28,1687101780606990700
334,-74,22,1687101780779929600
334,-76,26,1687101780969566000
332,-81,30,1687101781152004300
332,-85,34,1687101781335255000
333,-88,40,1687101781506742700
323,-92,44,1687101781679526500
334,-96,48,1687101781862617600
328,-99,52,1687101782048861100
279,-102,56,1687101782205423000
279,-104,62,1687101782379770400
260,-55,0,1687101782571027800
479,-55,52,1687101782741336100
479,-64,44,1687101782935624900
314,-84,28,1687101783097876000
317,-74,20,1687101783269731800
317,-75,24,1687101783441199400
317,-80,28,1687101783615012400
318,-83,32,1687101783786495500
313,-87,36,1687101783967519700
319,-90,42,1687101784151708500
317,-94,46,1687101784311961400
316,-98,50,1687101784514685000
303,-102,56,1687101784719777400
178,-104,60,1687101784923584100
355,-55,0,1687101785137727700
483,-57,48,1687101785357259100
197,-89,36,1687101785577047300
320,-77,20,1687101785782058400
319,-76,24,1687101786025137400
321,-82,30,1687101786269325400
319,-86,36,1687101786483220200
320,-92,42,1687101786761295300
320,-99,48,1687101787007382800
292,-101,54,1687101787201160300
292,-104,58,1687101787390464000
292,-104,0,1687101787563310800
470,-56,60,1687101787735377100
472,-56,48,1687101787908317000
472,-90,36,1687101788079891200
310,-79,24,1687101788266875400
309,-75,22,1687101788440096100
307,-77,26,1687101788597294900
308,-81,30,1687101788770109800
310,-84,34,1687101788929856300
309,-89,38,1687101789116075900
310,-91,42,1687101789287316000
308,-97,46,1687101789459539600
300,-99,52,1687101789633011700
257,-103,54,1687101789785372000
257,-103,60,1687101789959806400
257,-103,0,1687101790132699700
463,-56,60,1687101790304289800
463,-56,48,1687101790478245900
463,-90,36,1687101790650112900
304,-81,24,1687101790821257100
300,-74,22,1687101790994643800
304,-77,26,1687101791182692800
303,-81,30,1687101791351968400
291,-85,34,1687101791524494600
303,-89,40,1687101791727687500
304,-94,44,1687101791922034800
301,-99,50,1687101792104816700
284,-102,54,1687101792274383600
255,-104,58,1687101792461869900
255,-104,62,1687101792633950400
452,-56,60,1687101792841677200
455,-56,48,1687101793009483300
455,-91,36,1687101793183830800
264,-81,28,1687101793355251200
285,-74,20,1687101793527665300
301,-77,26,1687101793700374500
324,-81,30,1687101793875936300
343,-85,34,1687101794061357400
351,-89,40,1687101794264402000
349,-93,44,1687101794438761500
347,-99,48,1687101794599552300
341,-100,52,1687101794787051700
336,-105,56,1687101794959932800
336,-105,62,1687101795133982000
336,-56,0,1687101795340528000
437,-56,52,1687101795560439100
200,-89,36,1687101795775292300
244,-76,20,1687101795996112600
244,-76,24,1687101796210098000
241,-80,30,1687101796432616000
266,-84,34,1687101796654845400
299,-91,42,1687101796903620100
320,-95,46,1687101797112683600
312,-101,52,1687101797323845300
310,-104,56,1687101797500147800
310,-105,60,1687101797674851500
297,-56,0,1687101797863942100
476,-58,56,1687101798036676000
476,-69,44,1687101798210519100
359,-86,32,1687101798366237400
357,-77,20,1687101798536659400
359,-75,24,1687101798711554700
358,-78,28,1687101798883652400
358,-81,32,1687101799041359100
355,-85,36,1687101799212904900
358,-88,40,1687101799384669500
359,-92,44,1687101799570346600
357,-98,50,1687101799755828500
350,-101,54,1687101799945608000
260,-105,58,1687101800116987300
260,-103,62,1687101800275018600
460,-55,0,1687101800444424500
470,-54,52,1687101800631974300
470,-64,40,1687101800801596700
307,-83,28,1687101800973415400
309,-74,20,1687101801143571200
308,-76,24,1687101801312487900
309,-80,28,1687101801484340800
308,-83,32,1687101801652278200
308,-86,38,1687101801821800900
304,-90,42,1687101801992659500
302,-94,46,1687101802174992400
303,-99,50,1687101802362277400
299,-101,54,1687101802533040300
218,-103,58,1687101802690437100
218,-103,62,1687101802846264000
467,-56,60,1687101803019583200
462,-56,48,1687101803208067200
462,-77,36,1687101803380674300
298,-81,28,1687101803539545500
303,-73,20,1687101803711234900
303,-76,24,1687101803883449000
304,-79,30,1687101804054431300
302,-83,34,1687101804224845900
302,-86,38,1687101804396072300
303,-92,42,1687101804573771000
302,-96,46,1687101804758745000
300,-99,50,1687101804929919700
296,-103,54,1687101805085638700
296,-103,60,1687101805256416500
296,-103,0,1687101805421600800
477,-52,60,1687101805599718200
477,-52,48,1687101805772685800
477,-63,36,1687101805946088100
308,-80,24,1687101806119717300
314,-72,22,1687101806292831400
313,-75,26,1687101806466435900
313,-80,30,1687101806650456800
311,-83,34,1687101806839754200
313,-88,40,1687101807007555200
315,-91,44,1687101807195082800
313,-97,48,1687101807387582600
300,-100,54,1687101807596763600
269,-105,58,1687101807781925400
269,-104,62,1687101807951215500
460,-53,60,1687101808121759200
458,-53,52,1687101808292378000
458,-62,40,1687101808446672700
171,-82,28,1687101808617506100
303,-74,20,1687101808785811100
324,-74,24,1687101808956563500
331,-78,28,1687101809117012400
332,-82,32,1687101809283311200
330,-86,36,1687101809469437300
331,-90,42,1687101809651217100
327,-94,46,1687101809823295500
328,-98,50,1687101809978397300
322,-100,54,1687101810149030000
322,-104,58,1687101810323006200
322,-104,62,1687101810477963800
443,-54,0,1687101810648795100
438,-54,52,1687101810834816400
438,-64,40,1687101811007530700
258,-82,28,1687101811165596800
291,-73,20,1687101811319175600
310,-74,24,1687101811487671500
310,-77,28,1687101811647792800
309,-83,34,1687101811893387800
