latency,RSSI,attn1,TIMESTAMP
-101,222,52,1693393238381257800
-99,126,48,1693393238710011200
-96,174,44,1693393238977765400
-94,223,44,1693393239275127600
-96,232,47,1693393239527146800
-99,201,50,1693393239792839100
-101,211,52,1693393240045928400
-101,18,49,1693393240349083800
-97,58,46,1693393240623840500
-95,116,43,1693393240871122900
-95,125,46,1693393241153160700
-97,130,49,1693393241417282900
-103,128,52,1693393241671841000
-100,14,51,1693393241917246700
-98,198,47,1693393242215600500
-97,209,44,1693393242467863000
-94,261,44,1693393242762247500
-96,276,47,1693393243030633100
-99,275,51,1693393243312766300
-103,212,52,1693393243547892500
-102,43,49,1693393243847475600
-97,83,45,1693393244126540200
-95,154,43,1693393244398407500
-95,157,46,1693393244665605700
-100,106,50,1693393244946792900
-100,115,52,1693393245199525100
-102,50,50,1693393245481473000
-100,212,47,1693393245731276700
-96,254,43,1693393246027771300
-92,298,45,1693393246328627300
-97,294,48,1693393246589680900
-100,281,52,1693393246873030700
-103,241,51,1693393247140965900
-101,109,48,1693393247392329500
-97,144,45,1693393247675696000
-95,208,44,1693393247957316700
-96,213,47,1693393248223273400
-99,216,50,1693393248501062400
-104,176,52,1693393248753320500
-102,21,49,1693393249078702200
-98,40,45,1693393249396227700
-93,114,44,1693393249711370100
-100,103,47,1693393249995318300
-100,110,51,1693393250292923200
-102,62,52,1693393250538351100
-101,175,49,1693393250793600500
-97,203,46,1693393251056563200
-99,202,43,1693393251354510800
-98,244,46,1693393251652376700
-101,239,50,1693393251919577000
-100,247,52,1693393252199543100
-101,83,50,1693393252467885400
-99,44,46,1693393252749877500
-95,55,43,1693393253045851200
-96,127,46,1693393253327354000
-98,144,49,1693393253606360300
-101,137,52,1693393253870919400
-102,69,51,1693393254152906100
-100,188,47,1693393254429078200
-97,251,44,1693393254695277400
-93,280,44,1693393254948011300
-96,285,48,1693393255273583100
-100,283,51,1693393255538612900
-104,234,52,1693393255804648300
-101,97,48,1693393256086277000
-98,117,45,1693393256366107000
-93,164,44,1693393256667409300
-96,202,47,1693393256936564200
-101,212,50,1693393257205304400
-103,206,52,1693393257455268200
-101,220,49,1693393257770691200
-98,255,46,1693393258033948900
-94,298,43,1693393258315293000
-95,313,46,1693393258626820800
-100,291,50,1693393258909285200
-101,299,52,1693393259177399000
-103,152,50,1693393259445544600
-99,92,46,1693393259745156100
-96,131,43,1693393260015284400
-100,166,46,1693393260311357500
-100,170,49,1693393260579656500
-99,163,52,1693393260843755500
-103,54,51,1693393261080517600
-99,186,48,1693393261364104100
-97,203,44,1693393261647333800
-94,253,44,1693393261914514900
-96,267,48,1693393262212306700
-99,266,51,1693393262495413100
-100,192,52,1693393262759737800
-102,55,48,1693393263054579800
-97,104,45,1693393263337179300
-94,169,43,1693393263589344000
-95,174,47,1693393263901876100
-100,170,50,1693393264180933100
-102,150,52,1693393264433394000
-100,220,49,1693393264702638500
-100,221,46,1693393265001217500
-98,244,43,1693393265299201000
-100,303,46,1693393265578793500
-101,276,50,1693393265863172000
-101,272,52,1693393266144614900
-101,105,50,1693393266392492400
-100,52,46,1693393266693225500
-96,118,43,1693393266990693700
-95,141,45,1693393267255724000
-98,142,49,1693393267539512900
-101,106,52,1693393267808318300
-100,220,51,1693393268043129800
-101,135,48,1693393268329239300
-96,178,45,1693393268595260200
-93,228,44,1693393268877950800
-97,227,47,1693393269142812200
-99,253,50,1693393269396619300
-101,230,52,1693393269633705100
-100,83,50,1693393269912805000
-99,71,46,1693393270194042800
-95,94,43,1693393270475840900
-95,161,46,1693393270759787500
-98,165,49,1693393271025381700
-100,162,52,1693393271289004500
-103,41,51,1693393271525077000
-99,206,48,1693393271804737000
-97,256,44,1693393272085156500
-94,303,44,1693393272365682200
