dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-03-15 14:11:31.184816
 ,1, ,2023-03-15 14:11:31.589138
2, ,2023-03-15 14:11:31.872064
 ,2, ,2023-03-15 14:11:32.176238
3, ,2023-03-15 14:11:32.480619
 ,3, ,2023-03-15 14:11:32.805947
4, ,2023-03-15 14:11:33.109498
 ,4, ,2023-03-15 14:11:33.433852
