dropout,return,TIMESTAMP
1,0,2023-03-15 14:06:03.697844
1,1,2023-03-15 14:06:05.861847
2,1,2023-03-15 14:06:07.753593
2,2,2023-03-15 14:06:09.209279
3,2,2023-03-15 14:06:10.200760
3,3,2023-03-15 14:06:10.382337
