latency,RSSI,TIMESTAMP
latency,RSSI,TIMESTAMP
latency,RSSI,TIMESTAMP
latency,RSSI,TIMESTAMP
150,-55,-107364352.0,-107364352.0,2023-03-09 08:58:53.224294
latency,RSSI,attn1,attn2,TIMESTAMP
151,-79,-107364352.0,-107364352.0,2023-03-09 09:02:43.540919
148,-74,-107364352.0,-107364352.0,2023-03-09 09:02:43.739164
146,-76,-107364352.0,-107364352.0,2023-03-09 09:02:43.920626
149,-82,-107364352.0,-107364352.0,2023-03-09 09:02:44.104196
152,-85,-107364352.0,-107364352.0,2023-03-09 09:02:44.317120
151,-85,-107364352.0,-107364352.0,2023-03-09 09:02:44.511795
151,-89,-107364352.0,-107364352.0,2023-03-09 09:02:44.699504
152,-94,-107364352.0,-107364352.0,2023-03-09 09:02:44.881196
136,-98,-107364352.0,-107364352.0,2023-03-09 09:02:45.073755
30,-104,-107364352.0,-107364352.0,2023-03-09 09:02:45.260841
30,-103,-107364352.0,-107364352.0,2023-03-09 09:02:45.466551
30,-103,-107364352.0,-107364352.0,2023-03-09 09:02:45.638682
405,-58,-107364352.0,-107364352.0,2023-03-09 09:02:45.815889
453,-58,-107364352.0,-107364352.0,2023-03-09 09:02:45.980226
453,-58,-107364352.0,-107364352.0,2023-03-09 09:02:46.153115
453,-58,-107364352.0,-107364352.0,2023-03-09 09:02:46.309202
453,-69,-107364352.0,-107364352.0,2023-03-09 09:02:46.449793
453,-76,-107364352.0,-107364352.0,2023-03-09 09:02:46.605944
267,-89,-107364352.0,-107364352.0,2023-03-09 09:02:46.777053
444,-84,-107364352.0,-107364352.0,2023-03-09 09:02:46.949579
436,-80,-107364352.0,-107364352.0,2023-03-09 09:02:47.128989
444,-78,-107364352.0,-107364352.0,2023-03-09 09:02:47.271889
442,-75,-107364352.0,-107364352.0,2023-03-09 09:02:47.426334
427,-76,-107364352.0,-107364352.0,2023-03-09 09:02:47.583562
441,-81,-107364352.0,-107364352.0,2023-03-09 09:02:47.740432
439,-83,-107364352.0,-107364352.0,2023-03-09 09:02:47.902584
433,-83,-107364352.0,-107364352.0,2023-03-09 09:02:48.066213
445,-86,-107364352.0,-107364352.0,2023-03-09 09:02:48.235823
443,-89,-107364352.0,-107364352.0,2023-03-09 09:02:48.418779
425,-93,-107364352.0,-107364352.0,2023-03-09 09:02:48.583376
421,-98,-107364352.0,-107364352.0,2023-03-09 09:02:48.724355
421,-104,-107364352.0,-107364352.0,2023-03-09 09:02:48.871290
421,-102,-107364352.0,-107364352.0,2023-03-09 09:02:49.035937
421,-102,-107364352.0,-107364352.0,2023-03-09 09:02:49.181551
421,-90,-107364352.0,-107364352.0,2023-03-09 09:02:49.342912
