dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-03-21 15:51:48.789632, 
 ,1, ,2023-03-21 15:51:49.101194
2, ,2023-03-21 15:51:54.768990, 
 ,2, ,2023-03-21 15:51:54.955196
3, ,2023-03-21 15:52:00.905615, 
 ,3, ,2023-03-21 15:52:01.179880
4, ,2023-03-21 15:52:05.424455, 
 ,4, ,2023-03-21 15:52:05.640533
5, ,2023-03-21 15:52:08.556865, 
 ,5, ,2023-03-21 15:52:08.759713
6, ,2023-03-21 15:52:12.927824, 
 ,6, ,2023-03-21 15:52:13.126727
7, ,2023-03-21 15:52:17.514608, 
 ,7, ,2023-03-21 15:52:17.653647
8, ,2023-03-21 15:52:20.591346, 
 ,8, ,2023-03-21 15:52:20.808572
9, ,2023-03-21 15:52:25.048754, 
 ,9, ,2023-03-21 15:52:25.297791
10, ,2023-03-21 15:52:29.611088, 
 ,10, ,2023-03-21 15:52:29.828823
11, ,2023-03-21 15:52:35.598886, 
 ,11, ,2023-03-21 15:52:35.785975
12, ,2023-03-21 15:52:41.680449, 
 ,12, ,2023-03-21 15:52:41.913230
