dropout,return,TIMESTAMP
1,0,2023-03-15 14:04:50.651992
1,0,2023-03-15 14:04:53.089745
0,1,2023-03-15 14:04:54.505337
0,1,2023-03-15 14:04:55.788738
1,0,2023-03-15 14:04:56.617774
0,1,2023-03-15 14:04:57.001773
1,0,2023-03-15 14:04:57.406597
0,1,2023-03-15 14:04:57.730317
1,0,2023-03-15 14:04:58.053327
0,1,2023-03-15 14:04:58.376367
1,0,2023-03-15 14:04:58.659533
0,1,2023-03-15 14:04:59.003164
