dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-03-20 11:32:25.949150, 
 ,1, ,2023-03-20 11:32:27.218250
2, ,2023-03-20 11:32:27.904978, 
 ,2, ,2023-03-20 11:32:28.611129
3, ,2023-03-20 11:32:39.996762, 
 ,3, ,2023-03-20 11:32:41.228324
4, ,2023-03-20 11:32:54.915133, 
 ,4, ,2023-03-20 11:32:55.899459
5, ,2023-03-20 11:33:09.683510, 
 ,5, ,2023-03-20 11:33:10.894549
6, ,2023-03-20 11:33:24.612105, 
 ,6, ,2023-03-20 11:33:25.413522
7, ,2023-03-20 11:33:39.169118, 
 ,7, ,2023-03-20 11:33:40.341094
8, ,2023-03-20 11:33:54.064992, 
 ,8, ,2023-03-20 11:33:55.224426
