dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,2023-03-23 17:32:43.477377, 
 ,1, ,2023-03-23 17:32:49.355862
2, ,2023-03-23 17:32:58.092607, 
 ,2, ,2023-03-23 17:33:03.640162
3, ,2023-03-23 17:33:12.985198, 
 ,3, ,2023-03-23 17:33:18.578323
4, ,2023-03-23 17:33:28.311365, 
 ,4, ,2023-03-23 17:33:33.016235
5, ,2023-03-23 17:33:42.411650, 
 ,5, ,2023-03-23 17:33:48.807330
6, ,2023-03-23 17:33:57.503908, 
 ,6, ,2023-03-23 17:34:02.507963
7, ,2023-03-23 17:34:11.962341, 
 ,7, ,2023-03-23 17:34:17.725162
8, ,2023-03-23 17:34:26.732475, 
 ,8, ,2023-03-23 17:34:32.233020
