latency,RSSI,attn1,TIMESTAMP
385,-80,24,1691682170552244100
382,-84,28,1691682170706535100
385,-88,32,1691682170862853100
391,-92,36,1691682171018829200
396,-95,40,1691682171175092400
404,-99,44,1691682171331834100
408,-102,48,1691682171487878300
517,-101,52,1691682171628557800
656,-101,56,1691682171770819800
680,-101,58,1691682171909324700
680,-101,60,1691682172064935900
680,-101,48,1691682172237846600
618,-94,36,1691682172395046000
379,-85,28,1691682172553019200
381,-76,20,1691682172704015700
382,-80,24,1691682172849081200
380,-82,28,1691682173006454600
384,-85,32,1691682173179789900
408,-90,36,1691682173335015700
412,-94,40,1691682173486463300
416,-95,44,1691682173640246300
417,-98,48,1691682173795530400
528,-103,52,1691682173954007800
680,-104,56,1691682174110718000
680,-104,60,1691682174268214400
680,-104,56,1691682174426692000
680,-101,48,1691682174580971900
412,-92,36,1691682174738234400
416,-86,28,1691682174880366500
411,-77,20,1691682175035239900
416,-79,24,1691682175191470000
375,-82,28,1691682175344129800
378,-87,32,1691682175501366700
384,-90,36,1691682175655952000
386,-93,40,1691682175812448300
390,-95,44,1691682175967634100
405,-100,48,1691682176126389400
523,-101,52,1691682176299470200
680,-103,56,1691682176456020400
680,-103,60,1691682176611918800
680,-103,56,1691682176768896400
680,-101,44,1691682176923273200
402,-92,36,1691682177065358200
396,-86,24,1691682177225760800
385,-77,22,1691682177403732400
385,-80,26,1691682177571081400
402,-84,30,1691682177727832000
409,-87,34,1691682177881927100
411,-92,38,1691682178039600000
419,-94,42,1691682178194303200
379,-98,44,1691682178348594400
432,-102,48,1691682178505155900
539,-102,52,1691682178662893300
680,-103,56,1691682178822186100
680,-103,60,1691682178992644300
680,-103,52,1691682179149087500
680,-98,44,1691682179305902800
387,-90,32,1691682179461287000
394,-82,20,1691682179619946500
400,-77,22,1691682179778127900
410,-81,26,1691682179933794700
417,-85,30,1691682180102130800
385,-88,34,1691682180259632500
394,-92,38,1691682180416131600
396,-95,42,1691682180574129700
406,-98,46,1691682180732678700
469,-102,50,1691682180902502700
635,-104,54,1691682181062072600
680,-104,58,1691682181214455800
680,-104,60,1691682181370466100
680,-104,48,1691682181544562200
432,-94,36,1691682181699461600
381,-86,28,1691682181856187600
388,-77,20,1691682182010316600
387,-78,24,1691682182151965600
