latency,RSSI,attn1,TIMESTAMP
55822,-93,28,1692970233220625100
55973,-70,22,1692970233423492200
56122,-71,26,1692970233562892900
56269,-75,30,1692970233722454300
56269,-78,34,1692970233880228100
56413,-82,36,1692970234016545100
56555,-85,42,1692970234227909300
56636,-91,48,1692970234477499600
56636,-95,52,1692970234648867700
56631,-99,56,1692970234791742200
56631,-100,60,1692970234961311400
56039,-102,56,1692970235117351200
55397,-93,44,1692970235256570000
55397,-87,36,1692970235414191100
55525,-78,24,1692970235567923000
55525,-70,20,1692970235710768600
55681,-71,24,1692970235881023300
55812,-75,30,1692970236050669100
55812,-78,34,1692970236207049100
55963,-81,36,1692970236364408500
55963,-86,42,1692970236533802100
56112,-88,46,1692970236719166500
56259,-95,50,1692970236885832100
56259,-99,54,1692970237044073600
56208,-100,58,1692970237181618300
55833,-102,60,1692970237336534000
55833,-100,48,1692970237538684700
55538,-91,40,1692970237692867500
55538,-80,28,1692970237834190100
55678,-71,20,1692970237975290000
55832,-69,24,1692970238146144100
55983,-72,28,1692970238319873200
55983,-76,32,1692970238478241200
56132,-80,36,1692970238630647300
56132,-83,40,1692970238780640300
56278,-87,42,1692970238938045700
56422,-90,46,1692970239090559400
56422,-96,52,1692970239289710400
56468,-100,56,1692970239430312300
56468,-100,60,1692970239591170500
56243,-104,56,1692970239768877500
55753,-94,48,1692970239899448700
55753,-87,36,1692970240055296500
55857,-79,28,1692970240212054400
55857,-70,20,1692970240367695400
56008,-70,24,1692970240522369300
56156,-73,28,1692970240680595300
56156,-78,32,1692970240846246100
56302,-80,36,1692970241028549100
56446,-85,42,1692970241217359100
56588,-90,46,1692970241411243200
56588,-95,52,1692970241600365900
56637,-99,56,1692970241795610900
56423,-103,60,1692970241975798500
55571,-98,48,1692970242220946500
55673,-85,36,1692970242420784300
55673,-75,20,1692970242624305100
55827,-70,24,1692970242807671300
55978,-73,28,1692970243007512300
56127,-78,32,1692970243200683400
56127,-82,38,1692970243402041400
56274,-86,42,1692970243599288100
56418,-91,48,1692970243783193000
56560,-96,52,1692970243987120600
56560,-101,58,1692970244205441800
56446,-102,56,1692970244421069900
55565,-94,44,1692970244636765900
55599,-81,28,1692970244852504400
55754,-70,22,1692970245067980100
55906,-72,26,1692970245260689700
55906,-75,32,1692970245457437000
56056,-82,36,1692970245642657400
56204,-85,42,1692970245856434500
56349,-90,46,1692970246059204500
56349,-95,50,1692970246246965800
56492,-100,56,1692970246447308300
56354,-101,60,1692970246663006800
55880,-97,44,1692970246929145900
55754,-82,32,1692970247119806300
55906,-72,20,1692970247301326000
55906,-70,24,1692970247504641000
56034,-74,28,1692970247704182900
56182,-79,34,1692970247890920100
56328,-84,40,1692970248105045700
56450,-88,44,1692970248280350600
56450,-91,48,1692970248479729900
56561,-98,52,1692970248653834200
56346,-102,58,1692970248837764400
56346,-103,60,1692970249037716000
55902,-95,48,1692970249225973800
55727,-87,36,1692970249405165700
55727,-75,20,1692970249611856400
55880,-69,24,1692970249832273700
56030,-74,28,1692970250029601000
56178,-80,34,1692970250245827400
56324,-83,40,1692970250448362200
56341,-89,44,1692970250633015600
56341,-93,48,1692970250820367500
56414,-98,54,1692970251005891100
56378,-101,58,1692970251223120200
55498,-102,56,1692970251411171600
55080,-93,44,1692970251624733700
55080,-81,28,1692970251826356500
55243,-68,20,1692970252013847100
55403,-70,24,1692970252200252800
55561,-74,30,1692970252400313900
55561,-80,34,1692970252602263800
