dropout,return,DROPOUT TIMESTAMP,RETURN TIMESTAMP
1, ,1691034712243902700, 
2, ,1691034718141046100, 
 ,1, ,1691034718904644100
3, ,1691034720038314800, 
 ,2, ,1691034720602673400
4, ,1691034721641211000, 
 ,3, ,1691034722079102100
5, ,1691034723385048500, 
 ,4, ,1691034723666506800
6, ,1691034725198923900, 
 ,5, ,1691034725463446100
7, ,1691034726973692600, 
 ,6, ,1691034727177636400
8, ,1691034728664807600, 
 ,7, ,1691034729114956200
9, ,1691034730517958200, 
 ,8, ,1691034730783641000
10, ,1691034732364325300, 
 ,9, ,1691034732647645800
11, ,1691034734124029400, 
 ,10, ,1691034734450000300
12, ,1691034735852988200, 
 ,11, ,1691034736209454500
13, ,1691034737700502200, 
 ,12, ,1691034737982902700
14, ,1691034739492610600, 
 ,13, ,1691034739726822200
15, ,1691034741274026400, 
 ,14, ,1691034741682030100
16, ,1691034743072613900, 
 ,15, ,1691034743383207300
17, ,1691034744768998400, 
 ,16, ,1691034745079042800
18, ,1691034746626997600, 
 ,17, ,1691034746848911000
19, ,1691034748478854900, 
 ,18, ,1691034748711340500
20, ,1691034750153228100, 
 ,19, ,1691034750481714300
21, ,1691034751911417800, 
 ,20, ,1691034752192586100
22, ,1691034753652930900, 
 ,21, ,1691034753963588500
23, ,1691034755304696100, 
 ,22, ,1691034755631320500
24, ,1691034757230253200, 
 ,23, ,1691034757559321100
25, ,1691034759025615400, 
 ,24, ,1691034759273767800
26, ,1691034760785245000, 
 ,25, ,1691034761115249300
27, ,1691034762578040300, 
 ,26, ,1691034762807483200
28, ,1691034764403918100, 
 ,27, ,1691034764683197300
29, ,1691034766153640600, 
 ,28, ,1691034766449743600
30, ,1691034767945418300, 
 ,29, ,1691034768273261600
31, ,1691034769698601500, 
 ,30, ,1691034770040305100
32, ,1691034771198570100, 
 ,31, ,1691034771607587800
33, ,1691034773246305000, 
 ,32, ,1691034773528685200
34, ,1691034774986521700, 
 ,33, ,1691034775282646100
35, ,1691034776827594100, 
 ,34, ,1691034777234518800
36, ,1691034778620699300, 
 ,35, ,1691034778947568900
37, ,1691034780365404800, 
 ,36, ,1691034780676976400
38, ,1691034782186077800, 
 ,37, ,1691034782420751600
39, ,1691034783926438100, 
 ,38, ,1691034784175096500
40, ,1691034785479992500, 
 ,39, ,1691034785824650500
41, ,1691034787291067800, 
 ,40, ,1691034787633102100
42, ,1691034789266643900, 
 ,41, ,1691034789497874000
43, ,1691034791059226900, 
 ,42, ,1691034791342582300
44, ,1691034792872120900, 
 ,43, ,1691034793151277100
45, ,1691034794597505400, 
 ,44, ,1691034794876460200
46, ,1691034796382640900, 
 ,45, ,1691034796708404300
47, ,1691034798238846900, 
 ,46, ,1691034798520954500
48, ,1691034800001509800, 
 ,47, ,1691034800174522200
49, ,1691034801835286600, 
 ,48, ,1691034802118944100
50, ,1691034803538068300, 
 ,49, ,1691034803755779300
51, ,1691034805326355900, 
 ,50, ,1691034805561275800
52, ,1691034807022260500, 
 ,51, ,1691034807286782000
53, ,1691034808859208700, 
 ,52, ,1691034809076545100
54, ,1691034810665532100, 
 ,53, ,1691034810916341900
55, ,1691034812365938500, 
 ,54, ,1691034812568330100
56, ,1691034814210428900, 
 ,55, ,1691034814397124400
57, ,1691034815923912700, 
 ,56, ,1691034816252606500
58, ,1691034817751234800, 
 ,57, ,1691034817938875700
59, ,1691034819504842900, 
 ,58, ,1691034819767114400
60, ,1691034821016617100, 
 ,59, ,1691034821343298000
61, ,1691034823109857600, 
 ,60, ,1691034823313641500
62, ,1691034824866573200, 
 ,61, ,1691034825098353100
63, ,1691034826714553300, 
 ,62, ,1691034826978513900
64, ,1691034828628224400, 
 ,63, ,1691034828815922000
65, ,1691034830216739100, 
 ,64, ,1691034830385268100
66, ,1691034832103722000, 
 ,65, ,1691034832338878000
67, ,1691034833715759300, 
 ,66, ,1691034834089321200
68, ,1691034835565077200, 
 ,67, ,1691034835970960600
69, ,1691034837367405500, 
 ,68, ,1691034837739391100
70, ,1691034839141989100, 
 ,69, ,1691034839482504300
71, ,1691034840898168500, 
 ,70, ,1691034841207248800
72, ,1691034842720003100, 
 ,71, ,1691034843081798400
73, ,1691034844466202000, 
 ,72, ,1691034844868180100
74, ,1691034846225627300, 
 ,73, ,1691034846554149400
75, ,1691034848014773900, 
 ,74, ,1691034848373792900
76, ,1691034849702138900, 
 ,75, ,1691034850044506600
77, ,1691034851590361900, 
 ,76, ,1691034851949344400
78, ,1691034853375109900, 
 ,77, ,1691034853750251900
79, ,1691034855130590600, 
 ,78, ,1691034855474055900
80, ,1691034856907149800, 
 ,79, ,1691034857234364300
81, ,1691034858719752500, 
 ,80, ,1691034859030749100
82, ,1691034860471073000, 
 ,81, ,1691034860783401200
83, ,1691034862270640700, 
 ,82, ,1691034862628016800
84, ,1691034864044775600, 
 ,83, ,1691034864404011200
85, ,1691034865853805300, 
 ,84, ,1691034866140365900
86, ,1691034867732424800, 
 ,85, ,1691034868340426900
87, ,1691034872313800200, 
 ,86, ,1691034872814023700
88, ,1691034874759803800, 
 ,87, ,1691034875039614500
89, ,1691034876413259400, 
 ,88, ,1691034876774783700
90, ,1691034878215771200, 
 ,89, ,1691034878515602500
91, ,1691034880110866300, 
 ,90, ,1691034880410186700
92, ,1691034881873316600, 
 ,91, ,1691034882184530500
93, ,1691034883648567000, 
 ,92, ,1691034883945727200
94, ,1691034885478606700, 
 ,93, ,1691034885771652500
95, ,1691034887230845600, 
 ,94, ,1691034887497191900
96, ,1691034889009721300, 
 ,95, ,1691034889304867500
97, ,1691034890779872400, 
 ,96, ,1691034890997126300
98, ,1691034892494568300, 
 ,97, ,1691034892806357300
99, ,1691034894307344900, 
 ,98, ,1691034894648585800
100, ,1691034896080178800, 
 ,99, ,1691034896454703800
101, ,1691034897821517900, 
 ,100, ,1691034898225926300
102, ,1691034899515625500, 
 ,101, ,1691034899842885200
103, ,1691034901148315600, 
 ,102, ,1691034901586029400
